call_type,Beluga_WhiteWhale,HumpbackWhale,KillerWhale,Long_FinnedPilotWhale,NorthernRightWhale,Short_Finned(Pacific)PilotWhale,SpermWhale,SpinnerDolphin,StripedDolphin,Walrus,WeddellSeal,total,species_with_any
click,89,0,499,794,2,401,789,403,457,67,0,3501,9
whistle,30,2,136,987,0,441,134,369,576,0,2,2677,9
call,4,452,859,0,0,9,5,0,0,35,37,1401,7
squeal,50,0,654,17,0,24,12,3,1,0,0,761,7
coda,0,0,0,126,0,0,339,28,0,9,0,502,4
chirp,6,25,102,8,1,1,2,5,27,0,89,266,10
moan,3,24,4,0,212,0,0,0,0,0,0,243,4
pulsed_call,0,91,76,0,6,0,0,0,0,0,3,176,4
tonal,10,0,164,0,0,0,0,0,0,0,0,174,2
song,0,95,0,0,0,0,0,0,0,2,0,97,2
grunt,0,17,13,2,3,0,0,2,0,53,0,90,6
social_sound,0,72,0,0,0,0,0,0,0,0,0,72,1
buzz,1,0,18,2,0,11,3,14,0,0,0,49,6
squeak,6,0,41,1,0,0,0,0,0,0,0,48,3
creak,4,0,8,16,0,0,0,2,1,0,0,31,5
growl,1,2,1,1,19,0,0,0,0,0,0,24,5
