collection_code,clips,tapes,species,carried
BE7A,2267,61,1,KillerWhale
BE3C,1126,17,2,"Long_FinnedPilotWhale, SpermWhale"
BA2A,929,54,2,"SpermWhale, SpinnerDolphin"
BD15C,658,10,1,StripedDolphin
AC2A,546,12,1,HumpbackWhale
BE3B,526,8,2,"Short_Finned(Pacific)PilotWhale, SpermWhale"
BD15L,410,11,1,SpinnerDolphin
AA3A,342,17,1,NorthernRightWhale
CB1A,252,9,1,Walrus
BB1A,131,12,1,Beluga_WhiteWhale
CC5A,102,11,1,WeddellSeal
BE3D,44,5,1,Short_Finned(Pacific)PilotWhale
BD10A,11,1,1,SpermWhale
CC2A,9,1,1,Walrus
BD15A,8,1,1,SpermWhale
AA1A,1,1,1,Walrus
