species,clips,tapes,kept_clips,kept_tapes,kept_hours
Beluga_WhiteWhale,150,12,131,12,0.08320138715277778
HumpbackWhale,604,14,546,12,1.9549244090168056
KillerWhale,2647,65,2601,65,1.6493218242405299
Long_FinnedPilotWhale,1104,18,1067,18,0.854631301657819
NorthernRightWhale,486,22,342,17,0.20656447600355857
Short_Finned(Pacific)PilotWhale,607,12,558,12,0.38144092282312864
SpermWhale,1379,63,1013,58,12.230501708305239
SpinnerDolphin,524,12,443,12,0.6529784620869371
StripedDolphin,681,10,658,10,0.3589026216241447
Walrus,273,11,262,11,0.2872652991054205
WeddellSeal,133,11,102,11,0.4134699561266135
