tape_id,n_species,species,n_under_study,under_study,kept
52008,2,"HumpbackWhale, SpermWhale",2,"HumpbackWhale, SpermWhale",True
56006,2,"BottlenoseDolphin, HarbourSeal",0,,False
58021,2,"LongBeaked(Pacific)CommonDolphin, Short_Finned(Pacific)PilotWhale",1,Short_Finned(Pacific)PilotWhale,False
63021,2,"CommonDolphin, HarborPorpoise",0,,False
66014,2,"Boutu_AmazonRiverDolphin, TucuxiDolphin",0,,False
66038,2,"BeardedSeal, Walrus",1,Walrus,False
66084,2,"LeopardSeal, RossSeal",0,,False
66090,2,"LeopardSeal, RossSeal",0,,False
67026,2,"GrayWhale, Short_Finned(Pacific)PilotWhale",1,Short_Finned(Pacific)PilotWhale,False
68003,2,"Narwhal, RingedSeal",0,,False
68005,2,"Narwhal, RingedSeal",0,,False
68040,2,"Narwhal, RingedSeal",0,,False
70014,2,"NorthernRightWhale, White_beakedDolphin",1,NorthernRightWhale,False
71012,3,"BeardedSeal, RibbonSeal, SpottedSeal",0,,False
72021,2,"BowheadWhale, Walrus",1,Walrus,False
75001,2,"Fin_FinbackWhale, White_sidedDolphin",0,,False
75003,2,"CommonDolphin, StripedDolphin",1,StripedDolphin,False
75005,4,"Fin_FinbackWhale, Long_FinnedPilotWhale, SpermWhale, StripedDolphin",3,"Long_FinnedPilotWhale, SpermWhale, StripedDolphin",True
75010,2,"Long_FinnedPilotWhale, SpermWhale",2,"Long_FinnedPilotWhale, SpermWhale",False
75011,2,"Long_FinnedPilotWhale, SpermWhale",2,"Long_FinnedPilotWhale, SpermWhale",True
75012,2,"Long_FinnedPilotWhale, SpermWhale",2,"Long_FinnedPilotWhale, SpermWhale",True
77028,2,"Long_FinnedPilotWhale, SpermWhale",2,"Long_FinnedPilotWhale, SpermWhale",True
77035,2,"Long_FinnedPilotWhale, SpermWhale",2,"Long_FinnedPilotWhale, SpermWhale",True
78018,2,"BeardedSeal, BowheadWhale",0,,False
79004,2,"Fin_FinbackWhale, White_sidedDolphin",0,,False
79005,2,"Fin_FinbackWhale, White_sidedDolphin",0,,False
79006,2,"Fin_FinbackWhale, White_sidedDolphin",0,,False
83034,2,"ClymeneDolphin, SpinnerDolphin",1,SpinnerDolphin,False
85009,3,"Grampus_Risso'sDolphin, SpermWhale, StripedDolphin",2,"SpermWhale, StripedDolphin",True
90027,2,"PantropicalSpottedDolphin, SpermWhale",1,SpermWhale,False
91012,2,"MelonHeadedWhale, SpermWhale",1,SpermWhale,False
93001,2,"PantropicalSpottedDolphin, SpermWhale",1,SpermWhale,False
94008,2,"PantropicalSpottedDolphin, Short_Finned(Pacific)PilotWhale",1,Short_Finned(Pacific)PilotWhale,False
94009,2,"Fraser'sDolphin, Short_Finned(Pacific)PilotWhale",1,Short_Finned(Pacific)PilotWhale,False
94201,6,"BottlenoseDolphin, CommonDolphin, Grampus_Risso'sDolphin, Long_FinnedPilotWhale, SpermWhale, StripedDolphin",3,"Long_FinnedPilotWhale, SpermWhale, StripedDolphin",True
