species,tape_id,clips,kept_clips,year,native_sample_rate,seconds
Beluga_WhiteWhale,49001,3,3,1949,10000,18.449199999999998
Beluga_WhiteWhale,62012,2,2,1962,16000,3.6058125
Beluga_WhiteWhale,62017,18,17,1962,40000,30.698975
Beluga_WhiteWhale,62018,2,2,1962,40000,4.4206
Beluga_WhiteWhale,62019,6,6,1962,20000,22.7119875
Beluga_WhiteWhale,62022,46,35,1962,80000,75.5894125
Beluga_WhiteWhale,62026,13,13,1962,20000,45.12735
Beluga_WhiteWhale,63015,7,7,1963,30000,22.7555375
Beluga_WhiteWhale,65030,20,17,1965,40000,18.5752
Beluga_WhiteWhale,65031,9,5,1965,40000,8.045825
Beluga_WhiteWhale,65033,20,20,1965,81920,29.67890625
Beluga_WhiteWhale,68004,4,4,1968,20000,26.081699999999998
HumpbackWhale,52008,2,2,1952,30000,8.157166666666667
HumpbackWhale,54018,29,29,1954,14900,253.23147651006713
HumpbackWhale,55113,20,20,1955,14900,168.69255033557047
HumpbackWhale,58018,62,62,1958,10000,1165.0985536912751
HumpbackWhale,61042,2,2,1961,10000,5.6831
HumpbackWhale,61043,3,3,1961,10240,3.965625
HumpbackWhale,63019,59,37,1963,5120,2658.5526292470636
HumpbackWhale,63043,24,24,1963,14900,1341.3222147651006
HumpbackWhale,75017,29,0,1975,5120,56.9859375
HumpbackWhale,79022,6,6,1979,10000,43.3086
HumpbackWhale,79029,6,0,1979,5120,7.74375
HumpbackWhale,80020,73,72,1980,10240,207.34892578125
HumpbackWhale,86008,254,254,1986,14900,962.2907382550336
HumpbackWhale,92201,35,35,1992,14900,262.4714093959731
KillerWhale,60012,33,33,1960,40000,90.495275
KillerWhale,60026,272,272,1960,40960,823.8778052510669
KillerWhale,61062,6,6,1961,10240,12.1734375
KillerWhale,64020,3,3,1964,20480,4.246874999999999
KillerWhale,64023,2,2,1964,10240,2.46328125
KillerWhale,64025,9,9,1964,20000,27.2803
KillerWhale,64030,35,35,1964,40000,51.908125
KillerWhale,64031,178,178,1964,40000,439.1692
KillerWhale,66049,3,3,1966,20000,9.54005
KillerWhale,79015,25,25,1979,20000,48.9615
KillerWhale,89405,156,140,1989,21900,220.20328767123289
KillerWhale,92300,138,138,1992,21900,567.1509132420091
KillerWhale,92301,42,42,1992,21900,145.20255707762556
KillerWhale,92302,103,103,1992,21900,613.8201826484018
KillerWhale,92303,15,15,1992,21900,27.60027397260274
KillerWhale,92304,174,173,1992,21900,366.4524200913242
KillerWhale,97500,31,31,1997,21900,75.87424657534247
KillerWhale,97501,23,23,1997,21900,65.81146118721462
KillerWhale,97503,75,74,1997,21900,183.0808219178082
KillerWhale,97504,151,143,1997,21900,342.22004566210046
KillerWhale,97619,40,38,1997,21900,105.16050228310502
KillerWhale,97677,1,1,1997,21900,2.219543378995434
KillerWhale,97692,87,87,1997,21900,242.80840182648402
KillerWhale,97741,34,34,1997,21900,52.645753424657535
KillerWhale,97742,26,22,1997,20000,30.32565
KillerWhale,97743,29,29,1997,20000,45.20815
KillerWhale,97744,22,21,1997,20000,34.9765
KillerWhale,97745,6,6,1997,20000,10.7934
KillerWhale,97747,25,25,1997,20000,31.7027
KillerWhale,97748,32,32,1997,20000,56.98755
KillerWhale,97749,28,28,1997,21900,47.13958904109589
KillerWhale,97750,16,16,1997,21900,28.085205479452053
KillerWhale,97751,29,29,1997,21900,36.90374429223744
KillerWhale,97752,43,42,1997,21900,55.428082191780824
KillerWhale,97753,14,14,1997,21900,14.12675799086758
KillerWhale,97754,48,48,1997,21900,57.079223744292236
KillerWhale,97755,34,32,1997,21900,47.93447488584475
KillerWhale,97756,40,40,1997,21900,56.484566210045664
KillerWhale,97757,16,15,1997,21900,20.661141552511417
KillerWhale,97758,64,62,1997,21900,85.18547945205479
KillerWhale,97759,68,68,1997,21900,96.18703196347032
KillerWhale,97760,13,13,1997,21900,16.236712328767123
KillerWhale,97761,76,74,1997,21900,106.20913242009132
KillerWhale,97762,12,12,1997,21900,14.47744292237443
KillerWhale,97763,8,8,1997,21900,12.341187214611871
KillerWhale,97764,18,18,1997,21900,30.831780821917807
KillerWhale,97765,9,9,1997,21900,13.13027397260274
KillerWhale,97766,24,24,1997,21900,41.03073059360731
KillerWhale,97767,19,19,1997,21900,28.529680365296805
KillerWhale,97768,11,11,1997,21900,15.387762557077625
KillerWhale,97769,31,31,1997,21900,55.71214611872146
