species,native_sample_rate,clips,tapes
HumpbackWhale,5120,57,3
HumpbackWhale,10000,66,3
HumpbackWhale,10240,76,2
HumpbackWhale,14900,403,7
HumpbackWhale,30000,2,1
KillerWhale,10240,7,2
KillerWhale,20000,177,9
KillerWhale,20480,4,2
KillerWhale,21900,1941,49
KillerWhale,40000,246,3
KillerWhale,40960,18,1
KillerWhale,45400,254,1
SpermWhale,10000,62,5
SpermWhale,20000,6,1
SpermWhale,30000,162,6
SpermWhale,40000,199,17
SpermWhale,40960,40,7
SpermWhale,43900,2,1
SpermWhale,44100,10,6
SpermWhale,47600,24,1
SpermWhale,60600,38,5
SpermWhale,80000,22,1
SpermWhale,81600,406,13
SpermWhale,81920,274,14
SpermWhale,160000,37,14
SpermWhale,166600,97,4
