species,native_sample_rate,clips,tapes
Beluga_WhiteWhale,10000,3,1
Beluga_WhiteWhale,10240,1,1
Beluga_WhiteWhale,16000,19,4
Beluga_WhiteWhale,20000,8,3
Beluga_WhiteWhale,30000,5,1
Beluga_WhiteWhale,40000,49,4
Beluga_WhiteWhale,40960,6,1
Beluga_WhiteWhale,80000,46,1
Beluga_WhiteWhale,81920,13,1
HumpbackWhale,5120,57,3
HumpbackWhale,10000,66,3
HumpbackWhale,10240,76,2
HumpbackWhale,14900,403,7
HumpbackWhale,30000,2,1
KillerWhale,10240,7,2
KillerWhale,20000,177,9
KillerWhale,20480,4,2
KillerWhale,21900,1941,49
KillerWhale,40000,246,3
KillerWhale,40960,18,1
KillerWhale,45400,254,1
Long_FinnedPilotWhale,23500,14,1
Long_FinnedPilotWhale,25900,7,1
Long_FinnedPilotWhale,30000,83,3
Long_FinnedPilotWhale,40000,47,1
Long_FinnedPilotWhale,40960,21,2
Long_FinnedPilotWhale,47600,36,1
Long_FinnedPilotWhale,60600,11,2
Long_FinnedPilotWhale,80000,99,1
Long_FinnedPilotWhale,81600,176,2
Long_FinnedPilotWhale,81920,55,2
Long_FinnedPilotWhale,166600,555,5
NorthernRightWhale,1280,2,1
NorthernRightWhale,2560,42,1
NorthernRightWhale,5120,6,1
NorthernRightWhale,8000,92,3
NorthernRightWhale,10000,99,6
NorthernRightWhale,10200,77,4
NorthernRightWhale,14900,146,6
NorthernRightWhale,20480,22,1
Short_Finned(Pacific)PilotWhale,20000,1,1
Short_Finned(Pacific)PilotWhale,20480,12,1
Short_Finned(Pacific)PilotWhale,30000,28,5
Short_Finned(Pacific)PilotWhale,40000,142,2
Short_Finned(Pacific)PilotWhale,40960,26,1
Short_Finned(Pacific)PilotWhale,60600,5,1
Short_Finned(Pacific)PilotWhale,80000,246,3
Short_Finned(Pacific)PilotWhale,100000,147,1
SpermWhale,10000,62,5
SpermWhale,20000,6,1
SpermWhale,30000,162,6
SpermWhale,40000,199,17
SpermWhale,40960,40,7
SpermWhale,43900,2,1
SpermWhale,44100,10,6
SpermWhale,47600,24,1
SpermWhale,60600,38,5
SpermWhale,80000,22,1
SpermWhale,81600,406,13
SpermWhale,81920,274,14
SpermWhale,160000,37,14
SpermWhale,166600,97,4
SpinnerDolphin,60600,11,3
SpinnerDolphin,80000,373,9
SpinnerDolphin,81920,40,2
SpinnerDolphin,148100,81,1
SpinnerDolphin,192000,19,1
StripedDolphin,47600,47,1
StripedDolphin,60600,59,1
StripedDolphin,80000,2,1
StripedDolphin,81600,401,3
StripedDolphin,81920,38,3
StripedDolphin,166600,120,1
StripedDolphin,192000,14,1
Walrus,2560,7,1
Walrus,5120,3,1
Walrus,10000,150,1
Walrus,10240,37,6
Walrus,18000,3,1
Walrus,20000,29,1
Walrus,20480,33,4
Walrus,30000,4,1
Walrus,40960,7,2
WeddellSeal,2560,1,1
WeddellSeal,5120,2,1
WeddellSeal,10240,6,1
WeddellSeal,20480,12,2
WeddellSeal,40000,109,9
WeddellSeal,40960,2,1
WeddellSeal,43900,1,1
