species,site,clips,tapes
HumpbackWhale,"Tortola, British Virgin IslandsO  ",254,1
HumpbackWhale,"Off Maui, HI",70,1
HumpbackWhale,"Argus Island, Bermuda",59,1
HumpbackWhale,"1-1.5 miles North of Tortola, British Virgin Islands",35,1
HumpbackWhale,"Plantagenet Bank, Bermuda",31,1
HumpbackWhale,1 mile S of Olowalu reef - Hawaii,29,1
HumpbackWhale,"3 miles N of San Juan, Puerto Rico",29,1
HumpbackWhale,"Off Gibbs Hill Light, Bermuda",27,1
HumpbackWhale,"Castle Harbour, Bermuda",24,1
HumpbackWhale,"St. David's Island, Bermuda",20,1
HumpbackWhale,"N of Shelter Point, Knight Island Passage, Alaska",6,1
HumpbackWhale,"Three to four miles N. of Crafton Is., Prince William Sound, Alaska",6,1
HumpbackWhale,"over Plantagenet Banks, Bermuda",3,1
HumpbackWhale,Bermuda,2,1
HumpbackWhale,"Off Maui, HIBD",2,1
HumpbackWhale,"off Gibbs Hill Light, Bermuda",1,1
KillerWhale,Oregon Coast Aquarium,993,41
KillerWhale,"Kikvika, Norway",471,5
KillerWhale,"Oregon Coastal Aquarium, Newport, OR",431,8
KillerWhale,"80 mi. south of Martha's Vineyard, Massachusetts",272,1
KillerWhale,"Vancouver, British Columbia",227,5
KillerWhale,"Andenes, Norway",140,1
KillerWhale,"Dabob Bay, Seattle, Washington",33,1
KillerWhale,"Outside St. John's Hbr., Newfoundland",25,1
KillerWhale,"Saanich Inlet, Victoria, Vancouver Island, British Columbia, Canada",5,1
KillerWhale,"T3 Ice Island, Canada",3,1
KillerWhale,"Saanich Inlet, Victoria, VAncouver Island, British Columbia, Canada",1,1
SpermWhale,Dominica,339,26
SpermWhale,50 mi. NE Malta,124,4
SpermWhale,"Ligurian Sea, NW Italy",95,1
SpermWhale,DOMINICA,86,5
SpermWhale,Madeira,63,1
SpermWhale,W of Browns Bank,31,2
SpermWhale,"N of Selina, Sicily",29,1
SpermWhale,Delaware,24,1
SpermWhale,N end of Dominica,24,2
SpermWhale,"Gully, SE Sable I., Canada  BD",22,1
SpermWhale,"Near Filicudi, Italy",21,1
SpermWhale,"Lower end of Lanzarote Is., Canary I.",17,1
SpermWhale,"South of Sable Island, North Atlantic",17,1
SpermWhale,"Sable Island, Nova Scotia",12,2
SpermWhale,"3-4 mi. off Roseau, Dominica",11,1
SpermWhale,Bequia,11,1
SpermWhale,N of Selina,7,1
SpermWhale,Dominica Is,5,1
SpermWhale,"3-4 mi. off Roseau, Dominica  BD",2,1
SpermWhale,Bermuda,2,1
SpermWhale,Dominica IsBD,2,1
SpermWhale,BermudaBD,1,1
SpermWhale,Dominica  E,1,1
