species,site,clips,tapes
Beluga_WhiteWhale,"Saguenay River, Canada",48,2
Beluga_WhiteWhale,"New York Aquarium, NY",26,2
Beluga_WhiteWhale,"Ile aux Coudres, PQ, Canada",17,1
Beluga_WhiteWhale,"Baie Ste. Catherine, CanadaX ",14,1
Beluga_WhiteWhale,"Baie Ste. Catherine, Canada",11,3
Beluga_WhiteWhale,"New York Aquarium, New York",6,2
Beluga_WhiteWhale,"E Cumins Inlet, Stratton Is.",4,1
Beluga_WhiteWhale,"Saguenay River, Quebec, Canada",3,1
Beluga_WhiteWhale,"Passe Pierre, Saguenay River, Canada",2,1
HumpbackWhale,"Tortola, British Virgin IslandsO  ",254,1
HumpbackWhale,"Off Maui, HI",70,1
HumpbackWhale,"Argus Island, Bermuda",37,1
HumpbackWhale,"1-1.5 miles North of Tortola, British Virgin Islands",35,1
HumpbackWhale,"Plantagenet Bank, Bermuda",31,1
HumpbackWhale,"3 miles N of San Juan, Puerto Rico",29,1
HumpbackWhale,"Off Gibbs Hill Light, Bermuda",27,1
HumpbackWhale,"Castle Harbour, Bermuda",24,1
HumpbackWhale,"St. David's Island, Bermuda",20,1
HumpbackWhale,"Three to four miles N. of Crafton Is., Prince William Sound, Alaska",6,1
HumpbackWhale,,5,2
HumpbackWhale,"over Plantagenet Banks, Bermuda",3,1
HumpbackWhale,Bermuda,2,1
HumpbackWhale,"Off Maui, HIBD",2,1
HumpbackWhale,"off Gibbs Hill Light, Bermuda",1,1
KillerWhale,Oregon Coast Aquarium,993,41
KillerWhale,"Kikvika, Norway",471,5
KillerWhale,"Oregon Coastal Aquarium, Newport, OR",431,8
KillerWhale,"80 mi. south of Martha's Vineyard, Massachusetts",272,1
KillerWhale,"Vancouver, British Columbia",227,5
KillerWhale,"Andenes, Norway",140,1
KillerWhale,"Dabob Bay, Seattle, Washington",33,1
KillerWhale,"Outside St. John's Hbr., Newfoundland",25,1
KillerWhale,"Saanich Inlet, Victoria, Vancouver Island, British Columbia, Canada",5,1
KillerWhale,"T3 Ice Island, Canada",3,1
KillerWhale,"Saanich Inlet, Victoria, VAncouver Island, British Columbia, Canada",1,1
Long_FinnedPilotWhale,"South of Sable Island, North Atlantic",247,1
Long_FinnedPilotWhale,,225,2
Long_FinnedPilotWhale,W of Browns Bank,135,4
Long_FinnedPilotWhale,SE Sable Island,127,1
Long_FinnedPilotWhale,"Gully, SE Sable I., Canada",96,1
Long_FinnedPilotWhale,"Dildo Arm, Trinity Bay, Newfoundland, Canada",62,1
Long_FinnedPilotWhale,Western North Atlantic,51,1
Long_FinnedPilotWhale,90 miles E of Gibraltar,46,1
Long_FinnedPilotWhale,"Near San Remo, Italy",25,1
Long_FinnedPilotWhale,"Northern edge of Georges Bank, western North Atlantic",23,2
Long_FinnedPilotWhale,"Western North Atlantic, between Block Canyon and Atlantis Canyon",14,1
Long_FinnedPilotWhale,"Trinity Bay, Newfoundland",13,1
Long_FinnedPilotWhale,"Sasuit Harbor, Dennis, Cape Cod MA",2,1
Long_FinnedPilotWhale,SE Sable Islandx,1,1
NorthernRightWhale,"Bay of Fundy, near Wolves Is.",113,4
