giveaway,model,subset,clips,classes_scored,classes_total,folds,macro_f1_mean,macro_f1_std
native sample rate,xgboost,native sample rate shared by species,847,3,3,50,0.6611235421,0.1356400687
native sample rate,xgboost,native sample rate unique to a species,3313,3,3,50,0.7049553664,0.1305164943
collection code,xgboost,collection code not recorded,359,2,3,43,0.6164816237,0.2830555373
collection code,xgboost,collection code unique to a species,3801,3,3,50,0.7502788208,0.0720146273
native sample rate,cnn,native sample rate shared by species,847,3,3,5,0.7067512464,0.1368595195
native sample rate,cnn,native sample rate unique to a species,3313,3,3,5,0.6435704782,0.1200778426
collection code,cnn,collection code not recorded,359,2,3,4,0.5814599158,0.1652427535
collection code,cnn,collection code unique to a species,3801,3,3,5,0.7111225357,0.1245140014
native sample rate,cnn_small,native sample rate shared by species,847,3,3,50,0.6712523926,0.1512248218
native sample rate,cnn_small,native sample rate unique to a species,3313,3,3,50,0.6711838832,0.1707595122
collection code,cnn_small,collection code not recorded,359,2,3,43,0.6090626939,0.2278570444
collection code,cnn_small,collection code unique to a species,3801,3,3,50,0.7075287421,0.1445863745
native sample rate,logbook,native sample rate shared by species,847,3,3,50,0.9228635024,0.1355772238
native sample rate,logbook,native sample rate unique to a species,3313,3,3,50,0.9325997123,0.1351830207
collection code,logbook,collection code not recorded,359,2,3,43,0.6934277048,0.2464404703
collection code,logbook,collection code unique to a species,3801,3,3,50,0.997341757,0.0100560041
native sample rate,probe,native sample rate shared by species,847,3,3,50,0.7084000862,0.1286457456
native sample rate,probe,native sample rate unique to a species,3313,3,3,50,0.6790024982,0.1312119002
collection code,probe,collection code not recorded,359,2,3,43,0.5138870567,0.2720672605
collection code,probe,collection code unique to a species,3801,3,3,50,0.7462018045,0.0930351908
native sample rate,xgboost_centred,native sample rate shared by species,847,3,3,50,0.701887765,0.1488134556
native sample rate,xgboost_centred,native sample rate unique to a species,3313,3,3,50,0.765485313,0.1108707829
collection code,xgboost_centred,collection code not recorded,359,2,3,43,0.5696459116,0.2613968428
collection code,xgboost_centred,collection code unique to a species,3801,3,3,50,0.824896789,0.0884000082
native sample rate,xgboost+probe,native sample rate shared by species,847,3,3,50,0.7190461188,0.1395631286
native sample rate,xgboost+probe,native sample rate unique to a species,3313,3,3,50,0.6990661309,0.1326307524
collection code,xgboost+probe,collection code not recorded,359,2,3,43,0.612128763,0.2744277991
collection code,xgboost+probe,collection code unique to a species,3801,3,3,50,0.7655756702,0.0887237563
native sample rate,metadata,native sample rate shared by species,847,3,3,50,0.6827568792,0.1895389789
native sample rate,metadata,native sample rate unique to a species,3313,3,3,50,0.8777482854,0.188818
collection code,metadata,collection code not recorded,359,2,3,43,0.6976744186,0.2473558956
collection code,metadata,collection code unique to a species,3801,3,3,50,0.8668261426,0.1349098826
