feature,gain,repeat,fold
mfcc_1_p10,0.17576254904270172,0,0
mfcc_1_mean,0.05641523748636246,0,0
flatness_std,0.034761928021907806,0,0
contrast_0_p90,0.023490438237786293,0,0
rolloff85_mean,0.020321602001786232,0,0
contrast_3_mean,0.01668442413210869,0,0
flatness_p90,0.016028201207518578,0,0
contrast_3_p90,0.01298273354768753,0,0
mfcc_15_std,0.010604353621602058,0,0
rms_mean,0.010074594058096409,0,0
rms_p10,0.008635816164314747,0,0
mfcc_4_p10,0.007975981570780277,0,0
contrast_5_mean,0.0077799241989851,0,0
mfcc_10_mean,0.006895731668919325,0,0
bandwidth_mean,0.006433185189962387,0,0
mfcc_14_std,0.006398046389222145,0,0
rolloff85_p90,0.0063146851025521755,0,0
dominant_frequency_ratio,0.006166338920593262,0,0
contrast_2_mean,0.005637216381728649,0,0
mfcc_1_std,0.005540976766496897,0,0
mfcc_2_p90,0.005480699706822634,0,0
mfcc_12_p10,0.00535183260217309,0,0
contrast_5_p10,0.0052426583133637905,0,0
mfcc_4_mean,0.005165422800928354,0,0
mfcc_3_p10,0.005105850752443075,0,0
mfcc_18_p10,0.005070732906460762,0,0
mfcc_delta_5_std,0.004970602225512266,0,0
contrast_2_p10,0.0049047162756323814,0,0
contrast_5_p90,0.00482455687597394,0,0
flatness_mean,0.004804900847375393,0,0
mfcc_2_mean,0.0047357394360005856,0,0
mfcc_3_mean,0.004712674301117659,0,0
mfcc_11_p10,0.004696398042142391,0,0
mfcc_5_p90,0.00464628404006362,0,0
zero_crossing_rate_p90,0.004619641229510307,0,0
contrast_1_mean,0.00458665331825614,0,0
mfcc_15_p90,0.004531077574938536,0,0
centroid_std,0.004495619796216488,0,0
mfcc_7_p10,0.004434524569660425,0,0
mfcc_delta_3_p90,0.004433902446180582,0,0
mfcc_10_p90,0.004390156362205744,0,0
mfcc_12_std,0.004331517498940229,0,0
rms_std,0.004279337357729673,0,0
mfcc_5_p10,0.004247147124260664,0,0
mfcc_1_p90,0.004241771996021271,0,0
mfcc_delta_1_std,0.004228005185723305,0,0
bandwidth_p10,0.004194220993667841,0,0
mfcc_17_p90,0.004178410861641169,0,0
contrast_4_p10,0.004114479757845402,0,0
mfcc_16_p90,0.004018357023596764,0,0
mfcc_10_std,0.00401072995737195,0,0
centroid_mean,0.0039929975755512714,0,0
mfcc_8_p90,0.003977316897362471,0,0
mfcc_delta_6_p90,0.003970976918935776,0,0
mfcc_5_mean,0.0039652870036661625,0,0
centroid_p10,0.003914653789252043,0,0
mfcc_12_mean,0.003902284661307931,0,0
mfcc_16_std,0.0038668173365294933,0,0
mfcc_delta_3_std,0.0038441037759184837,0,0
contrast_3_std,0.0038366722874343395,0,0
mfcc_1_p10,0.19208471477031708,0,1
mfcc_1_mean,0.12234947085380554,0,1
rolloff85_mean,0.036979664117097855,0,1
contrast_3_p90,0.03195136785507202,0,1
contrast_3_mean,0.03042224608361721,0,1
contrast_5_p90,0.014063548296689987,0,1
bandwidth_mean,0.011992458254098892,0,1
contrast_0_std,0.009756088256835938,0,1
contrast_5_mean,0.00966054480522871,0,1
mfcc_14_std,0.0084069250151515,0,1
contrast_0_mean,0.007788751740008593,0,1
flatness_p90,0.007760109379887581,0,1
mfcc_1_p90,0.007492777891457081,0,1
flatness_std,0.007404055912047625,0,1
mfcc_4_mean,0.00725554721429944,0,1
contrast_4_p90,0.006895228289067745,0,1
mfcc_delta_16_p10,0.005987358279526234,0,1
contrast_5_p10,0.005880916956812143,0,1
mfcc_18_std,0.005857115611433983,0,1
rms_p10,0.005783566273748875,0,1
rms_mean,0.005609933286905289,0,1
contrast_0_p90,0.005583945661783218,0,1
mfcc_15_std,0.0055318293161690235,0,1
mfcc_9_std,0.005482201464474201,0,1
mfcc_7_std,0.005197913385927677,0,1
mfcc_16_std,0.005144985392689705,0,1
rms_std,0.005009091924875975,0,1
spectral_entropy_p90,0.004868143238127232,0,1
mfcc_2_mean,0.004848032258450985,0,1
contrast_2_p10,0.004816898610442877,0,1
mfcc_delta_19_mean,0.004807733930647373,0,1
mfcc_2_p90,0.004717931617051363,0,1
mfcc_delta_9_std,0.00447229016572237,0,1
mfcc_4_p90,0.004441604949533939,0,1
