repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.4713740458015267,0.4677901344568011,0.4827925540393734,0.5309526955602537,0.6042922484463662,524.0,0.6744186046511628,0.4119318181818182,0.5114638447971781,352.0,0.3300970873786408,0.5930232558139535,0.42411642411642414,172.0
0,1,0.5028901734104047,0.5028883278883278,0.5032186763400637,0.6162396763863138,0.5994698722763063,519.0,0.7660818713450293,0.3753581661891118,0.5038461538461538,349.0,0.3735632183908046,0.7647058823529411,0.5019305019305019,170.0
0,2,0.9226305609284333,0.9126187337322111,0.9227449818106759,0.9716985929818612,0.9684246365924745,517.0,0.9449275362318841,0.9394812680115274,0.9421965317919075,347.0,0.877906976744186,0.888235294117647,0.8830409356725146,170.0
0,3,0.9153846153846154,0.9006944444444445,0.913621794871795,0.9093240443731623,0.9020773167275831,520.0,0.9086021505376344,0.9712643678160919,0.9388888888888889,348.0,0.9324324324324325,0.8023255813953488,0.8625,172.0
0,4,0.783109404990403,0.7579404400185843,0.7835588507934712,0.8709248554913295,0.8235374285549045,521.0,0.8396501457725948,0.8323699421965318,0.8359941944847605,346.0,0.6741573033707865,0.6857142857142857,0.6798866855524079,175.0
1,0,0.45351043643263755,0.44657390391178786,0.4680889115612031,0.526064526695054,0.6081422022172163,527.0,0.645021645021645,0.4197183098591549,0.5085324232081911,355.0,0.30405405405405406,0.5232558139534884,0.38461538461538464,172.0
1,1,0.7393822393822393,0.7003278267018063,0.7370849209892726,0.7539730690800007,0.7264674865828443,518.0,0.7960893854748603,0.8213256484149856,0.8085106382978723,347.0,0.6125,0.5730994152046783,0.5921450151057401,171.0
1,2,0.8169556840077071,0.7992835188992244,0.8195950333420908,0.8901408214021644,0.891044928192022,519.0,0.8892307692307693,0.8304597701149425,0.8588410104011887,348.0,0.6958762886597938,0.7894736842105263,0.7397260273972602,171.0
1,3,0.9224806201550387,0.9081196581196581,0.9205095077188101,0.9572424345460728,0.9385475195629615,516.0,0.9090909090909091,0.9826589595375722,0.9444444444444444,346.0,0.9577464788732394,0.8,0.8717948717948718,170.0
1,4,0.7562380038387716,0.7384134890984206,0.7608251951322442,0.8128654004954583,0.7604062648837122,521.0,0.8520900321543409,0.7658959537572254,0.806697108066971,346.0,0.6142857142857143,0.7371428571428571,0.6701298701298701,175.0
2,0,0.4484732824427481,0.4387413598206178,0.464128984052262,0.5372621564482029,0.6137020835885227,524.0,0.6307053941908713,0.4318181818181818,0.5126475548060708,352.0,0.29328621908127206,0.48255813953488375,0.3648351648351648,172.0
