repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.4602215508559919,0.4538805663862097,0.444339458912986,0.5019934842021063,0.6034415279273164,993.0,0.5663430420711975,0.30329289428076256,0.39503386004514673,577.0,0.41228070175438597,0.6778846153846154,0.5127272727272727,416.0
0,1,0.3987676056338028,0.3984762817367008,0.3927663333535013,0.5179970220754839,0.5156923162759091,1136.0,0.7181208053691275,0.26322263222632225,0.3852385238523852,813.0,0.2852028639618138,0.739938080495356,0.4117140396210164,323.0
0,2,0.9315789473684211,0.9279453901904602,0.931408624375704,0.9765512102601156,0.972155631732665,1140.0,0.9243119266055045,0.8995535714285714,0.9117647058823529,448.0,0.9360795454545454,0.9523121387283237,0.9441260744985673,692.0
0,3,0.9171779141104295,0.9168956238493131,0.9173512502356763,0.9518997489504442,0.931751963389253,978.0,0.8786610878661087,0.9480812641083521,0.9120521172638436,443.0,0.954,0.891588785046729,0.9217391304347826,535.0
0,4,0.7324324324324324,0.7252063015753938,0.7308667707467407,0.8239154806186011,0.8204384070930071,740.0,0.7471783295711061,0.7937649880095923,0.7697674418604651,417.0,0.7104377104377104,0.653250773993808,0.6806451612903226,323.0
1,0,0.4186046511627907,0.4167346164299964,0.411491840482698,0.49012031816351187,0.5970387060582882,989.0,0.49722222222222223,0.31239092495637,0.3837084673097535,573.0,0.37360890302066774,0.5649038461538461,0.44976076555023925,416.0
1,1,0.7572559366754618,0.7090022255192878,0.7597572089600151,0.7686547934823798,0.7391077277505234,1137.0,0.8401015228426396,0.8152709359605911,0.8275,812.0,0.5702005730659025,0.6123076923076923,0.5905044510385756,325.0
1,2,0.8336134453781513,0.8266806722689075,0.8324482734270179,0.922047852561123,0.916967398824875,1190.0,0.8267543859649122,0.7600806451612904,0.792016806722689,496.0,0.837874659400545,0.8861671469740634,0.8613445378151261,694.0
1,3,0.9347116430903155,0.9337450735364798,0.9349902937725024,0.9639369406100141,0.9547653491010476,919.0,0.8904761904761904,0.9639175257731959,0.9257425742574258,388.0,0.9719438877755511,0.9133709981167608,0.941747572815534,531.0
1,4,0.7952127659574468,0.7882882882882882,0.7936853076480737,0.8255356614489742,0.806415236140433,752.0,0.7995642701525054,0.8554778554778555,0.8265765765765766,429.0,0.78839590443686,0.7151702786377709,0.75,323.0
