feature,gain,repeat,fold
longitude,0.9415688514709473,0,0
site_code,0.02378614991903305,0,0
cond_water_noise,0.015882262960076332,0,0
latitude,0.01177267823368311,0,0
cond_no_visual,0.006990096997469664,0,0
cond_ship_noise,0.0,0,0
cond_engine_noise,0.0,0,0
cond_reverberation,0.0,0,0
cond_night_recording,0.0,0,0
cond_tape_speed_note,0.0,0,0
longitude,0.9088311791419983,0,1
site_code,0.05900748819112778,0,1
cond_water_noise,0.01668885536491871,0,1
cond_reverberation,0.007582823745906353,0,1
cond_no_visual,0.004605330526828766,0,1
latitude,0.0032843099907040596,0,1
cond_ship_noise,0.0,0,1
cond_engine_noise,0.0,0,1
cond_night_recording,0.0,0,1
cond_tape_speed_note,0.0,0,1
latitude,0.8607637882232666,0,2
site_code,0.09124436229467392,0,2
cond_water_noise,0.024619510397315025,0,2
cond_reverberation,0.017631374299526215,0,2
cond_no_visual,0.005740998778492212,0,2
longitude,0.0,0,2
cond_ship_noise,0.0,0,2
cond_engine_noise,0.0,0,2
cond_night_recording,0.0,0,2
cond_tape_speed_note,0.0,0,2
longitude,0.8394673466682434,0,3
site_code,0.06864533573389053,0,3
cond_water_noise,0.023018576204776764,0,3
cond_reverberation,0.022195223718881607,0,3
cond_no_visual,0.014577255584299564,0,3
cond_night_recording,0.013862339779734612,0,3
latitude,0.01346009410917759,0,3
cond_engine_noise,0.0047738864086568356,0,3
cond_ship_noise,0.0,0,3
cond_tape_speed_note,0.0,0,3
longitude,0.8623083233833313,0,4
cond_no_visual,0.03341054543852806,0,4
cond_water_noise,0.026800571009516716,0,4
cond_reverberation,0.02550196275115013,0,4
latitude,0.022604497149586678,0,4
site_code,0.014607270248234272,0,4
cond_night_recording,0.009401105344295502,0,4
cond_engine_noise,0.00536573538556695,0,4
cond_ship_noise,0.0,0,4
cond_tape_speed_note,0.0,0,4
longitude,0.9358993768692017,1,0
site_code,0.021812474355101585,1,0
latitude,0.019592540338635445,1,0
cond_water_noise,0.01507512666285038,1,0
cond_no_visual,0.0076205069199204445,1,0
cond_ship_noise,0.0,1,0
cond_engine_noise,0.0,1,0
cond_reverberation,0.0,1,0
cond_night_recording,0.0,1,0
cond_tape_speed_note,0.0,1,0
latitude,0.9492439031600952,1,1
cond_reverberation,0.022011203691363335,1,1
cond_water_noise,0.02196911908686161,1,1
site_code,0.00369478901848197,1,1
cond_no_visual,0.003081003436818719,1,1
longitude,0.0,1,1
cond_ship_noise,0.0,1,1
cond_engine_noise,0.0,1,1
cond_night_recording,0.0,1,1
cond_tape_speed_note,0.0,1,1
longitude,0.8218995332717896,1,2
site_code,0.11798609793186188,1,2
cond_reverberation,0.027176441624760628,1,2
cond_no_visual,0.014552785083651543,1,2
cond_water_noise,0.005156987812370062,1,2
latitude,0.004834015853703022,1,2
cond_night_recording,0.00463064294308424,1,2
cond_engine_noise,0.003763608168810606,1,2
cond_ship_noise,0.0,1,2
cond_tape_speed_note,0.0,1,2
longitude,0.8963184952735901,1,3
site_code,0.026958676055073738,1,3
cond_reverberation,0.024649959057569504,1,3
cond_water_noise,0.019574953243136406,1,3
cond_no_visual,0.012027053162455559,1,3
latitude,0.00845157541334629,1,3
cond_night_recording,0.007046101149171591,1,3
cond_engine_noise,0.004973184317350388,1,3
cond_ship_noise,0.0,1,3
cond_tape_speed_note,0.0,1,3
longitude,0.8720530271530151,1,4
cond_no_visual,0.03320988267660141,1,4
cond_water_noise,0.028341781347990036,1,4
cond_reverberation,0.019597502425312996,1,4
latitude,0.018570054322481155,1,4
site_code,0.016764160245656967,1,4
cond_night_recording,0.0074777984991669655,1,4
cond_engine_noise,0.00398576445877552,1,4
