repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.8854961832061069,0.8749761404848253,0.8874340858126587,0.8756111257928118,0.8338399680716442,524.0,0.9506172839506173,0.875,0.9112426035502958,352.0,0.78,0.9069767441860465,0.8387096774193549,172.0
0,1,0.7591522157996147,0.7262207705065391,0.7589692633257642,0.6846114950278105,0.641640059349548,519.0,0.82,0.8223495702005731,0.821173104434907,349.0,0.6331360946745562,0.6294117647058823,0.6312684365781711,170.0
0,2,0.9264990328820116,0.918386507145231,0.927195814233637,0.9362180030513647,0.9256477864190062,517.0,0.963963963963964,0.9250720461095101,0.9441176470588235,347.0,0.8586956521739131,0.9294117647058824,0.8926553672316384,170.0
0,3,0.6057692307692307,0.3772455089820359,0.5049286043298018,0.1267542101042502,0.4290704250878378,520.0,0.6468172484599589,0.9051724137931034,0.7544910179640718,348.0,0.0,0.0,0.0,172.0
0,4,0.5892514395393474,0.5086638462894413,0.5739741706768059,0.7834516928158547,0.7583123210448665,521.0,0.6709844559585493,0.7485549132947977,0.7076502732240437,346.0,0.35555555555555557,0.2742857142857143,0.3096774193548387,175.0
1,0,0.8861480075901328,0.875366568914956,0.8880956223185518,0.9212086472322305,0.8628787825207391,527.0,0.9510703363914373,0.8760563380281691,0.9120234604105572,355.0,0.78,0.9069767441860465,0.8387096774193549,172.0
1,1,0.46332046332046334,0.44810829040961486,0.4169764016618321,0.43407148996410333,0.5190872562856547,518.0,0.9058823529411765,0.2219020172910663,0.35648148148148145,347.0,0.37644341801385683,0.9532163742690059,0.5397350993377483,171.0
1,2,0.859344894026975,0.849617166196311,0.8626611648783378,0.8378369294884723,0.8096838624772482,519.0,0.9537953795379538,0.8304597701149425,0.8878648233486943,348.0,0.7268518518518519,0.9181286549707602,0.8113695090439277,171.0
1,3,0.6705426356589147,0.4013921113689095,0.5383010485800104,0.30547432845970757,0.5337538368036351,516.0,0.6705426356589147,1.0,0.802784222737819,346.0,0.0,0.0,0.0,170.0
1,4,0.6564299424184261,0.5578570581960413,0.6263772338140404,0.7834516928158547,0.7583123210448665,521.0,0.6983372921615202,0.8497109826589595,0.7666232073011734,346.0,0.48,0.2742857142857143,0.3490909090909091,175.0
2,0,0.8854961832061069,0.8749761404848253,0.8874340858126587,0.8756111257928118,0.8338399680716442,524.0,0.9506172839506173,0.875,0.9112426035502958,352.0,0.78,0.9069767441860465,0.8387096774193549,172.0
2,1,0.7601547388781431,0.726650975576477,0.759784531548843,0.6841886009657894,0.6414992332223245,517.0,0.82,0.8247126436781609,0.8223495702005731,348.0,0.6347305389221557,0.6272189349112426,0.6309523809523809,169.0
2,2,0.9132947976878613,0.9031463441943791,0.9138384648392978,0.9333198897627208,0.9197791749340722,519.0,0.9469026548672567,0.9224137931034483,0.9344978165938864,348.0,0.85,0.8947368421052632,0.8717948717948718,171.0
2,3,0.6057692307692307,0.3772455089820359,0.5049286043298018,0.12949411921946002,0.430825926758079,520.0,0.6468172484599589,0.9051724137931034,0.7544910179640718,348.0,0.0,0.0,0.0,172.0
2,4,0.6564299424184261,0.5578570581960413,0.6263772338140404,0.7834516928158547,0.7583123210448665,521.0,0.6983372921615202,0.8497109826589595,0.7666232073011734,346.0,0.48,0.2742857142857143,0.3490909090909091,175.0
3,0,0.9015444015444015,0.8910162002945508,0.9027868600769926,0.9315457520218375,0.8821371091682066,518.0,0.9515151515151515,0.8997134670487106,0.9248895434462445,349.0,0.8138297872340425,0.9053254437869822,0.8571428571428571,169.0
3,1,0.47674418604651164,0.45956429990069514,0.42632495496639805,0.4548283682621967,0.5270824700193899,516.0,1.0,0.2219020172910663,0.3632075471698113,347.0,0.38496583143507973,1.0,0.555921052631579,169.0
3,2,0.859344894026975,0.849617166196311,0.8626611648783378,0.8378369294884723,0.8096838624772482,519.0,0.9537953795379538,0.8304597701149425,0.8878648233486943,348.0,0.7268518518518519,0.9181286549707602,0.8113695090439277,171.0
3,3,0.9047619047619048,0.8891544490237147,0.9030189401617008,0.8814530612244897,0.8524899319686912,525.0,0.9032258064516129,0.96,0.9307479224376731,350.0,0.9084967320261438,0.7942857142857143,0.8475609756097561,175.0
3,4,0.6577437858508605,0.5584624454663365,0.6277191869442503,0.8575533661740558,0.8069792279196406,523.0,0.6997635933806147,0.8505747126436781,0.767833981841764,348.0,0.48,0.2742857142857143,0.3490909090909091,175.0
4,0,0.9032882011605415,0.8926138251910933,0.9044669666050206,0.8968481375358166,0.8709212016375899,517.0,0.9516616314199395,0.9025787965616046,0.9264705882352942,349.0,0.8172043010752689,0.9047619047619048,0.8587570621468926,168.0
4,1,0.7591522157996147,0.7262207705065391,0.7589692633257642,0.6846114950278105,0.641640059349548,519.0,0.82,0.8223495702005731,0.821173104434907,349.0,0.6331360946745562,0.6294117647058823,0.6312684365781711,170.0
4,2,0.9263565891472868,0.918081550802139,0.9270629948596775,0.9360537489555446,0.9256908167610574,516.0,0.963963963963964,0.9250720461095101,0.9441176470588235,347.0,0.8579234972677595,0.9289940828402367,0.8920454545454546,169.0
4,3,0.9047619047619048,0.8891544490237147,0.9030189401617008,0.8814530612244897,0.8524899319686912,525.0,0.9032258064516129,0.96,0.9307479224376731,350.0,0.9084967320261438,0.7942857142857143,0.8475609756097561,175.0
4,4,0.6545801526717557,0.5559051726156194,0.6238191265004096,0.8483368338787671,0.7997299171780954,524.0,0.6957547169811321,0.8501440922190202,0.7652399481193255,347.0,0.48,0.2711864406779661,0.34657039711191334,177.0
5,0,0.8854961832061069,0.8749761404848253,0.8874340858126587,0.8756111257928118,0.8338399680716442,524.0,0.9506172839506173,0.875,0.9112426035502958,352.0,0.78,0.9069767441860465,0.8387096774193549,172.0
5,1,0.7591522157996147,0.7270455281747918,0.758971841150037,0.6860842239698864,0.642795204677572,519.0,0.8194842406876791,0.8218390804597702,0.8206599713055954,348.0,0.6352941176470588,0.631578947368421,0.6334310850439883,171.0
5,2,0.5910852713178295,0.5909608340377571,0.5884997411652152,0.469007383660454,0.5878677074848433,516.0,0.925,0.4265129682997118,0.5838264299802761,347.0,0.4410112359550562,0.9289940828402367,0.5980952380952381,169.0
5,3,0.6692307692307692,0.4009216589861751,0.5366182204891882,0.1437282812082331,0.44089170460037996,520.0,0.6692307692307692,1.0,0.8018433179723502,348.0,0.0,0.0,0.0,172.0
5,4,0.657088122605364,0.5581605390708122,0.6270493826657226,0.857274598600247,0.8068370000508163,522.0,0.6990521327014217,0.8501440922190202,0.7672301690507152,347.0,0.48,0.2742857142857143,0.3490909090909091,175.0
6,0,0.8996138996138996,0.8884305051609589,0.9007049624873572,0.9328258252657635,0.8839340131929905,518.0,0.9459459459459459,0.9025787965616046,0.9237536656891495,349.0,0.8162162162162162,0.893491124260355,0.8531073446327684,169.0
6,1,0.7601547388781431,0.726650975576477,0.759784531548843,0.6841886009657894,0.6414992332223245,517.0,0.82,0.8247126436781609,0.8223495702005731,348.0,0.6347305389221557,0.6272189349112426,0.6309523809523809,169.0
6,2,0.9248554913294798,0.9167437900270241,0.9256065747834109,0.9367480002688715,0.9241336891058325,519.0,0.963963963963964,0.9224137931034483,0.9427312775330396,348.0,0.8548387096774194,0.9298245614035088,0.8907563025210085,171.0
6,3,0.6577946768060836,0.4219074368054707,0.5454674196629347,0.15706959706959708,0.44371590345821804,526.0,0.6673189823874756,0.9715099715099715,0.7911832946635731,351.0,0.3333333333333333,0.02857142857142857,0.05263157894736842,175.0
