repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.9113796576032226,0.910174913447859,0.911861555265368,0.9089663044927343,0.8827921756404685,993.0,0.96045197740113,0.8838821490467937,0.9205776173285198,577.0,0.854978354978355,0.9495192307692307,0.8997722095671982,416.0
0,1,0.8459507042253521,0.8158943893166886,0.8479806514196192,0.8111074299597485,0.743034084085885,1136.0,0.907928388746803,0.8733087330873309,0.890282131661442,813.0,0.7090395480225988,0.7770897832817337,0.741506646971935,323.0
0,2,0.9394736842105263,0.935498736788762,0.9389258999368556,0.9734433061519405,0.9548690147768029,1140.0,0.9633251833740831,0.8794642857142857,0.9194865810968494,448.0,0.9261285909712722,0.9783236994219653,0.9515108924806747,692.0
0,3,0.37934560327198363,0.2750185322461082,0.2491476682720367,0.05724773738950657,0.42841822766634924,978.0,0.4094922737306843,0.837471783295711,0.5500370644922165,443.0,0.0,0.0,0.0,535.0
0,4,0.5378378378378378,0.5037296750358848,0.5202563106203363,0.7596387286455666,0.7683319994717994,740.0,0.5725338491295938,0.709832134292566,0.6338329764453962,417.0,0.45739910313901344,0.3157894736842105,0.37362637362637363,323.0
1,0,0.9110212335692619,0.9098861047835991,0.9114916473002571,0.9391654920123507,0.9098959180233799,989.0,0.9601518026565465,0.8830715532286213,0.92,573.0,0.854978354978355,0.9495192307692307,0.8997722095671982,416.0
1,1,0.3623570800351803,0.33893917510643773,0.28564702697420585,0.2675009473285336,0.485895725991415,1137.0,0.8918918918918919,0.12192118226600986,0.21451787648970747,812.0,0.3050682261208577,0.963076923076923,0.463360473723168,325.0
1,2,0.8781512605042017,0.8695841127676057,0.8751457365441501,0.828441654271637,0.8566713233729235,1190.0,0.9511568123393316,0.7459677419354839,0.8361581920903954,496.0,0.8426966292134831,0.9726224783861671,0.903010033444816,694.0
1,3,0.42219804134929273,0.29686304514154555,0.25066999241549437,0.25626371172850293,0.5636777790418581,919.0,0.42219804134929273,1.0,0.5937260902830911,388.0,0.0,0.0,0.0,531.0
1,4,0.6037234042553191,0.5544846561856367,0.5753618853671821,0.766362120851285,0.7716732983876331,752.0,0.6143106457242583,0.8205128205128205,0.7025948103792415,429.0,0.5698324022346368,0.3157894736842105,0.4063745019920319,323.0
