metric,mean,std,min,max,folds
accuracy,0.7285243968670941,0.10583930747455768,0.47104247104247104,0.9132947976878613,50
macro_f1,0.6618494874224591,0.14142705380899706,0.3802145411203814,0.8978154245986778,50
weighted_f1,0.7049617476162399,0.12355858434721179,0.4223796142604554,0.9112257725719803,50
roc_auc_ovr_macro,0.7280647796884733,0.23677747154276182,0.11167635658914728,0.9217294417264259,50
average_precision_macro,0.7493948090731005,0.15257721306939906,0.39575135794433935,0.9117691928094281,50
n_items,520.2,3.2134919654862837,516.0,527.0,50
precision_absent,0.8018639030489152,0.08446913003434632,0.6487603305785123,1.0,50
recall_absent,0.8225703949169555,0.19865911210406734,0.2219020172910663,1.0,50
f1_absent,0.7893600357309856,0.12149985590473493,0.3598130841121495,0.9375866851595007,50
support_absent,348.4,1.8626292586293283,346.0,355.0,50
precision_present,0.6034325570574599,0.25565535355018315,0.0,0.9379310344827586,50
recall_present,0.5387274845435214,0.27827659321091663,0.0,1.0,50
f1_present,0.5343389391139327,0.22847873638594113,0.0,0.8580441640378549,50
support_present,171.8,2.634155559226539,168.0,177.0,50
