feature,gain,fold
mfcc_2_p90,0.10188094526529312,0
mfcc_2_mean,0.06739932298660278,0
mfcc_2_p10,0.026906797662377357,0
rolloff85_mean,0.0169623252004385,0
contrast_3_mean,0.016586221754550934,0
mfcc_1_mean,0.01560389157384634,0
bandwidth_mean,0.013761826790869236,0
rms_p10,0.012688608840107918,0
mfcc_delta_3_p90,0.01165307778865099,0
contrast_3_p10,0.011499729938805103,0
mfcc_8_std,0.011176018044352531,0
bandwidth_p10,0.010813144035637379,0
spectral_entropy_p10,0.010797949507832527,0
bandwidth_p90,0.009748045355081558,0
contrast_0_mean,0.009735618717968464,0
contrast_0_p90,0.00882706418633461,0
mfcc_3_p90,0.008390742354094982,0
contrast_5_mean,0.008179196156561375,0
mfcc_6_p90,0.008093168027698994,0
mfcc_1_p10,0.00762599054723978,0
mfcc_4_mean,0.00737905316054821,0
mfcc_delta_15_std,0.007276277989149094,0
mfcc_0_std,0.007034749258309603,0
mfcc_7_std,0.006935287266969681,0
mfcc_12_mean,0.006872275844216347,0
contrast_1_p90,0.006666840519756079,0
flatness_p10,0.006632064934819937,0
mfcc_2_std,0.0065154037438333035,0
mfcc_17_mean,0.006455479189753532,0
centroid_p10,0.00645537581294775,0
mfcc_18_p10,0.006341111846268177,0
flatness_p90,0.006269056349992752,0
mfcc_14_std,0.006257645785808563,0
spectral_entropy_p90,0.0061946106143295765,0
mfcc_delta_9_p10,0.006115720607340336,0
contrast_4_p90,0.005991595331579447,0
contrast_5_p10,0.005986359436064959,0
mfcc_3_mean,0.005828819237649441,0
mfcc_delta_8_std,0.0057851215824484825,0
contrast_1_mean,0.005677132401615381,0
mfcc_6_p10,0.005623812321573496,0
contrast_3_p90,0.00560013297945261,0
mfcc_10_p90,0.0055725048296153545,0
mfcc_4_p10,0.005567546933889389,0
mfcc_0_p10,0.005280113313347101,0
dominant_frequency,0.005224814172834158,0
mfcc_5_mean,0.005152304191142321,0
mfcc_1_std,0.005136481486260891,0
mfcc_6_std,0.00507862213999033,0
mfcc_delta_7_p90,0.005043199751526117,0
mfcc_delta_15_mean,0.004974280949681997,0
mfcc_10_p10,0.0048890430480241776,0
contrast_2_std,0.004884984809905291,0
mfcc_delta_17_p10,0.004877031780779362,0
rolloff85_p10,0.004756989888846874,0
rolloff85_std,0.004726538900285959,0
mfcc_16_mean,0.004642112646251917,0
mfcc_15_mean,0.004628264810889959,0
mfcc_delta_4_p90,0.004479416646063328,0
mfcc_delta_12_std,0.004435393027961254,0
mfcc_2_mean,0.14393161237239838,1
mfcc_2_p90,0.09569433331489563,1
contrast_3_p10,0.02564528025686741,1
mfcc_2_p10,0.023444244638085365,1
flatness_std,0.020709825679659843,1
flatness_p90,0.014281037263572216,1
bandwidth_mean,0.01258475799113512,1
rms_mean,0.012505516409873962,1
rms_p90,0.012232650071382523,1
rms_p10,0.010422449558973312,1
contrast_3_mean,0.010026107542216778,1
mfcc_3_mean,0.009641622193157673,1
flatness_mean,0.009261217899620533,1
mfcc_18_p10,0.008514905348420143,1
mfcc_7_std,0.007994445040822029,1
spectral_entropy_p10,0.007655505556613207,1
mfcc_0_mean,0.007063319906592369,1
mfcc_0_p10,0.007044545840471983,1
mfcc_15_mean,0.006781573407351971,1
mfcc_6_p90,0.0060544200241565704,1
mfcc_4_p10,0.005699856206774712,1
contrast_0_mean,0.005616859998553991,1
