repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.953307392996109,0.5264854905573468,0.9550566630880711,0.5753652058432934,0.5218922541994503,514.0,0.978,0.9741035856573705,0.9760479041916168,502.0,0.07142857142857142,0.08333333333333333,0.07692307692307693,12.0
0,1,0.9630350194552529,0.6840198013395024,0.9647680332323694,0.9135714285714285,0.7215558951005103,514.0,0.9839034205231388,0.978,0.9809428284854563,500.0,0.35294117647058826,0.42857142857142855,0.3870967741935484,14.0
0,2,0.9727095516569201,0.49308300395256915,0.9592530954087017,0.33323790438018897,0.4930954724342227,513.0,0.9727095516569201,1.0,0.9861660079051383,499.0,0.0,0.0,0.0,14.0
0,3,0.9651162790697675,0.5411067193675889,0.9531482673039802,0.9684074030413768,0.7025763408496057,516.0,0.9688109161793372,0.9959919839679359,0.9822134387351779,499.0,0.3333333333333333,0.058823529411764705,0.1,17.0
0,4,0.9246323529411765,0.6204672690455528,0.9040215772357235,0.9409262970385214,0.7472877657734904,544.0,0.9304511278195489,0.9919839679358717,0.9602327837051406,499.0,0.6666666666666666,0.17777777777777778,0.2807017543859649,45.0
1,0,0.9629629629629629,0.49056603773584906,0.9581816175659275,0.6235861610113107,0.5101341799436542,513.0,0.9762845849802372,0.9860279441117764,0.9811320754716981,501.0,0.0,0.0,0.0,12.0
1,1,0.9669260700389105,0.6983880432156294,0.9674797566921545,0.901,0.714979830086857,514.0,0.9839679358717435,0.982,0.982982982982983,500.0,0.4,0.42857142857142855,0.41379310344827586,14.0
1,2,0.9727095516569201,0.49308300395256915,0.9592530954087017,0.4166905239049528,0.49640963806757205,513.0,0.9727095516569201,1.0,0.9861660079051383,499.0,0.0,0.0,0.0,14.0
1,3,0.9690522243713733,0.5921104536489152,0.9584341463228534,0.9718823529411765,0.7243627581668146,517.0,0.9708171206225681,0.998,0.9842209072978304,500.0,0.6666666666666666,0.11764705882352941,0.2,17.0
1,4,0.9209558823529411,0.5576984892317582,0.8922194962845312,0.9281006457359163,0.7280059261809727,544.0,0.9237918215613383,0.9959919839679359,0.9585342333654774,499.0,0.6666666666666666,0.08888888888888889,0.1568627450980392,45.0
2,0,0.974609375,0.49357072205736896,0.9640053165182988,0.6335,0.5195888096836845,512.0,0.9765166340508806,0.998,0.9871414441147379,500.0,0.0,0.0,0.0,12.0
2,1,0.9688109161793372,0.6843076923076923,0.9688109161793372,0.9113846153846155,0.6887457744969778,513.0,0.984,0.984,0.984,500.0,0.38461538461538464,0.38461538461538464,0.38461538461538464,13.0
2,2,0.9727095516569201,0.49308300395256915,0.9592530954087017,0.38763240767248786,0.49698623549467336,513.0,0.9727095516569201,1.0,0.9861660079051383,499.0,0.0,0.0,0.0,14.0
2,3,0.9671179883945842,0.5442571947109152,0.9526829813812863,0.9621465152527277,0.7268132422857498,517.0,0.9670542635658915,1.0,0.9832512315270936,499.0,1.0,0.05555555555555555,0.10526315789473684,18.0
2,4,0.9175824175824175,0.5538162601921296,0.8902815092184406,0.9227988467509426,0.7177598767312243,546.0,0.9237918215613383,0.9920159680638723,0.9566891241578441,501.0,0.5,0.08888888888888889,0.1509433962264151,45.0
3,0,0.966796875,0.4915590863952334,0.9600763406156902,0.5953333333333333,0.5087302831980448,512.0,0.9763313609467456,0.99,0.9831181727904668,500.0,0.0,0.0,0.0,12.0
3,1,0.9609375,0.6566063044936284,0.9634630700871898,0.9019577616772005,0.6919914427261937,512.0,0.9838383838383838,0.9759519038076152,0.9798792756539235,499.0,0.29411764705882354,0.38461538461538464,0.3333333333333333,13.0
3,2,0.9689320388349515,0.4921104536489152,0.9555542789299325,0.3854666666666667,0.5028354723849412,515.0,0.9708171206225681,0.998,0.9842209072978304,500.0,0.0,0.0,0.0,15.0
3,3,0.9689922480620154,0.5476660092044707,0.9554556620746246,0.9610986679240834,0.6849087467806687,516.0,0.9689320388349515,1.0,0.9842209072978304,499.0,1.0,0.058823529411764705,0.1111111111111111,17.0
3,4,0.9175824175824175,0.5538162601921296,0.8902815092184406,0.9219560878243513,0.7169428898800276,546.0,0.9237918215613383,0.9920159680638723,0.9566891241578441,501.0,0.5,0.08888888888888889,0.1509433962264151,45.0
4,0,0.9571150097465887,0.48904382470119523,0.9552084061415158,0.5430805056553559,0.5052178365391279,513.0,0.9761431411530815,0.9800399201596807,0.9780876494023905,501.0,0.0,0.0,0.0,12.0
4,1,0.9668615984405458,0.6766766766766767,0.9674586867569325,0.9163076923076923,0.6900940414453909,513.0,0.9839679358717435,0.982,0.982982982982983,500.0,0.35714285714285715,0.38461538461538464,0.37037037037037035,13.0
4,2,0.9689320388349515,0.4921104536489152,0.9555542789299325,0.46426666666666666,0.5028295425992265,515.0,0.9708171206225681,0.998,0.9842209072978304,500.0,0.0,0.0,0.0,15.0
4,3,0.9670542635658915,0.5442406608822155,0.9542932896418368,0.9661676293763999,0.6998105392726099,516.0,0.9688715953307393,0.9979959919839679,0.983218163869694,499.0,0.5,0.058823529411764705,0.10526315789473684,17.0
4,4,0.9117647058823529,0.5323447238340855,0.8838889520992149,0.9229792919171678,0.710700737448337,544.0,0.9214953271028037,0.9879759519038076,0.9535783365570599,499.0,0.3333333333333333,0.06666666666666667,0.1111111111111111,45.0
5,0,0.958984375,0.5329887503800548,0.9581132183034358,0.625,0.5226010901284885,512.0,0.9780439121756487,0.98,0.9790209790209791,500.0,0.09090909090909091,0.08333333333333333,0.08695652173913043,12.0
5,1,0.9612403100775194,0.6775,0.9635852713178295,0.9227376209447923,0.7605897182624533,516.0,0.9839357429718876,0.9760956175298805,0.98,502.0,0.3333333333333333,0.42857142857142855,0.375,14.0
5,2,0.9727095516569201,0.49308300395256915,0.9592530954087017,0.35227598053249354,0.493749556946582,513.0,0.9727095516569201,1.0,0.9861660079051383,499.0,0.0,0.0,0.0,14.0
5,3,0.9670542635658915,0.5442406608822155,0.9542932896418368,0.9673464576211246,0.7268673016269921,516.0,0.9688715953307393,0.9979959919839679,0.983218163869694,499.0,0.5,0.058823529411764705,0.10526315789473684,17.0
5,4,0.9227941176470589,0.6295719844357976,0.9046191920347906,0.9414606991761301,0.740151022113708,544.0,0.9319470699432892,0.9879759519038076,0.9591439688715954,499.0,0.6,0.2,0.3,45.0
6,0,0.9688109161793372,0.49207920792079207,0.9611371663482137,0.5379241516966068,0.5132610543039398,513.0,0.9764243614931237,0.9920159680638723,0.9841584158415841,501.0,0.0,0.0,0.0,12.0
6,1,0.9590643274853801,0.6273994396984055,0.9611201015832334,0.9336923076923077,0.6647574256653365,513.0,0.9818913480885312,0.976,0.9789368104312939,500.0,0.25,0.3076923076923077,0.27586206896551724,13.0
6,2,0.9669260700389105,0.49159248269040556,0.9544927971303984,0.4947227788911156,0.5099021891348096,514.0,0.970703125,0.9959919839679359,0.9831849653808111,499.0,0.0,0.0,0.0,15.0
