metric,mean,std,min,max,folds
accuracy,0.9565804605924808,0.021482822531221923,0.9117647058823529,0.9746588693957114,50
macro_f1,0.5555983945764599,0.07085937034253549,0.4905847373637265,0.6984219754529515,50
weighted_f1,0.9453990811560439,0.028643013562357874,0.8849897725018363,0.9701900438742543,50
roc_auc_ovr_macro,0.7740651118016362,0.2142964363528531,0.27698253650157456,0.9722975362489685,50
average_precision_macro,0.6270078181806471,0.09901057227715207,0.48935514709163297,0.7414815877329003,50
n_items,520.2,12.355284748822658,512.0,546.0,50
precision_absent,0.965171947393268,0.021340416434362942,0.9216417910447762,0.9840319361277445,50
recall_absent,0.9905642737146246,0.008762372423630269,0.97,1.0,50
f1_absent,0.9775575721874102,0.01153713659827028,0.9532163742690059,0.9871668311944719,50
support_absent,499.8,0.989743318610787,499.0,502.0,50
precision_present,0.2671894886159592,0.2569074564103815,0.0,1.0,50
recall_present,0.11944286432521727,0.15286687913172536,0.0,0.42857142857142855,50
f1_present,0.1336392169655096,0.1431760505988475,0.0,0.41379310344827586,50
support_present,20.4,12.542173752941697,12.0,45.0,50
