feature,gain,repeat,fold
longitude,0.547553539276123,0,0
cond_water_noise,0.23119428753852844,0,0
collection_code,0.08134932816028595,0,0
cond_no_visual,0.03732765093445778,0,0
duration_seconds,0.03608863800764084,0,0
bytes_on_disk,0.023718619719147682,0,0
latitude,0.016254032030701637,0,0
site_code,0.011227092705667019,0,0
year,0.008070770651102066,0,0
cond_reverberation,0.007216063793748617,0,0
native_sample_rate,0.0,0,0
cond_ship_noise,0.0,0,0
cond_engine_noise,0.0,0,0
cond_night_recording,0.0,0,0
cond_tape_speed_note,0.0,0,0
longitude,0.6547427177429199,0,1
native_sample_rate,0.14236241579055786,0,1
cond_water_noise,0.060009732842445374,0,1
collection_code,0.04512928053736687,0,1
duration_seconds,0.02594919688999653,0,1
latitude,0.02303878776729107,0,1
site_code,0.01850219815969467,0,1
bytes_on_disk,0.015496314503252506,0,1
cond_reverberation,0.007793504279106855,0,1
year,0.006975858472287655,0,1
cond_ship_noise,0.0,0,1
cond_engine_noise,0.0,0,1
cond_night_recording,0.0,0,1
cond_no_visual,0.0,0,1
cond_tape_speed_note,0.0,0,1
longitude,0.7661298513412476,0,2
year,0.13349246978759766,0,2
cond_no_visual,0.03599322959780693,0,2
duration_seconds,0.025293808430433273,0,2
bytes_on_disk,0.01594698056578636,0,2
latitude,0.015726430341601372,0,2
cond_reverberation,0.004454941488802433,0,2
site_code,0.0025478247553110123,0,2
native_sample_rate,0.0004143665137235075,0,2
collection_code,0.0,0,2
cond_ship_noise,0.0,0,2
cond_engine_noise,0.0,0,2
cond_water_noise,0.0,0,2
cond_night_recording,0.0,0,2
cond_tape_speed_note,0.0,0,2
longitude,0.5902631282806396,0,3
cond_water_noise,0.10251840204000473,0,3
site_code,0.08406767249107361,0,3
collection_code,0.05669659748673439,0,3
duration_seconds,0.03727317228913307,0,3
cond_no_visual,0.03475915268063545,0,3
latitude,0.03421162813901901,0,3
bytes_on_disk,0.028668588027358055,0,3
year,0.014547500759363174,0,3
cond_reverberation,0.013177303597331047,0,3
