feature,gain,repeat,fold
mfcc_1_mean,0.15358267724514008,0,0
mfcc_1_p90,0.0749259740114212,0,0
mfcc_1_p10,0.032834090292453766,0,0
mfcc_17_mean,0.02465410903096199,0,0
mfcc_17_p10,0.024332983419299126,0,0
mfcc_delta_0_p10,0.014732974581420422,0,0
rolloff85_p90,0.012756074778735638,0,0
contrast_5_p10,0.008767533116042614,0,0
mfcc_15_std,0.008361773565411568,0,0
contrast_2_p10,0.008202294819056988,0,0
mfcc_6_p90,0.007378585636615753,0,0
mfcc_4_p10,0.007331970613449812,0,0
rms_p10,0.0067632426507771015,0,0
contrast_2_mean,0.00673651834949851,0,0
mfcc_delta_0_std,0.006443921010941267,0,0
mfcc_delta_15_std,0.006258328910917044,0,0
mfcc_delta_17_std,0.006244546268135309,0,0
zero_crossing_rate_p10,0.005941647570580244,0,0
flatness_p90,0.005895135924220085,0,0
centroid_std,0.005682877264916897,0,0
mfcc_19_p90,0.005563036538660526,0,0
mfcc_12_p90,0.005457885563373566,0,0
mfcc_1_std,0.005424787290394306,0,0
mfcc_delta_0_p90,0.005359710659831762,0,0
mfcc_3_p90,0.0052363816648721695,0,0
rms_mean,0.005165030714124441,0,0
mfcc_3_p10,0.005106017459183931,0,0
contrast_0_mean,0.00510376738384366,0,0
mfcc_4_mean,0.005084272939711809,0,0
mfcc_10_p90,0.005071229301393032,0,0
mfcc_delta_14_std,0.004977888893336058,0,0
contrast_1_p10,0.004747231490910053,0,0
mfcc_16_std,0.004744403064250946,0,0
bandwidth_mean,0.0047256676480174065,0,0
dominant_frequency,0.004719847347587347,0,0
spectral_entropy_mean,0.004683014936745167,0,0
zero_crossing_rate_std,0.004511145409196615,0,0
mfcc_9_mean,0.004482731223106384,0,0
mfcc_7_std,0.004335157573223114,0,0
mfcc_delta_7_p10,0.004275774583220482,0,0
centroid_p90,0.0042703645303845406,0,0
mfcc_2_p10,0.00426005944609642,0,0
bandwidth_p10,0.0042406115680933,0,0
mfcc_11_p10,0.004236220847815275,0,0
mfcc_delta_10_std,0.0041750650852918625,0,0
rms_p90,0.00412446865811944,0,0
mfcc_2_p90,0.004107195418328047,0,0
mfcc_delta_16_p90,0.004065562970936298,0,0
contrast_5_mean,0.003972872160375118,0,0
mfcc_delta_1_std,0.0038986308500170708,0,0
spectral_entropy_p10,0.0038777838926762342,0,0
mfcc_4_p90,0.003872630186378956,0,0
mfcc_6_mean,0.0038325097411870956,0,0
dominant_frequency_ratio,0.0037998196203261614,0,0
mfcc_delta_10_p10,0.003785731503739953,0,0
mfcc_delta_4_p90,0.0037740899715572596,0,0
mfcc_delta_14_p90,0.0037301445845514536,0,0
mfcc_8_p10,0.003638485912233591,0,0
mfcc_19_mean,0.0035796405281871557,0,0
mfcc_14_std,0.003552531125023961,0,0
mfcc_1_mean,0.12787772715091705,0,1
mfcc_1_p10,0.08761850744485855,0,1
contrast_5_p10,0.030952218919992447,0,1
mfcc_delta_16_std,0.015509210526943207,0,1
mfcc_delta_0_p10,0.015269998461008072,0,1
mfcc_1_p90,0.014136546291410923,0,1
mfcc_delta_0_p90,0.011449323035776615,0,1
rms_mean,0.010781394317746162,0,1
rms_p90,0.009773558005690575,0,1
mfcc_3_mean,0.009332424029707909,0,1
mfcc_10_std,0.008538778871297836,0,1
mfcc_3_p10,0.008054337464272976,0,1
mfcc_4_p10,0.007087616249918938,0,1
mfcc_2_p90,0.006931850221008062,0,1
mfcc_1_std,0.006757178343832493,0,1
mfcc_16_std,0.006756151560693979,0,1
rms_p10,0.0064661395736038685,0,1
rolloff85_p90,0.006360630039125681,0,1
contrast_0_mean,0.006332024000585079,0,1
spectral_entropy_mean,0.006112996488809586,0,1
mfcc_18_p90,0.006081481464207172,0,1
mfcc_delta_0_std,0.005924465134739876,0,1
contrast_5_mean,0.0058330362662673,0,1
contrast_0_p90,0.005767563357949257,0,1
