repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.3863912515188335,0.2938023023660847,0.49731156979914,0.34249951672143825,0.49084105203587036,823.0,0.806282722513089,0.4167794316644114,0.5495093666369313,739.0,0.022675736961451247,0.11904761904761904,0.0380952380952381,84.0
0,1,0.8583333333333333,0.6112722576274057,0.8385340136774576,0.7394998664529915,0.6610433739805703,720.0,0.8895522388059701,0.9551282051282052,0.9211746522411128,624.0,0.44,0.22916666666666666,0.3013698630136986,96.0
0,2,0.46824104234527686,0.35041455541109234,0.3400512315124834,0.5482074126019013,0.589785528632465,1228.0,0.4732758620689655,0.9289340101522843,0.6270702455739577,591.0,0.38235294117647056,0.04081632653061224,0.07375886524822695,637.0
0,3,0.7431340872374798,0.7305047849837762,0.7387986551205368,0.8294536475439311,0.7961034439779267,1238.0,0.7434292866082604,0.8401697312588402,0.7888446215139442,707.0,0.7425968109339408,0.6139359698681732,0.6721649484536083,531.0
0,4,0.7024539877300614,0.6744158377330214,0.7226766255328045,0.8084997080488682,0.7177720983725212,978.0,0.9206049149338374,0.6616847826086957,0.7699604743083004,736.0,0.44543429844098,0.8264462809917356,0.5788712011577424,242.0
1,0,0.833926453143535,0.5322606214331008,0.8259057958750152,0.5209575638279396,0.5424275204665483,843.0,0.8972691807542262,0.918774966711052,0.9078947368421053,751.0,0.17567567567567569,0.14130434782608695,0.1566265060240964,92.0
1,1,0.8548387096774194,0.5848214285714286,0.8278369815668202,0.6911764705882353,0.6052490648380313,744.0,0.8803418803418803,0.9626168224299065,0.9196428571428571,642.0,0.42857142857142855,0.17647058823529413,0.25,102.0
1,2,0.5186880244088482,0.4122024475666089,0.41620996927572546,0.7090997974718906,0.6990896347345169,1311.0,0.514546965918537,0.9294294294294294,0.6623863028357411,666.0,0.5648148148148148,0.09457364341085271,0.16201859229747675,645.0
1,3,0.7115059221658206,0.6807265324551364,0.6911261082701905,0.8941138326236043,0.8796513205274261,1182.0,0.6741071428571429,0.9249617151607963,0.7798579728857328,653.0,0.8286713286713286,0.44801512287334594,0.5815950920245399,529.0
1,4,0.7111356119073869,0.688797799895233,0.731359145416333,0.8483461563753534,0.7468199342106083,907.0,0.9548387096774194,0.6481751824817519,0.7721739130434783,685.0,0.45475113122171945,0.9054054054054054,0.6054216867469879,222.0
2,0,0.7876543209876543,0.44060773480662985,0.7778630379919514,0.3569893264630107,0.4787021300208683,810.0,0.8703956343792633,0.8923076923076924,0.8812154696132597,715.0,0.0,0.0,0.0,95.0
