metric,mean,std,min,max,folds
accuracy,0.7636459578078145,0.10945785312603783,0.48,0.9044585987261147,50
macro_f1,0.5970077757318003,0.14132354907089265,0.331287154671728,0.8593561319615515,50
weighted_f1,0.7659620661456279,0.09413933580402917,0.5749372182229594,0.8806423841466582,50
roc_auc_ovr_macro,0.7457984254989316,0.17786080693904438,0.3062674500979289,0.9379474940334128,50
average_precision_macro,0.6787514504457376,0.11628695350819912,0.47202307500509455,0.9105222663523924,50
n_items,520.2,56.70079004596615,471.0,616.0,50
precision_absent,0.8742388421261655,0.07727608895155923,0.740530303030303,0.9911242603550295,50
recall_absent,0.8365256362973689,0.12674253382405287,0.5368171021377672,0.9881235154394299,50
f1_absent,0.8478260653036428,0.07754464374539845,0.6466380543633763,0.9486887115165337,50
support_absent,420.4,0.7824607964359516,419.0,422.0,50
precision_present,0.3630574460126115,0.23796437480511234,0.0,0.7876106194690266,50
recall_present,0.42060569560901584,0.3465163283883216,0.0,0.9411764705882353,50
f1_present,0.34618948615995804,0.24855998654859746,0.0,0.8109452736318408,50
support_present,99.8,57.25774165640692,50.0,196.0,50
