feature,gain,repeat,fold
latitude,0.6774942874908447,0,0
collection_code,0.09029169380664825,0,0
cond_water_noise,0.08493535220623016,0,0
site_code,0.0563981831073761,0,0
cond_night_recording,0.045046791434288025,0,0
cond_engine_noise,0.024048853665590286,0,0
longitude,0.020817166194319725,0,0
cond_reverberation,0.0009676713380031288,0,0
cond_ship_noise,0.0,0,0
cond_no_visual,0.0,0,0
cond_tape_speed_note,0.0,0,0
latitude,0.6512452363967896,0,1
site_code,0.12822584807872772,0,1
cond_water_noise,0.1015615314245224,0,1
cond_night_recording,0.04067106544971466,0,1
longitude,0.022947272285819054,0,1
cond_no_visual,0.020414190366864204,0,1
collection_code,0.013337843120098114,0,1
cond_engine_noise,0.012295008637011051,0,1
cond_reverberation,0.009302007034420967,0,1
cond_ship_noise,0.0,0,1
cond_tape_speed_note,0.0,0,1
site_code,0.6687321662902832,0,2
cond_night_recording,0.10656140744686127,0,2
latitude,0.053981903940439224,0,2
cond_no_visual,0.049326341599226,0,2
longitude,0.0440237894654274,0,2
collection_code,0.038450222462415695,0,2
cond_engine_noise,0.018560167402029037,0,2
cond_water_noise,0.018109265714883804,0,2
cond_reverberation,0.002254737773910165,0,2
cond_ship_noise,0.0,0,2
cond_tape_speed_note,0.0,0,2
longitude,0.6806333661079407,0,3
cond_water_noise,0.2332494854927063,0,3
site_code,0.03574764356017113,0,3
cond_no_visual,0.03345612436532974,0,3
cond_reverberation,0.013780951499938965,0,3
collection_code,0.0024936941917985678,0,3
latitude,0.0006386928725987673,0,3
cond_ship_noise,0.0,0,3
cond_engine_noise,0.0,0,3
cond_night_recording,0.0,0,3
cond_tape_speed_note,0.0,0,3
longitude,0.6216834783554077,0,4
latitude,0.18938200175762177,0,4
cond_water_noise,0.10115226358175278,0,4
cond_night_recording,0.0570472814142704,0,4
cond_engine_noise,0.015532448887825012,0,4
site_code,0.01365114375948906,0,4
cond_reverberation,0.0009476803825236857,0,4
cond_no_visual,0.0006037217099219561,0,4
collection_code,0.0,0,4
cond_ship_noise,0.0,0,4
cond_tape_speed_note,0.0,0,4
longitude,0.7760443091392517,1,0
cond_water_noise,0.1346980333328247,1,0
cond_night_recording,0.03732704371213913,1,0
site_code,0.022914156317710876,1,0
cond_engine_noise,0.02094404399394989,1,0
cond_no_visual,0.003191225230693817,1,0
cond_reverberation,0.003141480265185237,1,0
latitude,0.0017397607443854213,1,0
collection_code,0.0,1,0
cond_ship_noise,0.0,1,0
cond_tape_speed_note,0.0,1,0
latitude,0.5246908664703369,1,1
site_code,0.1601104885339737,1,1
cond_water_noise,0.1561141461133957,1,1
longitude,0.05198967084288597,1,1
cond_night_recording,0.04056438058614731,1,1
cond_engine_noise,0.02742873691022396,1,1
collection_code,0.02428974211215973,1,1
cond_no_visual,0.00904159713536501,1,1
cond_reverberation,0.0057703969068825245,1,1
cond_ship_noise,0.0,1,1
cond_tape_speed_note,0.0,1,1
site_code,0.6343908309936523,1,2
cond_night_recording,0.13260620832443237,1,2
latitude,0.10479997098445892,1,2
cond_no_visual,0.04623180255293846,1,2
cond_engine_noise,0.022995634004473686,1,2
cond_water_noise,0.021422086283564568,1,2
longitude,0.01699947752058506,1,2
collection_code,0.015531912446022034,1,2
cond_reverberation,0.00502199400216341,1,2
cond_ship_noise,0.0,1,2
cond_tape_speed_note,0.0,1,2
longitude,0.7949590086936951,1,3
cond_water_noise,0.08083583414554596,1,3
latitude,0.03945194557309151,1,3
cond_no_visual,0.03787452355027199,1,3
site_code,0.035411953926086426,1,3
cond_reverberation,0.010198600590229034,1,3
collection_code,0.0012681211810559034,1,3
cond_ship_noise,0.0,1,3
cond_engine_noise,0.0,1,3
cond_night_recording,0.0,1,3
cond_tape_speed_note,0.0,1,3
longitude,0.7925482988357544,1,4
cond_water_noise,0.09129428118467331,1,4
cond_night_recording,0.041075415909290314,1,4
latitude,0.03359447792172432,1,4
cond_engine_noise,0.021978631615638733,1,4
site_code,0.017845191061496735,1,4
cond_reverberation,0.0009543260675854981,1,4
cond_no_visual,0.0007092746673151851,1,4
collection_code,0.0,1,4
cond_ship_noise,0.0,1,4
cond_tape_speed_note,0.0,1,4
longitude,0.7657568454742432,2,0
cond_water_noise,0.11353794485330582,2,0
cond_night_recording,0.04288880527019501,2,0
site_code,0.037608809769153595,2,0
cond_engine_noise,0.02201284095644951,2,0
cond_reverberation,0.009844413958489895,2,0
latitude,0.0074131241999566555,2,0
cond_no_visual,0.0009372192434966564,2,0
collection_code,0.0,2,0
cond_ship_noise,0.0,2,0
cond_tape_speed_note,0.0,2,0
latitude,0.5625549554824829,2,1
site_code,0.16404466331005096,2,1
cond_water_noise,0.10639355331659317,2,1
longitude,0.04752332344651222,2,1
cond_night_recording,0.04254698380827904,2,1
collection_code,0.029670875519514084,2,1
cond_engine_noise,0.022360367700457573,2,1
cond_no_visual,0.016445398330688477,2,1
cond_reverberation,0.008459850214421749,2,1
cond_ship_noise,0.0,2,1
cond_tape_speed_note,0.0,2,1
site_code,0.5516006350517273,2,2
latitude,0.22512280941009521,2,2
cond_night_recording,0.1154511347413063,2,2
cond_no_visual,0.041694339364767075,2,2
cond_engine_noise,0.020002955570816994,2,2
cond_water_noise,0.017481449991464615,2,2
longitude,0.014540061354637146,2,2
collection_code,0.00979670137166977,2,2
cond_reverberation,0.004310024436563253,2,2
cond_ship_noise,0.0,2,2
cond_tape_speed_note,0.0,2,2
longitude,0.7112382650375366,2,3
cond_water_noise,0.16115441918373108,2,3
latitude,0.04107189550995827,2,3
site_code,0.03876980021595955,2,3
cond_no_visual,0.038283590227365494,2,3
cond_reverberation,0.008057178929448128,2,3
collection_code,0.0014249116647988558,2,3
cond_ship_noise,0.0,2,3
cond_engine_noise,0.0,2,3
cond_night_recording,0.0,2,3
cond_tape_speed_note,0.0,2,3
longitude,0.8374329805374146,2,4
cond_water_noise,0.07941590994596481,2,4
cond_night_recording,0.04057503491640091,2,4
site_code,0.010668078437447548,2,4
cond_engine_noise,0.009855536743998528,2,4
latitude,0.00975477322936058,2,4
collection_code,0.004899687133729458,2,4
cond_no_visual,0.004696300718933344,2,4
cond_reverberation,0.0027016534004360437,2,4
cond_ship_noise,0.0,2,4
cond_tape_speed_note,0.0,2,4
latitude,0.6090955138206482,3,0
cond_water_noise,0.10129711031913757,3,0
longitude,0.09504444897174835,3,0
collection_code,0.08632806688547134,3,0
cond_night_recording,0.04333726316690445,3,0
site_code,0.0356743149459362,3,0
cond_engine_noise,0.02151555009186268,3,0
cond_reverberation,0.007707812823355198,3,0
cond_ship_noise,0.0,3,0
cond_no_visual,0.0,3,0
cond_tape_speed_note,0.0,3,0
latitude,0.5305145382881165,3,1
site_code,0.1722457855939865,3,1
cond_water_noise,0.11316730827093124,3,1
longitude,0.06163809448480606,3,1
cond_night_recording,0.043760646134614944,3,1
collection_code,0.03600948303937912,3,1
cond_engine_noise,0.024681363254785538,3,1
cond_no_visual,0.015010223723948002,3,1
cond_reverberation,0.002972566056996584,3,1
cond_ship_noise,0.0,3,1
cond_tape_speed_note,0.0,3,1
latitude,0.6020392179489136,3,2
site_code,0.20201285183429718,3,2
longitude,0.11866243183612823,3,2
cond_night_recording,0.035652611404657364,3,2
collection_code,0.015794925391674042,3,2
cond_no_visual,0.010665133595466614,3,2
cond_engine_noise,0.007236328907310963,3,2
cond_water_noise,0.005907610524445772,3,2
cond_reverberation,0.002028832444921136,3,2
cond_ship_noise,0.0,3,2
cond_tape_speed_note,0.0,3,2
longitude,0.6977558732032776,3,3
cond_water_noise,0.21660690009593964,3,3
site_code,0.03974571451544762,3,3
cond_no_visual,0.02871244214475155,3,3
cond_reverberation,0.012738577090203762,3,3
latitude,0.00253284047357738,3,3
collection_code,0.0019076934549957514,3,3
cond_ship_noise,0.0,3,3
cond_engine_noise,0.0,3,3
cond_night_recording,0.0,3,3
cond_tape_speed_note,0.0,3,3
longitude,0.674522340297699,3,4
cond_water_noise,0.1105385348200798,3,4
latitude,0.10520543158054352,3,4
cond_night_recording,0.05238364264369011,3,4
site_code,0.03233180195093155,3,4
cond_engine_noise,0.019008830189704895,3,4
cond_no_visual,0.003377499058842659,3,4
cond_reverberation,0.0026318198069930077,3,4
collection_code,0.0,3,4
cond_ship_noise,0.0,3,4
cond_tape_speed_note,0.0,3,4
longitude,0.7156595587730408,4,0
cond_water_noise,0.13567087054252625,4,0
site_code,0.06380432099103928,4,0
cond_night_recording,0.04947201907634735,4,0
cond_engine_noise,0.024850944057106972,4,0
cond_reverberation,0.009525817818939686,4,0
cond_no_visual,0.0010164021514356136,4,0
collection_code,0.0,4,0
latitude,0.0,4,0
cond_ship_noise,0.0,4,0
cond_tape_speed_note,0.0,4,0
latitude,0.6429165005683899,4,1
site_code,0.127504363656044,4,1
cond_water_noise,0.11697743088006973,4,1
cond_night_recording,0.03898181393742561,4,1
longitude,0.020334528759121895,4,1
cond_no_visual,0.018797315657138824,4,1
collection_code,0.012835153378546238,4,1
cond_engine_noise,0.01282145269215107,4,1
cond_reverberation,0.008831389248371124,4,1
cond_ship_noise,0.0,4,1
cond_tape_speed_note,0.0,4,1
site_code,0.6810474395751953,4,2
latitude,0.1531812697649002,4,2
cond_night_recording,0.08583121746778488,4,2
cond_no_visual,0.03372079133987427,4,2
longitude,0.01608888804912567,4,2
cond_engine_noise,0.01495845802128315,4,2
cond_water_noise,0.013634742237627506,4,2
cond_reverberation,0.0015373164787888527,4,2
collection_code,0.0,4,2
cond_ship_noise,0.0,4,2
cond_tape_speed_note,0.0,4,2
longitude,0.7639178037643433,4,3
cond_water_noise,0.10130421072244644,4,3
latitude,0.052394118160009384,4,3
site_code,0.041284140199422836,4,3
cond_no_visual,0.03418978303670883,4,3
cond_reverberation,0.006176662165671587,4,3
collection_code,0.0007332091918215156,4,3
cond_ship_noise,0.0,4,3
cond_engine_noise,0.0,4,3
cond_night_recording,0.0,4,3
cond_tape_speed_note,0.0,4,3
longitude,0.7744598984718323,4,4
cond_water_noise,0.11560957133769989,4,4
cond_night_recording,0.04830775037407875,4,4
collection_code,0.02269752509891987,4,4
cond_engine_noise,0.0218967217952013,4,4
site_code,0.01475143525749445,4,4
cond_reverberation,0.0008919634274207056,4,4
cond_no_visual,0.0008801124058663845,4,4
latitude,0.0005050704930908978,4,4
cond_ship_noise,0.0,4,4
cond_tape_speed_note,0.0,4,4
longitude,0.7169190049171448,5,0
latitude,0.16364583373069763,5,0
cond_water_noise,0.060490332543849945,5,0
cond_night_recording,0.03332323208451271,5,0
site_code,0.01277654618024826,5,0
cond_engine_noise,0.01206562202423811,5,0
cond_reverberation,0.00047263180022127926,5,0
cond_no_visual,0.0003068890073336661,5,0
collection_code,0.0,5,0
cond_ship_noise,0.0,5,0
cond_tape_speed_note,0.0,5,0
latitude,0.6508539915084839,5,1
site_code,0.13441866636276245,5,1
cond_water_noise,0.10644561052322388,5,1
cond_night_recording,0.039162348955869675,5,1
cond_engine_noise,0.024462012574076653,5,1
collection_code,0.023778827860951424,5,1
cond_no_visual,0.01070321537554264,5,1
longitude,0.008839347399771214,5,1
cond_reverberation,0.0013359677977859974,5,1
cond_ship_noise,0.0,5,1
cond_tape_speed_note,0.0,5,1
site_code,0.6181768178939819,5,2
latitude,0.1571427583694458,5,2
cond_night_recording,0.08525709062814713,5,2
cond_no_visual,0.045188456773757935,5,2
longitude,0.03701818361878395,5,2
cond_water_noise,0.02017771638929844,5,2
collection_code,0.019926918670535088,5,2
cond_engine_noise,0.01546189934015274,5,2
cond_reverberation,0.0016501299105584621,5,2
cond_ship_noise,0.0,5,2
cond_tape_speed_note,0.0,5,2
longitude,0.7624028921127319,5,3
cond_water_noise,0.14932788908481598,5,3
latitude,0.0318450890481472,5,3
site_code,0.026569031178951263,5,3
cond_no_visual,0.02013878896832466,5,3
cond_reverberation,0.008090698160231113,5,3
collection_code,0.0016255753580480814,5,3
cond_ship_noise,0.0,5,3
cond_engine_noise,0.0,5,3
cond_night_recording,0.0,5,3
cond_tape_speed_note,0.0,5,3
longitude,0.6983588337898254,5,4
cond_water_noise,0.10419508814811707,5,4
latitude,0.0830157995223999,5,4
cond_night_recording,0.05750148743391037,5,4
site_code,0.031746480613946915,5,4
cond_engine_noise,0.02137608267366886,5,4
cond_reverberation,0.0029645494651049376,5,4
cond_no_visual,0.0008416995406150818,5,4
collection_code,0.0,5,4
cond_ship_noise,0.0,5,4
cond_tape_speed_note,0.0,5,4
longitude,0.7274891138076782,6,0
cond_water_noise,0.115941122174263,6,0
cond_night_recording,0.051326557993888855,6,0
site_code,0.045028142631053925,6,0
cond_engine_noise,0.027679039165377617,6,0
latitude,0.018068909645080566,6,0
cond_reverberation,0.013286796398460865,6,0
cond_no_visual,0.0011803547386080027,6,0
collection_code,0.0,6,0
cond_ship_noise,0.0,6,0
cond_tape_speed_note,0.0,6,0
longitude,0.4086625874042511,6,1
latitude,0.22273428738117218,6,1
cond_water_noise,0.13809776306152344,6,1
site_code,0.13097402453422546,6,1
cond_night_recording,0.07472985237836838,6,1
cond_engine_noise,0.021249298006296158,6,1
cond_reverberation,0.002250497695058584,6,1
cond_no_visual,0.0013017214369028807,6,1
collection_code,0.0,6,1
cond_ship_noise,0.0,6,1
cond_tape_speed_note,0.0,6,1
site_code,0.6416997313499451,6,2
longitude,0.12430355697870255,6,2
cond_night_recording,0.08551981300115585,6,2
collection_code,0.04506893455982208,6,2
cond_engine_noise,0.02975764311850071,6,2
cond_water_noise,0.024808157235383987,6,2
cond_no_visual,0.01776774786412716,6,2
cond_reverberation,0.01579269766807556,6,2
latitude,0.015281745232641697,6,2
cond_ship_noise,0.0,6,2
cond_tape_speed_note,0.0,6,2
longitude,0.7616373896598816,6,3
cond_water_noise,0.14229437708854675,6,3
site_code,0.05185062065720558,6,3
cond_no_visual,0.023152844980359077,6,3
cond_reverberation,0.01639372482895851,6,3
collection_code,0.0026832688599824905,6,3
latitude,0.0019877373706549406,6,3
cond_ship_noise,0.0,6,3
cond_engine_noise,0.0,6,3
cond_night_recording,0.0,6,3
cond_tape_speed_note,0.0,6,3
site_code,0.5794662237167358,6,4
longitude,0.18558618426322937,6,4
cond_night_recording,0.08261735737323761,6,4
collection_code,0.04707460477948189,6,4
cond_no_visual,0.045340023934841156,6,4
latitude,0.023650452494621277,6,4
cond_water_noise,0.015680840238928795,6,4
cond_engine_noise,0.014359760098159313,6,4
cond_reverberation,0.006224602926522493,6,4
cond_ship_noise,0.0,6,4
cond_tape_speed_note,0.0,6,4
longitude,0.7065299153327942,7,0
latitude,0.171726256608963,7,0
cond_water_noise,0.06135871261358261,7,0
cond_night_recording,0.0337689109146595,7,0
site_code,0.013105681166052818,7,0
cond_engine_noise,0.012695089913904667,7,0
cond_reverberation,0.00047955659101717174,7,0
cond_no_visual,0.00033591920509934425,7,0
collection_code,0.0,7,0
cond_ship_noise,0.0,7,0
cond_tape_speed_note,0.0,7,0
latitude,0.6472570896148682,7,1
site_code,0.13897861540317535,7,1
cond_water_noise,0.10413026809692383,7,1
cond_night_recording,0.03939521685242653,7,1
cond_engine_noise,0.025327511131763458,7,1
collection_code,0.022486615926027298,7,1
cond_no_visual,0.01071417797356844,7,1
longitude,0.01040167361497879,7,1
cond_reverberation,0.0013088490813970566,7,1
cond_ship_noise,0.0,7,1
cond_tape_speed_note,0.0,7,1
latitude,0.5722280740737915,7,2
site_code,0.16918477416038513,7,2
longitude,0.16350144147872925,7,2
cond_night_recording,0.04502148553729057,7,2
cond_no_visual,0.015668122097849846,7,2
collection_code,0.015445707365870476,7,2
cond_engine_noise,0.008571687154471874,7,2
cond_water_noise,0.007729611825197935,7,2
cond_reverberation,0.0026489878073334694,7,2
cond_ship_noise,0.0,7,2
cond_tape_speed_note,0.0,7,2
longitude,0.6853556632995605,7,3
cond_water_noise,0.1903136670589447,7,3
latitude,0.046182338148355484,7,3
site_code,0.03731248155236244,7,3
cond_no_visual,0.02612909860908985,7,3
cond_reverberation,0.01358507014811039,7,3
collection_code,0.0011217067949473858,7,3
cond_ship_noise,0.0,7,3
cond_engine_noise,0.0,7,3
cond_night_recording,0.0,7,3
cond_tape_speed_note,0.0,7,3
longitude,0.7381649017333984,7,4
latitude,0.10766829550266266,7,4
cond_water_noise,0.07535424828529358,7,4
cond_night_recording,0.0419626347720623,7,4
site_code,0.017426839098334312,7,4
cond_engine_noise,0.016099587082862854,7,4
cond_reverberation,0.0028094619046896696,7,4
cond_no_visual,0.0005140685825608671,7,4
collection_code,0.0,7,4
cond_ship_noise,0.0,7,4
cond_tape_speed_note,0.0,7,4
latitude,0.7333824634552002,8,0
cond_water_noise,0.07176799327135086,8,0
collection_code,0.06501274555921555,8,0
site_code,0.059200067073106766,8,0
cond_night_recording,0.032830942422151566,8,0
cond_engine_noise,0.017153799533843994,8,0
longitude,0.014249509200453758,8,0
cond_reverberation,0.006402451545000076,8,0
cond_ship_noise,0.0,8,0
cond_no_visual,0.0,8,0
cond_tape_speed_note,0.0,8,0
latitude,0.6385522484779358,8,1
site_code,0.14178653061389923,8,1
cond_water_noise,0.10702534765005112,8,1
cond_night_recording,0.03928400203585625,8,1
cond_engine_noise,0.025622360408306122,8,1
collection_code,0.02442038804292679,8,1
longitude,0.011068424209952354,8,1
cond_no_visual,0.01089737843722105,8,1
cond_reverberation,0.0013433219864964485,8,1
cond_ship_noise,0.0,8,1
cond_tape_speed_note,0.0,8,1
site_code,0.6277252435684204,8,2
latitude,0.1755845993757248,8,2
cond_night_recording,0.08203169703483582,8,2
cond_no_visual,0.03741783648729324,8,2
longitude,0.022902261465787888,8,2
collection_code,0.01949876733124256,8,2
cond_water_noise,0.017484627664089203,8,2
cond_engine_noise,0.015188400633633137,8,2
cond_reverberation,0.0021664879750460386,8,2
cond_ship_noise,0.0,8,2
cond_tape_speed_note,0.0,8,2
longitude,0.6767484545707703,8,3
cond_water_noise,0.23963432013988495,8,3
site_code,0.03514760732650757,8,3
cond_no_visual,0.03175753727555275,8,3
cond_reverberation,0.014058041386306286,8,3
collection_code,0.0021292853634804487,8,3
latitude,0.0005247645312920213,8,3
cond_ship_noise,0.0,8,3
cond_engine_noise,0.0,8,3
cond_night_recording,0.0,8,3
cond_tape_speed_note,0.0,8,3
longitude,0.7003394961357117,8,4
cond_water_noise,0.10617004334926605,8,4
latitude,0.07525519281625748,8,4
cond_night_recording,0.058005671948194504,8,4
site_code,0.03323160484433174,8,4
cond_engine_noise,0.02295708656311035,8,4
cond_reverberation,0.0030444576404988766,8,4
cond_no_visual,0.000996371847577393,8,4
collection_code,0.0,8,4
cond_ship_noise,0.0,8,4
cond_tape_speed_note,0.0,8,4
longitude,0.7864036560058594,9,0
cond_water_noise,0.12020231038331985,9,0
cond_night_recording,0.04101167619228363,9,0
site_code,0.024417582899332047,9,0
cond_engine_noise,0.023311221972107887,9,0
cond_reverberation,0.0033593878615647554,9,0
cond_no_visual,0.0009135411237366498,9,0
latitude,0.0003805893356911838,9,0
collection_code,0.0,9,0
cond_ship_noise,0.0,9,0
cond_tape_speed_note,0.0,9,0
longitude,0.7091038823127747,9,1
cond_water_noise,0.1322743445634842,9,1
site_code,0.08755099773406982,9,1
cond_night_recording,0.037558477371931076,9,1
cond_engine_noise,0.02840821072459221,9,1
cond_reverberation,0.0018946724012494087,9,1
latitude,0.0012370264157652855,9,1
collection_code,0.0010198818054050207,9,1
cond_no_visual,0.0009525831555947661,9,1
cond_ship_noise,0.0,9,1
