repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.8019441069258809,0.4940923575886712,0.8081778650900301,0.282226625426896,0.46848243363019443,823.0,0.8966942148760331,0.8809201623815968,0.8887372013651877,739.0,0.09278350515463918,0.10714285714285714,0.09944751381215469,84.0
0,1,0.8666666666666667,0.4642857142857143,0.8047619047619048,0.4439436431623931,0.4964976471179722,720.0,0.8666666666666667,1.0,0.9285714285714286,624.0,0.0,0.0,0.0,96.0
0,2,0.4804560260586319,0.4187883535709623,0.41169657123488024,0.4478520029644033,0.5381383425206991,1228.0,0.4773384763741562,0.8375634517766497,0.6081081081081081,591.0,0.4973821989528796,0.14913657770800628,0.22946859903381642,637.0
0,3,0.5323101777059773,0.3473906167633105,0.39677732803176174,0.2585378392560806,0.4525866384408119,1238.0,0.553781512605042,0.9321074964639321,0.694781233526621,707.0,0.0,0.0,0.0,531.0
0,4,0.5030674846625767,0.501658663423431,0.5150424651953153,0.7446017112827884,0.6419683351164316,978.0,0.9251700680272109,0.3695652173913043,0.5281553398058253,736.0,0.3216374269005848,0.9090909090909091,0.47516198704103674,242.0
1,0,0.4211150652431791,0.311006900247873,0.5263222733395844,0.25889393851676024,0.45545593073203855,843.0,0.8065268065268065,0.4607190412782956,0.5864406779661017,751.0,0.021739130434782608,0.09782608695652174,0.03557312252964427,92.0
1,1,0.8629032258064516,0.46320346320346323,0.7993995252059769,0.6519226070490501,0.5545190719209285,744.0,0.8629032258064516,1.0,0.9264069264069265,642.0,0.0,0.0,0.0,102.0
1,2,0.440884820747521,0.3059820010587613,0.310883314576865,0.6629385199152641,0.679599915479065,1311.0,0.47260834014717906,0.8678678678678678,0.6119640021175226,666.0,0.0,0.0,0.0,645.0
1,3,0.5346869712351946,0.3484013230429989,0.38495103882754367,0.14320266792497616,0.4308792410223088,1182.0,0.5443583118001722,0.9678407350689127,0.6968026460859978,653.0,0.0,0.0,0.0,529.0
1,4,0.681367144432194,0.6667429492631737,0.7023798038066286,0.819773788386927,0.7000147996174253,907.0,0.9805825242718447,0.5897810218978102,0.7365542388331814,685.0,0.43232323232323233,0.963963963963964,0.596931659693166,222.0
2,0,0.4469135802469136,0.30887372013651876,0.545295579994101,0.21723960250276042,0.4552211915753376,810.0,0.7921225382932167,0.5062937062937063,0.6177474402730375,715.0,0.0,0.0,0.0,95.0
