metric,mean,std,min,max,folds
accuracy,0.7047134868243238,0.14890359195956826,0.41855670103092785,0.8938428874734607,50
macro_f1,0.48147481735345926,0.1172626601526199,0.3256879983866309,0.8334722299387003,50
weighted_f1,0.6853417574070741,0.12444655173939778,0.4871784213285267,0.8797898156593252,50
roc_auc_ovr_macro,0.5175038805836031,0.23514084689911763,0.107644612848461,0.9262994634473508,50
average_precision_macro,0.5595575104141686,0.10975474815642888,0.41605319580682,0.9090392168992655,50
n_items,520.2,56.70079004596615,471.0,616.0,50
precision_absent,0.8354560148373423,0.09907250075765994,0.6716917922948074,1.0,50
recall_absent,0.8276054594597521,0.2151976997271743,0.3657957244655582,1.0,50
f1_absent,0.8060209642542214,0.12036199980755702,0.5220338983050847,0.9439461883408071,50
support_absent,420.4,0.7824607964359516,419.0,422.0,50
precision_present,0.1928343493228063,0.27975563312002644,0.0,0.9466666666666667,50
recall_present,0.2507263446644407,0.35005367433142154,0.0,1.0,50
f1_present,0.1569286704526971,0.2047904809465969,0.0,0.7398373983739838,50
support_present,99.8,57.25774165640692,50.0,196.0,50
