feature,gain,repeat,fold
mfcc_1_mean,0.2105950266122818,0,0
mfcc_1_p90,0.08964201807975769,0,0
mfcc_1_p10,0.048249635845422745,0,0
contrast_0_p90,0.018084319308400154,0,0
contrast_0_mean,0.017440907657146454,0,0
rms_p10,0.016714930534362793,0,0
contrast_5_p90,0.015639061108231544,0,0
contrast_5_mean,0.010732290334999561,0,0
zero_crossing_rate_p90,0.010646612383425236,0,0
contrast_0_p10,0.009324965067207813,0,0
mfcc_14_std,0.007542965933680534,0,0
zero_crossing_rate_mean,0.007038006093353033,0,0
flatness_p90,0.006716007832437754,0,0
centroid_p10,0.006609709933400154,0,0
mfcc_7_p90,0.006448144558817148,0,0
mfcc_9_p10,0.006242254748940468,0,0
mfcc_15_std,0.005947475787252188,0,0
flatness_mean,0.005883360747247934,0,0
contrast_5_std,0.005873727146536112,0,0
rms_p90,0.005400593858212233,0,0
mfcc_5_p10,0.005393419414758682,0,0
mfcc_delta_1_p90,0.005101675167679787,0,0
rolloff85_p10,0.005083759780973196,0,0
mfcc_7_mean,0.005033687222748995,0,0
contrast_1_mean,0.004941351246088743,0,0
mfcc_5_p90,0.004890423733741045,0,0
mfcc_9_p90,0.004764504265040159,0,0
mfcc_8_p10,0.0046798004768788815,0,0
zero_crossing_rate_p10,0.004657068755477667,0,0
mfcc_delta_13_p90,0.00456240912899375,0,0
mfcc_3_mean,0.004556876607239246,0,0
mfcc_10_std,0.004426825791597366,0,0
contrast_1_std,0.004404385574162006,0,0
mfcc_9_mean,0.004311359953135252,0,0
mfcc_14_mean,0.00428313622251153,0,0
contrast_3_mean,0.004259101580828428,0,0
mfcc_5_mean,0.004185203462839127,0,0
mfcc_3_p10,0.004061838146299124,0,0
mfcc_delta_3_p10,0.00394813297316432,0,0
centroid_p90,0.003924202173948288,0,0
mfcc_3_p90,0.003917711321264505,0,0
contrast_1_p90,0.003836879273876548,0,0
contrast_4_p90,0.003704253351315856,0,0
mfcc_14_p10,0.00366729567758739,0,0
spectral_entropy_p10,0.0035520305391401052,0,0
mfcc_11_p10,0.003519695717841387,0,0
dominant_frequency_ratio,0.0035027789417654276,0,0
mfcc_13_std,0.003412195248529315,0,0
mfcc_12_p90,0.0034059665631502867,0,0
zero_crossing_rate_std,0.003405893687158823,0,0
mfcc_7_p10,0.0033884881995618343,0,0
contrast_4_mean,0.003355850698426366,0,0
mfcc_6_p90,0.0033245128579437733,0,0
mfcc_delta_8_p90,0.0033230141270905733,0,0
mfcc_17_p90,0.00332128768786788,0,0
mfcc_16_std,0.003263377118855715,0,0
mfcc_15_mean,0.0032316946890205145,0,0
mfcc_delta_8_p10,0.0032244480680674314,0,0
mfcc_2_p90,0.003218879224732518,0,0
rms_mean,0.00320416665636003,0,0
rolloff85_mean,0.4740835726261139,0,1
rolloff85_p10,0.1263372004032135,0,1
mfcc_1_p90,0.04148246347904205,0,1
contrast_0_p90,0.02418341115117073,0,1
contrast_0_mean,0.021566636860370636,0,1
rolloff85_p90,0.01979479007422924,0,1
centroid_p10,0.005984243471175432,0,1
rms_p10,0.00584032665938139,0,1
mfcc_delta_6_std,0.004404786042869091,0,1
mfcc_7_p90,0.0041256253607571125,0,1
mfcc_delta_1_p90,0.003599930787459016,0,1
contrast_0_p10,0.0035508167929947376,0,1
mfcc_8_p90,0.003518891055136919,0,1
mfcc_delta_16_std,0.0030926179606467485,0,1
rolloff85_std,0.0030720834620296955,0,1
mfcc_delta_7_p90,0.0030618642922490835,0,1
mfcc_delta_18_std,0.0030366373248398304,0,1
spectral_entropy_p90,0.0030169442761689425,0,1
mfcc_11_p90,0.003016664879396558,0,1
mfcc_2_p90,0.0029832078143954277,0,1
mfcc_9_p90,0.0029096982907503843,0,1
mfcc_delta_1_p10,0.0028967021498829126,0,1
mfcc_delta_18_mean,0.002894202247262001,0,1
bandwidth_p90,0.002811664482578635,0,1
rms_mean,0.002793701598420739,0,1
contrast_4_p90,0.0027070522774010897,0,1
mfcc_10_mean,0.0026429109275341034,0,1
mfcc_6_p10,0.0026025583501905203,0,1
mfcc_5_mean,0.0025539137423038483,0,1
mfcc_3_p10,0.0025261128321290016,0,1
flatness_p10,0.0024984381161630154,0,1
mfcc_5_p10,0.002430608030408621,0,1
contrast_4_p10,0.0024282936938107014,0,1
mfcc_delta_10_std,0.0023904796689748764,0,1
mfcc_1_mean,0.0023838046472519636,0,1
mfcc_2_p10,0.002333746524527669,0,1
mfcc_7_mean,0.0023019430227577686,0,1
centroid_mean,0.0022953483276069164,0,1
mfcc_9_mean,0.002288229763507843,0,1
mfcc_2_mean,0.002159347292035818,0,1
mfcc_8_mean,0.002152438974007964,0,1
mfcc_delta_10_p90,0.002149233827367425,0,1
mfcc_0_std,0.002114091068506241,0,1
flatness_p90,0.002109276596456766,0,1
flatness_mean,0.0020825318060815334,0,1
mfcc_delta_0_p10,0.0020699810702353716,0,1
contrast_4_mean,0.002026656409725547,0,1
mfcc_12_mean,0.00202510179951787,0,1
mfcc_10_p90,0.001983102411031723,0,1
mfcc_delta_18_p90,0.0019400323508307338,0,1
bandwidth_mean,0.0019235596992075443,0,1
dominant_frequency_ratio,0.0019234141800552607,0,1
mfcc_18_std,0.001905537792481482,0,1
mfcc_delta_15_p10,0.0018511771922931075,0,1
contrast_5_p90,0.0018150830874219537,0,1
zero_crossing_rate_p10,0.0018129462841898203,0,1
mfcc_19_p90,0.0017890684539452195,0,1
mfcc_10_p10,0.0017790712881833315,0,1
mfcc_6_mean,0.0017596196848899126,0,1
mfcc_4_p90,0.0017559111583977938,0,1
mfcc_1_p90,0.16935767233371735,0,2
mfcc_1_mean,0.15586945414543152,0,2
contrast_5_p10,0.056018322706222534,0,2
mfcc_1_p10,0.02231159619987011,0,2
contrast_5_mean,0.012256713584065437,0,2
zero_crossing_rate_p90,0.012044855393469334,0,2
flatness_mean,0.011740737594664097,0,2
mfcc_14_std,0.011324132792651653,0,2
mfcc_9_p10,0.010681302286684513,0,2
contrast_4_mean,0.007899891585111618,0,2
mfcc_7_mean,0.006860373541712761,0,2
contrast_4_p90,0.006852055434137583,0,2
contrast_5_p90,0.006673502270132303,0,2
centroid_p10,0.006671195384114981,0,2
contrast_5_std,0.006435270421206951,0,2
rms_mean,0.0064306193962693214,0,2
mfcc_15_std,0.006070516537874937,0,2
zero_crossing_rate_mean,0.006046679336577654,0,2
rms_p90,0.0057919020764529705,0,2
mfcc_9_mean,0.005732864607125521,0,2
mfcc_2_mean,0.0056415097787976265,0,2
rolloff85_p10,0.005480429623275995,0,2
mfcc_17_p90,0.005183345638215542,0,2
mfcc_7_p90,0.005038846284151077,0,2
centroid_p90,0.005029856692999601,0,2
mfcc_3_mean,0.004979812074452639,0,2
rms_p10,0.004953159485012293,0,2
mfcc_9_p90,0.004794077016413212,0,2
mfcc_2_p10,0.004759125877171755,0,2
centroid_mean,0.004722595680505037,0,2
contrast_1_std,0.004561269655823708,0,2
mfcc_3_p90,0.004414078313857317,0,2
mfcc_4_p10,0.004296039696782827,0,2
mfcc_2_p90,0.004291647579520941,0,2
contrast_1_mean,0.004278335254639387,0,2
mfcc_17_mean,0.004257334861904383,0,2
mfcc_15_mean,0.004240319598466158,0,2
mfcc_7_p10,0.004210541490465403,0,2
mfcc_delta_15_std,0.0041333637200295925,0,2
dominant_frequency_ratio,0.004092274699360132,0,2
rolloff85_mean,0.004065585322678089,0,2
mfcc_16_p10,0.0040456196293234825,0,2
mfcc_6_p10,0.004040560219436884,0,2
mfcc_6_mean,0.003966199699789286,0,2
spectral_entropy_mean,0.003934582229703665,0,2
zero_crossing_rate_p10,0.003928521182388067,0,2
flatness_p90,0.0039161923341453075,0,2
mfcc_10_p90,0.0039003025740385056,0,2
mfcc_delta_1_p90,0.003880836069583893,0,2
mfcc_5_p90,0.0037740152329206467,0,2
bandwidth_mean,0.0037427302449941635,0,2
contrast_0_p10,0.0037404317408800125,0,2
contrast_1_p90,0.0036913505755364895,0,2
spectral_entropy_p10,0.0036295612808316946,0,2
mfcc_delta_16_std,0.0036137429997324944,0,2
mfcc_12_p90,0.003589160041883588,0,2
mfcc_17_std,0.003525545820593834,0,2
mfcc_delta_6_std,0.0035212941002100706,0,2
mfcc_delta_1_p10,0.0034326715394854546,0,2
mfcc_delta_13_p90,0.0033862683922052383,0,2
contrast_5_p10,0.1893220692873001,0,3
mfcc_1_p90,0.085932157933712,0,3
rms_mean,0.04082966223359108,0,3
rms_p90,0.032401446253061295,0,3
mfcc_1_mean,0.024631550535559654,0,3
mfcc_2_p90,0.018796468153595924,0,3
contrast_5_mean,0.015526105649769306,0,3
dominant_frequency,0.014919042587280273,0,3
contrast_0_p90,0.013931043446063995,0,3
rms_p10,0.012342073954641819,0,3
mfcc_15_std,0.011600801721215248,0,3
contrast_0_p10,0.01118396781384945,0,3
centroid_mean,0.010328864678740501,0,3
mfcc_1_p10,0.010237244889140129,0,3
mfcc_0_std,0.009536217898130417,0,3
contrast_0_mean,0.008013110607862473,0,3
zero_crossing_rate_mean,0.007942155934870243,0,3
mfcc_3_mean,0.007921398617327213,0,3
bandwidth_p90,0.007404031231999397,0,3
mfcc_17_mean,0.007241861429065466,0,3
zero_crossing_rate_p90,0.00693981209769845,0,3
mfcc_14_std,0.006819949485361576,0,3
mfcc_3_p90,0.0061629884876310825,0,3
centroid_p90,0.0056433663703501225,0,3
contrast_1_mean,0.005591318942606449,0,3
flatness_mean,0.005544948857277632,0,3
contrast_5_std,0.005339055322110653,0,3
mfcc_9_p90,0.00474249292165041,0,3
rolloff85_mean,0.004669667221605778,0,3
zero_crossing_rate_p10,0.0046245381236076355,0,3
spectral_entropy_mean,0.004607353825122118,0,3
mfcc_6_p90,0.004434640984982252,0,3
bandwidth_mean,0.004369578789919615,0,3
mfcc_2_mean,0.004267700482159853,0,3
mfcc_10_mean,0.004199188202619553,0,3
contrast_5_p90,0.00411923648789525,0,3
mfcc_16_std,0.004040640778839588,0,3
contrast_4_mean,0.003940538968890905,0,3
contrast_2_p90,0.003906480967998505,0,3
mfcc_delta_15_std,0.003904834156855941,0,3
mfcc_0_p10,0.003868763567879796,0,3
contrast_3_mean,0.0038489075377583504,0,3
flatness_p90,0.0037965693045407534,0,3
mfcc_7_p10,0.003613143227994442,0,3
mfcc_5_mean,0.003571739187464118,0,3
mfcc_2_p10,0.0035100539680570364,0,3
mfcc_10_std,0.003509869333356619,0,3
mfcc_17_p90,0.0035084690898656845,0,3
mfcc_10_p90,0.0034317001700401306,0,3
mfcc_14_mean,0.0033832353074103594,0,3
mfcc_7_std,0.003379866946488619,0,3
rms_std,0.0033622172195464373,0,3
contrast_2_p10,0.0032305412460118532,0,3
contrast_3_std,0.0032064125407487154,0,3
mfcc_5_p10,0.0030621534679085016,0,3
mfcc_13_p10,0.0030244882218539715,0,3
centroid_p10,0.0030139361042529345,0,3
mfcc_18_mean,0.0030007660388946533,0,3
mfcc_14_p10,0.002995017683133483,0,3
mfcc_18_std,0.0029796850867569447,0,3
mfcc_1_p90,0.18973912298679352,0,4
contrast_5_p10,0.05461880937218666,0,4
contrast_0_p90,0.0455639474093914,0,4
dominant_frequency,0.02485990896821022,0,4
rms_p10,0.022934535518288612,0,4
rms_p90,0.02152559906244278,0,4
rms_mean,0.017046550288796425,0,4
contrast_5_mean,0.015892501920461655,0,4
mfcc_1_mean,0.013126709498465061,0,4
rms_std,0.008743363432586193,0,4
zero_crossing_rate_p90,0.008373369462788105,0,4
mfcc_15_std,0.008293675258755684,0,4
flatness_p90,0.008230707608163357,0,4
mfcc_5_mean,0.007436448708176613,0,4
zero_crossing_rate_mean,0.007029465399682522,0,4
mfcc_14_std,0.0069279116578400135,0,4
mfcc_11_mean,0.006899390369653702,0,4
centroid_p10,0.00684760045260191,0,4
mfcc_3_p90,0.006402210798114538,0,4
mfcc_7_p90,0.006199434865266085,0,4
centroid_mean,0.006029322277754545,0,4
mfcc_delta_10_std,0.0060063572600483894,0,4
mfcc_7_mean,0.0057308124378323555,0,4
flatness_mean,0.005696400068700314,0,4
mfcc_3_mean,0.005630571860820055,0,4
mfcc_2_p90,0.0055085779167711735,0,4
mfcc_1_p10,0.0054450929164886475,0,4
contrast_5_std,0.00543510215356946,0,4
contrast_5_p90,0.005425205919891596,0,4
rolloff85_mean,0.0052817147225141525,0,4
zero_crossing_rate_p10,0.004818961955606937,0,4
mfcc_10_std,0.004802803974598646,0,4
flatness_std,0.004709560889750719,0,4
mfcc_2_mean,0.0046584513038396835,0,4
contrast_4_mean,0.0046510398387908936,0,4
contrast_1_std,0.00463492888957262,0,4
mfcc_5_p10,0.004578480031341314,0,4
mfcc_11_p10,0.004488964099436998,0,4
mfcc_7_p10,0.004263937007635832,0,4
mfcc_14_p90,0.0041131251491606236,0,4
mfcc_6_mean,0.003988443408161402,0,4
contrast_3_mean,0.003971774596720934,0,4
mfcc_17_mean,0.003969820216298103,0,4
spectral_entropy_p90,0.00396241620182991,0,4
flatness_p10,0.003915589302778244,0,4
mfcc_delta_7_p10,0.0038976215291768312,0,4
mfcc_17_p90,0.003850150853395462,0,4
mfcc_12_mean,0.003826319705694914,0,4
bandwidth_p90,0.00377919664606452,0,4
spectral_entropy_mean,0.003682164940983057,0,4
rolloff85_p10,0.003585082245990634,0,4
mfcc_6_p90,0.0035793008282780647,0,4
mfcc_10_mean,0.0035335817374289036,0,4
mfcc_delta_5_std,0.003533143550157547,0,4
mfcc_5_p90,0.0034845180343836546,0,4
spectral_entropy_p10,0.0034829527139663696,0,4
contrast_0_p10,0.00346840126439929,0,4
contrast_1_mean,0.0033850090112537146,0,4
mfcc_delta_13_p90,0.003355857217684388,0,4
mfcc_delta_1_p90,0.0033538297284394503,0,4
mfcc_1_mean,0.21583208441734314,1,0
mfcc_1_p90,0.0850033164024353,1,0
mfcc_1_p10,0.04041970148682594,1,0
contrast_0_mean,0.018307702615857124,1,0
rms_p10,0.017103808000683784,1,0
contrast_5_p90,0.015688752755522728,1,0
contrast_0_p90,0.01394155528396368,1,0
zero_crossing_rate_p90,0.010056638158857822,1,0
contrast_0_p10,0.009397139772772789,1,0
contrast_5_mean,0.009294161573052406,1,0
mfcc_14_std,0.008495013229548931,1,0
mfcc_15_std,0.007814515382051468,1,0
mfcc_7_p90,0.006941226776689291,1,0
centroid_p10,0.006800916511565447,1,0
zero_crossing_rate_mean,0.00655848253518343,1,0
contrast_5_std,0.006073294673115015,1,0
mfcc_9_p10,0.005834560375660658,1,0
rolloff85_p10,0.005753462668508291,1,0
rms_p90,0.005358411464840174,1,0
mfcc_8_p10,0.00527607649564743,1,0
mfcc_5_p90,0.005247887223958969,1,0
zero_crossing_rate_p10,0.005213509313762188,1,0
mfcc_9_p90,0.00517989881336689,1,0
flatness_mean,0.0050759692676365376,1,0
contrast_1_std,0.004846910946071148,1,0
mfcc_5_mean,0.004798476118594408,1,0
contrast_1_mean,0.004743481986224651,1,0
centroid_p90,0.004743082448840141,1,0
mfcc_3_mean,0.004578631836920977,1,0
mfcc_7_mean,0.004574823658913374,1,0
contrast_4_p90,0.004551670514047146,1,0
mfcc_5_p10,0.004549324046820402,1,0
zero_crossing_rate_std,0.004194512497633696,1,0
contrast_3_mean,0.004162325523793697,1,0
mfcc_9_mean,0.004129752051085234,1,0
rolloff85_std,0.004093893337994814,1,0
mfcc_3_p90,0.004072251264005899,1,0
mfcc_14_mean,0.0040479605086147785,1,0
flatness_p90,0.003989838529378176,1,0
mfcc_delta_1_p90,0.003855084301903844,1,0
mfcc_2_p90,0.003747716546058655,1,0
dominant_frequency,0.003747486975044012,1,0
mfcc_delta_4_std,0.0037463323678821325,1,0
mfcc_11_p10,0.0037081376649439335,1,0
centroid_mean,0.003696716157719493,1,0
dominant_frequency_ratio,0.003677573287859559,1,0
mfcc_10_std,0.003621952375397086,1,0
mfcc_4_p90,0.0035676544066518545,1,0
mfcc_12_mean,0.003551793983206153,1,0
mfcc_17_p90,0.003527710447087884,1,0
rms_mean,0.0034740932751446962,1,0
mfcc_3_p10,0.0034730678889900446,1,0
mfcc_10_p90,0.0034470672253519297,1,0
mfcc_delta_19_p90,0.0034131340216845274,1,0
mfcc_11_mean,0.003393464954569936,1,0
contrast_4_mean,0.0033877405803650618,1,0
spectral_entropy_p90,0.0033603538759052753,1,0
mfcc_15_mean,0.003299400908872485,1,0
mfcc_2_mean,0.0032871731091290712,1,0
bandwidth_mean,0.0032683631870895624,1,0
mfcc_1_p90,0.20585526525974274,1,1
rolloff85_mean,0.19079934060573578,1,1
rolloff85_p10,0.12319188565015793,1,1
rolloff85_p90,0.09566523879766464,1,1
bandwidth_mean,0.01142793521285057,1,1
mfcc_delta_6_p90,0.007286802865564823,1,1
mfcc_3_mean,0.00703476695343852,1,1
mfcc_delta_7_p90,0.004854588303714991,1,1
mfcc_delta_3_p90,0.004846717696636915,1,1
mfcc_7_p90,0.004776200279593468,1,1
contrast_0_p90,0.004527074284851551,1,1
mfcc_delta_1_p90,0.004524752497673035,1,1
mfcc_3_p90,0.004502491559833288,1,1
mfcc_delta_0_p10,0.004113065544515848,1,1
centroid_p10,0.0038843315560370684,1,1
mfcc_delta_10_std,0.003696569474413991,1,1
mfcc_17_std,0.0036961291916668415,1,1
mfcc_0_mean,0.0036533602979034185,1,1
flatness_p90,0.0036270716227591038,1,1
mfcc_delta_4_p90,0.0035787022206932306,1,1
mfcc_delta_18_std,0.0035717161372303963,1,1
mfcc_5_mean,0.00353796174749732,1,1
mfcc_5_p10,0.0035179981496185064,1,1
mfcc_8_p90,0.003413876285776496,1,1
bandwidth_p10,0.00336657278239727,1,1
mfcc_18_std,0.0031625188421458006,1,1
mfcc_4_p10,0.003117410931736231,1,1
mfcc_3_p10,0.0030248877592384815,1,1
mfcc_2_mean,0.003017436945810914,1,1
mfcc_4_std,0.0030130925588309765,1,1
centroid_p90,0.0030029648914933205,1,1
mfcc_9_mean,0.0029570753686130047,1,1
contrast_5_p90,0.002937402343377471,1,1
rolloff85_std,0.0029320477042347193,1,1
flatness_p10,0.002873373916372657,1,1
mfcc_delta_1_p10,0.0028665424324572086,1,1
centroid_mean,0.002774197841063142,1,1
flatness_mean,0.0027576470747590065,1,1
mfcc_delta_18_p90,0.0027194509748369455,1,1
mfcc_7_mean,0.002687829779461026,1,1
mfcc_2_p90,0.0026007317937910557,1,1
mfcc_delta_15_std,0.0025639785453677177,1,1
mfcc_11_p90,0.002545585623010993,1,1
contrast_1_p10,0.0025360221043229103,1,1
mfcc_10_p90,0.0025337734259665012,1,1
mfcc_10_std,0.002493094652891159,1,1
mfcc_6_p10,0.00249080010689795,1,1
dominant_frequency_ratio,0.0024853916838765144,1,1
spectral_entropy_std,0.002479738323017955,1,1
mfcc_5_p90,0.002473988803103566,1,1
mfcc_0_std,0.0023841517977416515,1,1
mfcc_1_mean,0.002357687335461378,1,1
mfcc_17_mean,0.0023339532781392336,1,1
mfcc_12_p10,0.0023285422939807177,1,1
mfcc_delta_10_p90,0.002298035891726613,1,1
mfcc_12_mean,0.0022810292430222034,1,1
mfcc_2_p10,0.0022684261202812195,1,1
mfcc_17_p90,0.0022580642253160477,1,1
mfcc_12_p90,0.0021238091867417097,1,1
mfcc_10_p10,0.0021203504875302315,1,1
mfcc_1_mean,0.21393951773643494,1,2
mfcc_1_p90,0.11891429871320724,1,2
contrast_5_p10,0.05309579148888588,1,2
mfcc_1_p10,0.023819932714104652,1,2
contrast_5_mean,0.014199461787939072,1,2
mfcc_14_std,0.012137121520936489,1,2
flatness_mean,0.011086766608059406,1,2
zero_crossing_rate_p90,0.010784479789435863,1,2
mfcc_9_p10,0.009794792160391808,1,2
rms_mean,0.007578897289931774,1,2
centroid_p10,0.006834579631686211,1,2
rolloff85_p10,0.00680556520819664,1,2
mfcc_7_mean,0.006617548409849405,1,2
zero_crossing_rate_mean,0.006611305754631758,1,2
contrast_5_std,0.006573986262083054,1,2
centroid_p90,0.006285557989031076,1,2
mfcc_7_p10,0.0061910380609333515,1,2
mfcc_15_std,0.005961072165518999,1,2
contrast_5_p90,0.005847197491675615,1,2
mfcc_2_mean,0.005842663813382387,1,2
centroid_mean,0.005801062099635601,1,2
rms_p10,0.005755550693720579,1,2
contrast_4_mean,0.005570337176322937,1,2
mfcc_9_mean,0.005482166074216366,1,2
contrast_4_p90,0.005094815511256456,1,2
contrast_1_std,0.005006914958357811,1,2
rms_p90,0.004635830409824848,1,2
mfcc_4_mean,0.004488839302212,1,2
mfcc_3_p90,0.004428595770150423,1,2
mfcc_4_p10,0.004344316199421883,1,2
mfcc_7_p90,0.0043365973979234695,1,2
mfcc_17_mean,0.00433639669790864,1,2
mfcc_3_mean,0.004238226916640997,1,2
contrast_1_mean,0.004188920836895704,1,2
mfcc_6_mean,0.004184314515441656,1,2
mfcc_6_p10,0.004183053970336914,1,2
mfcc_17_std,0.004129607696086168,1,2
mfcc_17_p90,0.00395430251955986,1,2
mfcc_3_p10,0.003945362754166126,1,2
mfcc_10_p90,0.0038188286125659943,1,2
mfcc_9_p90,0.003776289289817214,1,2
mfcc_15_mean,0.0036636018194258213,1,2
mfcc_12_mean,0.0036454268265515566,1,2
mfcc_5_p10,0.0036305298563092947,1,2
dominant_frequency,0.0036222178023308516,1,2
spectral_entropy_mean,0.0036106989718973637,1,2
contrast_3_mean,0.0035902170930057764,1,2
rms_std,0.0035772777628153563,1,2
mfcc_5_p90,0.0035674646496772766,1,2
flatness_p90,0.0035447892732918262,1,2
mfcc_2_p10,0.0034973721485584974,1,2
mfcc_13_mean,0.003429344156756997,1,2
zero_crossing_rate_p10,0.0034118425101041794,1,2
mfcc_delta_7_p10,0.0034078252501785755,1,2
mfcc_5_mean,0.0034069661051034927,1,2
dominant_frequency_ratio,0.003338103648275137,1,2
contrast_0_p10,0.0032910986337810755,1,2
mfcc_10_p10,0.003273180453106761,1,2
rolloff85_mean,0.003253079717978835,1,2
spectral_entropy_p10,0.0032368642278015614,1,2
mfcc_1_p90,0.23016268014907837,1,3
mfcc_1_mean,0.13690488040447235,1,3
rms_p10,0.029634490609169006,1,3
contrast_5_p90,0.017234275117516518,1,3
rolloff85_mean,0.013559594750404358,1,3
mfcc_delta_6_p90,0.01316780224442482,1,3
mfcc_14_std,0.011642780154943466,1,3
mfcc_15_std,0.010396399535238743,1,3
contrast_5_mean,0.009856226854026318,1,3
zero_crossing_rate_p90,0.008721291087567806,1,3
bandwidth_p90,0.00832110084593296,1,3
contrast_4_mean,0.007246737368404865,1,3
centroid_p10,0.006835507228970528,1,3
contrast_0_p10,0.00644338596612215,1,3
mfcc_2_mean,0.006366821005940437,1,3
mfcc_2_p10,0.006131628528237343,1,3
mfcc_2_p90,0.0061219255439937115,1,3
contrast_5_std,0.006091332994401455,1,3
flatness_std,0.005596730392426252,1,3
mfcc_delta_15_p90,0.005216481164097786,1,3
mfcc_delta_13_std,0.004868139512836933,1,3
mfcc_14_p10,0.004764004144817591,1,3
mfcc_16_p10,0.004679912235587835,1,3
contrast_0_p90,0.004469594918191433,1,3
centroid_std,0.004370067268610001,1,3
zero_crossing_rate_p10,0.004359512124210596,1,3
centroid_mean,0.004295556340366602,1,3
mfcc_9_p10,0.0042101917788386345,1,3
mfcc_5_mean,0.004185110330581665,1,3
mfcc_delta_1_p90,0.004161215852946043,1,3
contrast_0_mean,0.004118119366466999,1,3
contrast_4_p90,0.0039375172927975655,1,3
mfcc_delta_14_std,0.003739375853911042,1,3
mfcc_8_p10,0.003715032944455743,1,3
mfcc_14_mean,0.0036829740274697542,1,3
mfcc_delta_3_p90,0.0036219691392034292,1,3
mfcc_10_std,0.0036173744592815638,1,3
zero_crossing_rate_mean,0.0035566850565373898,1,3
mfcc_delta_7_std,0.003467219416052103,1,3
mfcc_16_std,0.003440458793193102,1,3
mfcc_delta_5_std,0.0034348154440522194,1,3
mfcc_9_p90,0.0034317465033382177,1,3
spectral_entropy_mean,0.0034197536297142506,1,3
contrast_5_p10,0.0034015504643321037,1,3
mfcc_0_mean,0.0033776876516640186,1,3
mfcc_17_mean,0.0033390000462532043,1,3
flatness_p10,0.0033120845910161734,1,3
mfcc_0_p90,0.0033073732629418373,1,3
mfcc_3_mean,0.003307195845991373,1,3
mfcc_7_p10,0.0032889482099562883,1,3
mfcc_14_p90,0.003275696188211441,1,3
mfcc_5_p90,0.0032629745546728373,1,3
mfcc_delta_16_p10,0.0032361578196287155,1,3
mfcc_delta_11_p90,0.003198451129719615,1,3
mfcc_delta_7_p10,0.003143628127872944,1,3
mfcc_2_std,0.003099460620433092,1,3
mfcc_3_p90,0.003081145230680704,1,3
mfcc_delta_14_p90,0.003074249718338251,1,3
bandwidth_mean,0.003038315335288644,1,3
rolloff85_p10,0.0030213918071240187,1,3
mfcc_1_p90,0.1857185810804367,1,4
contrast_5_p10,0.06045560911297798,1,4
contrast_0_p90,0.047133881598711014,1,4
rms_p90,0.03327484056353569,1,4
dominant_frequency,0.020816082134842873,1,4
contrast_5_mean,0.018679125234484673,1,4
rms_p10,0.017994236201047897,1,4
rms_mean,0.014904634095728397,1,4
mfcc_1_mean,0.011897498741745949,1,4
rms_std,0.009381486102938652,1,4
mfcc_14_std,0.009322316385805607,1,4
zero_crossing_rate_mean,0.009038853459060192,1,4
mfcc_3_mean,0.007647508755326271,1,4
mfcc_delta_15_std,0.007317682262510061,1,4
zero_crossing_rate_p90,0.007098125293850899,1,4
mfcc_15_std,0.00704232370480895,1,4
