metric,mean,std,min,max,folds
accuracy,0.8228833781016794,0.22321098395464323,0.3605072463768116,0.9982332155477032,50
macro_f1,0.7690308404886551,0.2526819670870051,0.3022193492781728,0.9979542784855877,50
weighted_f1,0.8220598859887756,0.21667803829421864,0.3860618494889595,0.9982345501747946,50
roc_auc_ovr_macro,0.8572005634493014,0.2386743638520594,0.33373286861072116,1.0,50
average_precision_macro,0.841417132716014,0.18883450712203248,0.4628515228466085,1.0,50
n_items,520.2,32.347601873072065,492.0,566.0,50
precision_absent,0.8807659919417218,0.16236162301211746,0.556923076923077,1.0,50
recall_absent,0.8697128687367643,0.18824120006238995,0.4473007712082262,0.9974226804123711,50
f1_absent,0.8731250448134716,0.17215874426421068,0.4964336661911555,0.9987096774193548,50
support_absent,389.4,1.0301575072754257,388.0,391.0,50
precision_present,0.6887434581697792,0.32498700743971265,0.08370044052863436,0.994413407821229,50
recall_present,0.6768614681401209,0.3791797254006239,0.11042944785276074,1.0,50
f1_present,0.664936636163839,0.3453294882937211,0.0967741935483871,0.9971988795518207,50
support_present,130.8,33.15393903398792,101.0,178.0,50
