feature,gain,repeat,fold
site_code,0.8979925513267517,0,0
cond_water_noise,0.04440636932849884,0,0
cond_reverberation,0.02172880433499813,0,0
latitude,0.02008672058582306,0,0
cond_night_recording,0.010252831503748894,0,0
cond_engine_noise,0.005532717332243919,0,0
longitude,0.0,0,0
cond_ship_noise,0.0,0,0
cond_no_visual,0.0,0,0
cond_tape_speed_note,0.0,0,0
longitude,0.7067363858222961,0,1
cond_reverberation,0.26121366024017334,0,1
site_code,0.02959706075489521,0,1
latitude,0.00245290482416749,0,1
cond_ship_noise,0.0,0,1
cond_engine_noise,0.0,0,1
cond_water_noise,0.0,0,1
cond_night_recording,0.0,0,1
cond_no_visual,0.0,0,1
cond_tape_speed_note,0.0,0,1
latitude,0.5876081585884094,0,2
cond_water_noise,0.19718801975250244,0,2
site_code,0.14839990437030792,0,2
longitude,0.05021370202302933,0,2
cond_reverberation,0.01659015193581581,0,2
cond_ship_noise,0.0,0,2
cond_engine_noise,0.0,0,2
cond_night_recording,0.0,0,2
cond_no_visual,0.0,0,2
cond_tape_speed_note,0.0,0,2
longitude,0.5815507769584656,0,3
cond_water_noise,0.37601330876350403,0,3
site_code,0.014918079599738121,0,3
latitude,0.009696352295577526,0,3
cond_reverberation,0.009661388583481312,0,3
cond_night_recording,0.005030329804867506,0,3
cond_no_visual,0.0018134136917069554,0,3
cond_engine_noise,0.0013162727700546384,0,3
cond_ship_noise,0.0,0,3
cond_tape_speed_note,0.0,0,3
longitude,0.5141317248344421,0,4
cond_water_noise,0.3637138307094574,0,4
site_code,0.08904822170734406,0,4
cond_reverberation,0.013771467842161655,0,4
latitude,0.011110561899840832,0,4
cond_night_recording,0.004257351625710726,0,4
cond_engine_noise,0.0020682979375123978,0,4
cond_no_visual,0.001898554852232337,0,4
cond_ship_noise,0.0,0,4
cond_tape_speed_note,0.0,0,4
site_code,0.8976764678955078,1,0
cond_water_noise,0.044338833540678024,1,0
cond_reverberation,0.021534539759159088,1,0
latitude,0.020052224397659302,1,0
cond_night_recording,0.01023639366030693,1,0
cond_engine_noise,0.006161577999591827,1,0
longitude,0.0,1,0
cond_ship_noise,0.0,1,0
cond_no_visual,0.0,1,0
cond_tape_speed_note,0.0,1,0
longitude,0.9948092103004456,1,1
site_code,0.005190768279135227,1,1
latitude,0.0,1,1
cond_ship_noise,0.0,1,1
cond_engine_noise,0.0,1,1
cond_reverberation,0.0,1,1
cond_water_noise,0.0,1,1
cond_night_recording,0.0,1,1
cond_no_visual,0.0,1,1
cond_tape_speed_note,0.0,1,1
latitude,0.5515581369400024,1,2
cond_water_noise,0.17867997288703918,1,2
site_code,0.1588454246520996,1,2
longitude,0.09565505385398865,1,2
cond_reverberation,0.015261424705386162,1,2
cond_ship_noise,0.0,1,2
cond_engine_noise,0.0,1,2
cond_night_recording,0.0,1,2
cond_no_visual,0.0,1,2
cond_tape_speed_note,0.0,1,2
longitude,0.966318666934967,1,3
site_code,0.02764367312192917,1,3
cond_reverberation,0.005017783958464861,1,3
cond_night_recording,0.0006465030019171536,1,3
cond_engine_noise,0.000373391667380929,1,3
latitude,0.0,1,3
cond_ship_noise,0.0,1,3
cond_water_noise,0.0,1,3
cond_no_visual,0.0,1,3
cond_tape_speed_note,0.0,1,3
longitude,0.49711012840270996,1,4
cond_water_noise,0.3857056200504303,1,4
site_code,0.07924892008304596,1,4
cond_reverberation,0.016186252236366272,1,4
latitude,0.013467670418322086,1,4
cond_night_recording,0.004492259584367275,1,4
cond_engine_noise,0.0019287039758637547,1,4
cond_no_visual,0.0018604296492412686,1,4
cond_ship_noise,0.0,1,4
cond_tape_speed_note,0.0,1,4
longitude,0.8230037689208984,2,0
site_code,0.11849476397037506,2,0
cond_water_noise,0.03062339872121811,2,0
cond_reverberation,0.015065743587911129,2,0
cond_night_recording,0.007400308735668659,2,0
cond_engine_noise,0.00499073788523674,2,0
latitude,0.00042125562322326005,2,0
cond_ship_noise,0.0,2,0
cond_no_visual,0.0,2,0
cond_tape_speed_note,0.0,2,0
longitude,0.7064444422721863,2,1
cond_reverberation,0.2613646686077118,2,1
site_code,0.029738223180174828,2,1
latitude,0.0024527281057089567,2,1
cond_ship_noise,0.0,2,1
cond_engine_noise,0.0,2,1
cond_water_noise,0.0,2,1
cond_night_recording,0.0,2,1
cond_no_visual,0.0,2,1
cond_tape_speed_note,0.0,2,1
latitude,0.5268747806549072,2,2
cond_water_noise,0.19663040339946747,2,2
site_code,0.1636573076248169,2,2
longitude,0.10343233495950699,2,2
cond_reverberation,0.009405141696333885,2,2
cond_ship_noise,0.0,2,2
cond_engine_noise,0.0,2,2
cond_night_recording,0.0,2,2
cond_no_visual,0.0,2,2
cond_tape_speed_note,0.0,2,2
longitude,0.9629616737365723,2,3
site_code,0.020740648731589317,2,3
cond_reverberation,0.012523898854851723,2,3
cond_night_recording,0.002637237310409546,2,3
cond_engine_noise,0.001136581413447857,2,3
latitude,0.0,2,3
cond_ship_noise,0.0,2,3
cond_water_noise,0.0,2,3
cond_no_visual,0.0,2,3
cond_tape_speed_note,0.0,2,3
longitude,0.5353658199310303,2,4
cond_water_noise,0.36435192823410034,2,4
site_code,0.0721403956413269,2,4
cond_reverberation,0.013068854808807373,2,4
latitude,0.00753706693649292,2,4
cond_night_recording,0.003265879349783063,2,4
cond_no_visual,0.002302133711054921,2,4
cond_engine_noise,0.001967959338799119,2,4
cond_ship_noise,0.0,2,4
cond_tape_speed_note,0.0,2,4
site_code,0.8965868353843689,3,0
cond_water_noise,0.044787678867578506,3,0
cond_reverberation,0.021864118054509163,3,0
latitude,0.020258445292711258,3,0
cond_night_recording,0.010316658765077591,3,0
cond_engine_noise,0.006186325568705797,3,0
longitude,0.0,3,0
cond_ship_noise,0.0,3,0
cond_no_visual,0.0,3,0
cond_tape_speed_note,0.0,3,0
longitude,0.9948002696037292,3,1
site_code,0.00519971176981926,3,1
latitude,0.0,3,1
cond_ship_noise,0.0,3,1
cond_engine_noise,0.0,3,1
cond_reverberation,0.0,3,1
cond_water_noise,0.0,3,1
cond_night_recording,0.0,3,1
cond_no_visual,0.0,3,1
cond_tape_speed_note,0.0,3,1
latitude,0.5718857645988464,3,2
cond_water_noise,0.21059222519397736,3,2
site_code,0.1266084611415863,3,2
longitude,0.08039778470993042,3,2
cond_reverberation,0.010515772737562656,3,2
cond_ship_noise,0.0,3,2
cond_engine_noise,0.0,3,2
cond_night_recording,0.0,3,2
cond_no_visual,0.0,3,2
cond_tape_speed_note,0.0,3,2
longitude,0.5676714181900024,3,3
cond_water_noise,0.3792365789413452,3,3
site_code,0.018864793702960014,3,3
cond_reverberation,0.014420987106859684,3,3
latitude,0.011667019687592983,3,3
cond_night_recording,0.00535394623875618,3,3
cond_engine_noise,0.001405769377015531,3,3
cond_no_visual,0.0013794240076094866,3,3
cond_ship_noise,0.0,3,3
cond_tape_speed_note,0.0,3,3
longitude,0.5155547261238098,3,4
cond_water_noise,0.3626602292060852,3,4
site_code,0.0890682265162468,3,4
cond_reverberation,0.013669661246240139,3,4
latitude,0.010727462358772755,3,4
cond_night_recording,0.004308013711124659,3,4
cond_engine_noise,0.002063562860712409,3,4
cond_no_visual,0.0019480675691738725,3,4
cond_ship_noise,0.0,3,4
cond_tape_speed_note,0.0,3,4
longitude,0.8230813145637512,4,0
site_code,0.11845088005065918,4,0
cond_water_noise,0.03060610219836235,4,0
cond_reverberation,0.015058419667184353,4,0
cond_night_recording,0.007395575754344463,4,0
cond_engine_noise,0.004986962303519249,4,0
latitude,0.00042070774361491203,4,0
cond_ship_noise,0.0,4,0
cond_no_visual,0.0,4,0
cond_tape_speed_note,0.0,4,0
longitude,0.718855619430542,4,1
cond_reverberation,0.24876528978347778,4,1
site_code,0.029979538172483444,4,1
latitude,0.0023995176889002323,4,1
cond_ship_noise,0.0,4,1
cond_engine_noise,0.0,4,1
cond_water_noise,0.0,4,1
cond_night_recording,0.0,4,1
cond_no_visual,0.0,4,1
cond_tape_speed_note,0.0,4,1
latitude,0.5192365050315857,4,2
site_code,0.19066542387008667,4,2
cond_water_noise,0.18707087635993958,4,2
longitude,0.09408682584762573,4,2
cond_reverberation,0.008940400555729866,4,2
cond_ship_noise,0.0,4,2
cond_engine_noise,0.0,4,2
cond_night_recording,0.0,4,2
cond_no_visual,0.0,4,2
cond_tape_speed_note,0.0,4,2
longitude,0.9629421830177307,4,3
site_code,0.02075333148241043,4,3
cond_reverberation,0.012527906335890293,4,3
cond_night_recording,0.002638898091390729,4,3
cond_engine_noise,0.0011377158807590604,4,3
latitude,0.0,4,3
cond_ship_noise,0.0,4,3
cond_water_noise,0.0,4,3
cond_no_visual,0.0,4,3
cond_tape_speed_note,0.0,4,3
longitude,0.5353658199310303,4,4
cond_water_noise,0.36435192823410034,4,4
site_code,0.0721403956413269,4,4
cond_reverberation,0.013068852946162224,4,4
latitude,0.007537066005170345,4,4
cond_night_recording,0.0032658770214766264,4,4
