repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.6294363256784968,0.3862908392056374,0.4862909729457189,0.5,0.5,958.0,0.6294363256784968,1.0,0.7725816784112748,603.0,0.0,0.0,0.0,355.0
0,1,0.5957066189624329,0.5550366300366301,0.5413195331799983,0.5790183422155534,0.6239960643401496,1118.0,1.0,0.2662337662337662,0.4205128205128205,616.0,0.5262054507337526,1.0,0.6895604395604396,502.0
0,2,0.9441210710128056,0.9285506342274901,0.9438880968963171,0.9713949843260188,0.955074497749967,859.0,0.957345971563981,0.9665071770334929,0.9619047619047619,627.0,0.9070796460176991,0.8836206896551724,0.8951965065502183,232.0
0,3,0.8694300518134715,0.8684090909090909,0.8700546396608573,0.9295483837028854,0.9131855655753889,965.0,0.9258517034068137,0.838475499092559,0.88,551.0,0.8090128755364807,0.9106280193236715,0.8568181818181818,414.0
0,4,0.9779208831646734,0.9779091980652765,0.9779311660521426,0.9996777913444581,0.999686602418008,1087.0,0.9575645756457565,0.9980769230769231,0.9774011299435028,520.0,0.998165137614679,0.9594356261022927,0.9784172661870504,567.0
1,0,0.6294363256784968,0.3862908392056374,0.4862909729457189,0.5,0.5,958.0,0.6294363256784968,1.0,0.7725816784112748,603.0,0.0,0.0,0.0,355.0
1,1,0.31176999101527403,0.23767123287671232,0.2609472116579896,0.2479541734860884,0.43984771398705896,1113.0,0.408716136631331,0.5679214402618658,0.47534246575342465,611.0,0.0,0.0,0.0,502.0
1,2,0.9413092550790068,0.924505794137696,0.9413092550790068,0.9605126894237324,0.9436241834072392,886.0,0.9601226993865031,0.9601226993865031,0.9601226993865031,652.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,234.0
1,3,0.8191489361702128,0.8185937954083116,0.8174194591812127,0.9232977624784854,0.8855914068308879,940.0,0.9889807162534435,0.6838095238095238,0.8085585585585585,525.0,0.7123050259965338,0.9903614457831326,0.8286290322580645,415.0
1,4,0.9467889908256881,0.9467873784577261,0.9467771667939675,0.9972932340964862,0.9973979223718239,1090.0,0.9105263157894737,0.9866920152091255,0.9470802919708029,526.0,0.9865384615384616,0.9095744680851063,0.9464944649446494,564.0
2,0,1.0,1.0,1.0,1.0,1.0,986.0,1.0,1.0,1.0,631.0,1.0,1.0,1.0,355.0
2,1,0.5985790408525755,0.5608606217902701,0.5469162365611754,0.5983964781898049,0.6345304105049978,1126.0,1.0,0.27564102564102566,0.4321608040201005,624.0,0.5262054507337526,1.0,0.6895604395604396,502.0
2,2,0.8984830805134189,0.8612373048856068,0.8938693020009648,0.9720953204099272,0.9561605781913365,857.0,0.8952802359882006,0.9743178170144462,0.9331283627978478,623.0,0.9106145251396648,0.6965811965811965,0.7893462469733656,234.0
2,3,0.8174097664543525,0.8168516718287251,0.8156496218658357,0.922612651745502,0.8845660117500835,942.0,0.9889807162534435,0.681214421252372,0.8067415730337079,527.0,0.7098445595854922,0.9903614457831326,0.8269617706237424,415.0
2,4,0.9776951672862454,0.9776778150813051,0.9777078922365349,0.9995809785017731,0.9995966906685128,1076.0,0.9569288389513109,0.998046875,0.9770554493307839,512.0,0.9981549815498155,0.9592198581560284,0.9783001808318263,564.0
3,0,0.6370143149284253,0.3891317926296065,0.49576504459763776,0.5,0.5,978.0,0.6370143149284253,1.0,0.778263585259213,623.0,0.0,0.0,0.0,355.0
3,1,0.31805929919137466,0.24130879345603273,0.2649410113236945,0.2479541734860884,0.4399513960994545,1113.0,0.4135514018691589,0.5793780687397708,0.48261758691206547,611.0,0.0,0.0,0.0,502.0
3,2,0.936374549819928,0.9173067809975481,0.9348967977361936,0.9763827528831258,0.9602714698755298,833.0,0.9335443037974683,0.9816971713810316,0.9570154095701541,601.0,0.945273631840796,0.8189655172413793,0.8775981524249422,232.0
3,3,0.8722966014418125,0.8710093504400964,0.8729070503704616,0.9193011214321025,0.9044150814463092,971.0,0.923679060665362,0.8473967684021544,0.8838951310861424,557.0,0.8152173913043478,0.9057971014492754,0.8581235697940504,414.0
3,4,0.978021978021978,0.978014603242779,0.9780300902790969,0.9989585957839926,0.9989471733222617,1092.0,0.9579524680073126,0.9980952380952381,0.9776119402985075,525.0,0.998165137614679,0.9594356261022927,0.9784172661870504,567.0
4,0,1.0,1.0,1.0,1.0,1.0,977.0,1.0,1.0,1.0,622.0,1.0,1.0,1.0,355.0
4,1,0.5985790408525755,0.5608606217902701,0.5469162365611754,0.6212489784451936,0.6477367678962043,1126.0,1.0,0.27564102564102566,0.4321608040201005,624.0,0.5262054507337526,1.0,0.6895604395604396,502.0
4,2,0.89988358556461,0.8631598055777837,0.8954272167572197,0.9721675213675214,0.9558126299690259,859.0,0.8969072164948454,0.9744,0.9340490797546013,625.0,0.9111111111111111,0.7008547008547008,0.7922705314009661,234.0
4,3,0.8208640674394099,0.820495531581571,0.8194756300215048,0.9246626957267271,0.8868532328946513,949.0,0.989247311827957,0.6891385767790262,0.8123620309050773,534.0,0.7123050259965338,0.9903614457831326,0.8286290322580645,415.0
4,4,0.9776951672862454,0.9776778150813051,0.9777078922365349,0.999272772606383,0.9993114403312535,1076.0,0.9569288389513109,0.998046875,0.9770554493307839,512.0,0.9981549815498155,0.9592198581560284,0.9783001808318263,564.0
5,0,0.6282722513089005,0.3858520900321543,0.4848403225534923,0.5,0.5,955.0,0.6282722513089005,1.0,0.7717041800643086,600.0,0.0,0.0,0.0,355.0
5,1,0.3141592920353982,0.23905723905723905,0.2657131789875153,0.2372611464968153,0.43761051923820715,1130.0,0.41423570595099185,0.5652866242038217,0.4781144781144781,628.0,0.0,0.0,0.0,502.0
5,2,0.8967082860385925,0.8515255618419713,0.8899215805522688,0.97095734421855,0.95308674477119,881.0,0.8861111111111111,0.9860896445131375,0.9334308705193856,647.0,0.9440993788819876,0.6495726495726496,0.769620253164557,234.0
5,3,0.9125395152792413,0.9123510985739958,0.9128606801177279,0.9238527142276973,0.8857596296666999,949.0,0.9912854030501089,0.8520599250936329,0.9164149043303121,534.0,0.8387755102040816,0.9903614457831326,0.9082872928176795,415.0
5,4,0.9421641791044776,0.9421633738496025,0.9421521002813508,0.999424107890769,0.9994531020459587,1072.0,0.8926056338028169,0.9980314960629921,0.9423791821561338,508.0,0.998015873015873,0.8918439716312057,0.9419475655430711,564.0
6,0,1.0,1.0,1.0,1.0,1.0,961.0,1.0,1.0,1.0,606.0,1.0,1.0,1.0,355.0
6,1,0.3108715184186882,0.2371487320082248,0.26037354044389105,0.2479541734860884,0.4399414627813933,1113.0,0.4080188679245283,0.5662847790507365,0.4742974640164496,611.0,0.0,0.0,0.0,502.0
6,2,0.8978433598183881,0.8588623547505126,0.8936337480399998,0.9677208417548449,0.9504367172002649,881.0,0.8995695839311334,0.9690880989180835,0.9330357142857143,647.0,0.8913043478260869,0.7008547008547008,0.784688995215311,234.0
6,3,0.7915343915343915,0.7902482003810494,0.7882493898049097,0.9320845646737895,0.9028406159163072,945.0,0.9882697947214076,0.6358490566037736,0.7738231917336394,530.0,0.6804635761589404,0.9903614457831326,0.8066732090284593,415.0
6,4,0.9742410303587856,0.9742361242787876,0.9742495342307823,0.9993016286291581,0.9993424146363651,1087.0,0.9508196721311475,0.9980879541108987,0.9738805970149254,523.0,0.9981412639405205,0.9521276595744681,0.9745916515426497,564.0
7,0,1.0,1.0,1.0,1.0,1.0,959.0,1.0,1.0,1.0,604.0,1.0,1.0,1.0,355.0
7,1,0.7583108715184187,0.7532108057492402,0.7497363859439874,0.8197308963817398,0.7947100124251851,1113.0,1.0,0.5597381342062193,0.7177334732423925,611.0,0.6511024643320363,1.0,0.788688138256088,502.0
7,2,0.9426229508196722,0.9270074011278739,0.9424252856337,0.9756417008537531,0.9587476800481426,854.0,0.9569377990430622,0.9646302250803859,0.9607686148919136,622.0,0.9030837004405287,0.8836206896551724,0.8932461873638344,232.0
7,3,0.8708677685950413,0.8695579523832624,0.871448408771397,0.9327530127836201,0.9181932165132934,968.0,0.9197651663405088,0.8483754512635379,0.8826291079812206,554.0,0.8161925601750547,0.9009661835748792,0.8564867967853043,414.0
7,4,0.9780420860018298,0.9780354487359832,0.9780497712570205,0.9995356120197691,0.9995190999583867,1093.0,0.958029197080292,0.9980988593155894,0.9776536312849162,526.0,0.998165137614679,0.9594356261022927,0.9784172661870504,567.0
8,0,0.6294363256784968,0.3862908392056374,0.4862909729457189,0.5,0.5,958.0,0.6294363256784968,1.0,0.7725816784112748,603.0,0.0,0.0,0.0,355.0
