metric,mean,std,min,max,folds
accuracy,0.8136961743949795,0.1790099667883238,0.45471014492753625,1.0,50
macro_f1,0.7329782164960329,0.23885445605983577,0.3125778331257783,1.0,50
weighted_f1,0.7958702235091535,0.19599087037858834,0.44055354016640497,1.0,50
roc_auc_ovr_macro,0.8206062812895664,0.25077470314718464,0.25449871465295626,1.0,50
average_precision_macro,0.804181390037229,0.19704939430313925,0.4460419396576045,1.0,50
n_items,520.2,32.347601873072065,492.0,566.0,50
precision_absent,0.8873473669886925,0.14019478618957532,0.606280193236715,1.0,50
recall_absent,0.8772470636112345,0.18116049158249986,0.36503856041131105,1.0,50
f1_absent,0.8672595928016514,0.1413433111067519,0.5348399246704332,1.0,50
support_absent,389.4,1.0301575072754257,388.0,391.0,50
precision_present,0.6281483579051974,0.3798537323689092,0.0,1.0,50
recall_present,0.6361899502499795,0.4069077927015562,0.0,1.0,50
f1_present,0.5986968401904146,0.3669841144668485,0.0,1.0,50
support_present,130.8,33.15393903398792,101.0,178.0,50
