feature,gain,repeat,fold
rms_p10,0.04016239941120148,0,0
bandwidth_p90,0.030281275510787964,0,0
bandwidth_mean,0.02523506060242653,0,0
bandwidth_p10,0.024784302338957787,0,0
mfcc_1_mean,0.022584326565265656,0,0
contrast_2_p10,0.019990958273410797,0,0
mfcc_1_p90,0.018428804352879524,0,0
mfcc_delta_15_p90,0.015313942916691303,0,0
mfcc_17_mean,0.01465973537415266,0,0
mfcc_6_mean,0.014378420077264309,0,0
contrast_0_mean,0.01432421151548624,0,0
rms_mean,0.014303197152912617,0,0
mfcc_2_p90,0.011674345470964909,0,0
contrast_1_p90,0.011510565876960754,0,0
mfcc_delta_15_std,0.01060962863266468,0,0
mfcc_16_std,0.010306046344339848,0,0
mfcc_7_std,0.010275166481733322,0,0
rolloff85_mean,0.010220813564956188,0,0
rolloff85_p10,0.010193218477070332,0,0
mfcc_delta_6_std,0.009153799153864384,0,0
mfcc_8_mean,0.00830566231161356,0,0
spectral_entropy_p90,0.008183826692402363,0,0
mfcc_delta_7_std,0.007897721603512764,0,0
flatness_mean,0.007639971561729908,0,0
contrast_2_mean,0.007608154788613319,0,0
contrast_1_mean,0.007574010640382767,0,0
mfcc_17_std,0.007508346810936928,0,0
centroid_p10,0.007473533041775227,0,0
mfcc_delta_1_p90,0.007239192258566618,0,0
mfcc_11_p10,0.006983091589063406,0,0
spectral_entropy_p10,0.006787089630961418,0,0
contrast_0_p90,0.006746528670191765,0,0
mfcc_delta_2_std,0.006724981591105461,0,0
contrast_0_p10,0.006597368977963924,0,0
mfcc_1_p10,0.006332641001790762,0,0
contrast_4_p10,0.006250584963709116,0,0
mfcc_19_mean,0.006194355897605419,0,0
contrast_5_std,0.006174010224640369,0,0
mfcc_delta_10_p10,0.006156907882541418,0,0
mfcc_10_std,0.00611985195428133,0,0
mfcc_delta_3_p90,0.006100541912019253,0,0
zero_crossing_rate_std,0.006067800335586071,0,0
mfcc_16_p10,0.005841712933033705,0,0
mfcc_4_mean,0.00571588845923543,0,0
mfcc_2_std,0.005709526129066944,0,0
mfcc_delta_8_std,0.005628251004964113,0,0
mfcc_6_p10,0.0056244321167469025,0,0
mfcc_3_mean,0.005569101311266422,0,0
mfcc_3_p10,0.0055285487323999405,0,0
bandwidth_std,0.005520556587725878,0,0
mfcc_14_mean,0.005497405305504799,0,0
contrast_1_p10,0.00546490540727973,0,0
flatness_p10,0.005344274453818798,0,0
mfcc_18_p90,0.005334666930139065,0,0
centroid_p90,0.005306868348270655,0,0
mfcc_delta_6_mean,0.005259109195321798,0,0
