repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.9607843137254902,0.5354345053743851,0.9503248922086598,0.7974585371674023,0.5744389871935809,510.0,0.9683168316831683,0.9918864097363083,0.9799599198396793,493.0,0.2,0.058823529411764705,0.09090909090909091,17.0
0,1,0.908745247148289,0.49604790419161676,0.8948730675531067,0.6885487737414715,0.5335676276398393,526.0,0.93713163064833,0.9675456389452333,0.9520958083832335,493.0,0.058823529411764705,0.030303030303030304,0.04,33.0
0,2,0.947265625,0.5509209628691161,0.9414976153639996,0.7587274474218,0.5461434654018604,512.0,0.966,0.9797160243407708,0.972809667673716,493.0,0.16666666666666666,0.10526315789473684,0.12903225806451613,19.0
0,3,0.9486166007905138,0.6616255144032921,0.958470371996942,0.9497300944669366,0.6549040430823336,506.0,0.9895397489539749,0.9574898785425101,0.9732510288065843,494.0,0.25,0.5833333333333334,0.35,12.0
0,4,0.8647166361974405,0.6432021719201749,0.8678003642384234,0.8769216555801922,0.6597825848678325,547.0,0.9300411522633745,0.9186991869918699,0.9243353783231084,492.0,0.3442622950819672,0.38181818181818183,0.3620689655172414,55.0
1,0,0.9351669941060904,0.5372344821886106,0.9393823808848774,0.6563133874239351,0.5370899452462026,509.0,0.9713114754098361,0.9614604462474645,0.9663608562691132,493.0,0.09523809523809523,0.125,0.10810810810810811,16.0
1,1,0.9028571428571428,0.49329119433773017,0.891576724783515,0.6957378664695737,0.5351792632071329,525.0,0.9366336633663367,0.9613821138211383,0.9488465396188566,492.0,0.05,0.030303030303030304,0.03773584905660377,33.0
1,2,0.9592233009708738,0.489593657086224,0.9411606223599258,0.8835353535353535,0.6635256211792231,515.0,0.9610894941634242,0.997979797979798,0.979187314172448,495.0,0.0,0.0,0.0,20.0
1,3,0.9465346534653465,0.6567998187721815,0.957149938357122,0.9269776876267748,0.6337284357106907,505.0,0.9894957983193278,0.9553752535496958,0.9721362229102167,493.0,0.2413793103448276,0.5833333333333334,0.34146341463414637,12.0
1,4,0.8647166361974405,0.648530841900528,0.8687480729209262,0.8781781226903178,0.6555052163446771,547.0,0.9318181818181818,0.9166666666666666,0.9241803278688525,492.0,0.3492063492063492,0.4,0.3728813559322034,55.0
2,0,0.9646365422396856,0.5409819639278557,0.9542401108700702,0.7809330628803246,0.6494946178915273,509.0,0.9702970297029703,0.9939148073022313,0.9819639278557114,493.0,0.25,0.0625,0.1,16.0
2,1,0.8971428571428571,0.4906941649899396,0.8884765737280829,0.6723330869672333,0.5310856392610906,525.0,0.9362549800796812,0.9552845528455285,0.9456740442655935,492.0,0.043478260869565216,0.030303030303030304,0.03571428571428571,33.0
2,2,0.9066147859922179,0.5309148984713666,0.9180491303950264,0.7965587044534413,0.5723807768495411,514.0,0.9645833333333333,0.937246963562753,0.9507186858316222,494.0,0.08823529411764706,0.15,0.1111111111111111,20.0
2,3,0.9445544554455445,0.6171756551873511,0.9543688092006082,0.9261325219743071,0.5953707832585058,505.0,0.9853862212943633,0.9574036511156186,0.9711934156378601,493.0,0.19230769230769232,0.4166666666666667,0.2631578947368421,12.0
2,4,0.8923357664233577,0.704284995655554,0.8927660885532611,0.9026922367693159,0.6950236448604772,548.0,0.9410569105691057,0.9391480730223124,0.9401015228426396,493.0,0.4642857142857143,0.4727272727272727,0.46846846846846846,55.0
3,0,0.9430255402750491,0.5458852484233194,0.9438598686192754,0.7592545638945234,0.5641647207946687,509.0,0.9715447154471545,0.9695740365111561,0.9705583756345177,493.0,0.11764705882352941,0.125,0.12121212121212122,16.0
3,1,0.8895238095238095,0.48737373737373735,0.8843347763347763,0.6836043360433605,0.5327751476195982,525.0,0.9357429718875502,0.9471544715447154,0.9414141414141414,492.0,0.037037037037037035,0.030303030303030304,0.03333333333333333,33.0
3,2,0.9046692607003891,0.5293655984303466,0.9169340862647696,0.8162955465587044,0.5716885533844581,514.0,0.964509394572025,0.9352226720647774,0.9496402877697842,494.0,0.08571428571428572,0.15,0.10909090909090909,20.0
3,3,0.9287128712871288,0.5722755505364201,0.9441765294541877,0.9149763353617308,0.5699981980572469,505.0,0.9830866807610994,0.9432048681541582,0.9627329192546584,493.0,0.125,0.3333333333333333,0.18181818181818182,12.0
3,4,0.8795620437956204,0.6911885245901639,0.8839632942443459,0.8887884934538078,0.6732725432352283,548.0,0.9420289855072463,0.922920892494929,0.9323770491803278,493.0,0.4153846153846154,0.4909090909090909,0.45,55.0
4,0,0.9431372549019608,0.6315304317496699,0.9477881030087115,0.796444338384441,0.5677168070141713,510.0,0.977366255144033,0.9634888438133874,0.9703779366700716,493.0,0.25,0.35294117647058826,0.2926829268292683,17.0
4,1,0.903041825095057,0.4933423990027764,0.8917815871686308,0.7046530210830413,0.5377905682030192,526.0,0.9367588932806324,0.9614604462474645,0.948948948948949,493.0,0.05,0.030303030303030304,0.03773584905660377,33.0
4,2,0.93359375,0.5577235772357724,0.9351864202235773,0.8146685171346215,0.5597198668628987,512.0,0.9674134419551935,0.9634888438133874,0.9654471544715447,493.0,0.14285714285714285,0.15789473684210525,0.15,19.0
4,3,0.9426877470355731,0.5708729346395672,0.9513713201488557,0.9350539811066126,0.586375715969443,506.0,0.9813664596273292,0.9595141700404858,0.970317297850563,494.0,0.13043478260869565,0.25,0.17142857142857143,12.0
4,4,0.8829981718464351,0.6540164452877926,0.8788816464251561,0.9012379896526238,0.6917390921369302,547.0,0.928,0.943089430894309,0.9354838709677419,492.0,0.40425531914893614,0.34545454545454546,0.37254901960784315,55.0
5,0,0.9455252918287937,0.5484437751004017,0.940582368384042,0.5507708665603402,0.517723245257443,514.0,0.9660678642714571,0.9777777777777777,0.9718875502008032,495.0,0.15384615384615385,0.10526315789473684,0.125,19.0
5,1,0.9066666666666666,0.49508331861273036,0.893641877171289,0.6350086228135008,0.5239817846766306,525.0,0.9368836291913215,0.9654471544715447,0.950950950950951,492.0,0.05555555555555555,0.030303030303030304,0.0392156862745098,33.0
5,2,0.9607843137254902,0.49,0.9473333333333334,0.6860756472974585,0.5216357660439106,510.0,0.9664694280078896,0.9939148073022313,0.98,493.0,0.0,0.0,0.0,17.0
5,3,0.9227722772277228,0.6250356972870061,0.9432830194014166,0.9281609195402298,0.5955040509826028,505.0,0.9913419913419913,0.9290060851926978,0.9591623036649215,493.0,0.18604651162790697,0.6666666666666666,0.2909090909090909,12.0
5,4,0.8628884826325411,0.6515420485335462,0.8683457849214824,0.8735957132298596,0.6584879664634568,547.0,0.9334719334719335,0.9126016260162602,0.9229188078108942,492.0,0.3484848484848485,0.41818181818181815,0.38016528925619836,55.0
6,0,0.9474708171206225,0.5209692451071761,0.9395563549595485,0.8185007974481657,0.5751405396530702,514.0,0.9642857142857143,0.9818181818181818,0.972972972972973,495.0,0.1,0.05263157894736842,0.06896551724137931,19.0
6,1,0.9104761904761904,0.4969316397887827,0.8957067422373545,0.5365237743286524,0.5100673962003522,525.0,0.93713163064833,0.9695121951219512,0.9530469530469531,492.0,0.0625,0.030303030303030304,0.04081632653061224,33.0
6,2,0.9627450980392157,0.4905094905094905,0.9483183483183483,0.6341725331106073,0.517872009851315,510.0,0.9665354330708661,0.9959432048681541,0.981018981018981,493.0,0.0,0.0,0.0,17.0
6,3,0.9564356435643564,0.6450025562372188,0.9617030107918767,0.9455713319810684,0.6661736659783243,505.0,0.9855670103092784,0.9695740365111561,0.9775051124744376,493.0,0.25,0.4166666666666667,0.3125,12.0
6,4,0.8647166361974405,0.6198820524378333,0.8636012166814515,0.8859386548410938,0.6590605242428353,547.0,0.9230769230769231,0.926829268292683,0.9249492900608519,492.0,0.32075471698113206,0.3090909090909091,0.3148148148148148,55.0
7,0,0.9115913555992141,0.5175965122891262,0.9261520345911087,0.6533975659229209,0.5256756929246788,509.0,0.9705882352941176,0.9371196754563894,0.9535603715170279,493.0,0.06060606060606061,0.125,0.08163265306122448,16.0
