repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.9673507462686567,0.5429685120896522,0.9579017710642838,0.7211428217284869,0.5469225130129526,1072.0,0.9727443609022557,0.9942363112391931,0.9833729216152018,1041.0,0.25,0.06451612903225806,0.10256410256410256,31.0
0,1,0.875177304964539,0.5081811263318112,0.8679458531688201,0.6741764806280934,0.5414371860552465,705.0,0.9245852187028658,0.9416282642089093,0.9330289193302892,651.0,0.09523809523809523,0.07407407407407407,0.08333333333333333,54.0
0,2,0.9282296650717703,0.5125932835820896,0.920692217739056,0.6785702795740436,0.5308153563166068,836.0,0.9543773119605425,0.9711417816813049,0.9626865671641791,797.0,0.08,0.05128205128205128,0.0625,39.0
0,3,0.9574036511156186,0.6574186076438039,0.9658569868781915,0.9654671655016246,0.6347439840344415,1479.0,0.9915014164305949,0.9648518263266712,0.9779951100244498,1451.0,0.23880597014925373,0.5714285714285714,0.3368421052631579,28.0
0,4,0.8424581005586592,0.6688846849163389,0.8443331220239313,0.8679247311827957,0.6846443421634913,895.0,0.9127604166666666,0.9045161290322581,0.9086195722618277,775.0,0.41732283464566927,0.44166666666666665,0.4291497975708502,120.0
1,0,0.9378827646544182,0.5106105834464043,0.9438837784354296,0.5414195867026056,0.5090653704427254,1143.0,0.9744990892531876,0.9613656783468104,0.9678878335594754,1113.0,0.044444444444444446,0.06666666666666667,0.05333333333333334,30.0
1,1,0.8670605612998523,0.4954789348171701,0.8593858977580412,0.6855716069199215,0.5471135858697257,677.0,0.9196850393700787,0.9373996789727127,0.9284578696343402,623.0,0.07142857142857142,0.05555555555555555,0.0625,54.0
1,2,0.9494451294697904,0.48703352308665404,0.9260242818737614,0.8020752269779508,0.6255926046566203,811.0,0.9506172839506173,0.9987029831387808,0.9740670461733081,771.0,0.0,0.0,0.0,40.0
1,3,0.9546703296703297,0.64453125,0.9637920673076923,0.952781112444978,0.621257230308808,1456.0,0.9906340057636888,0.9628851540616247,0.9765625,1428.0,0.22058823529411764,0.5357142857142857,0.3125,28.0
1,4,0.8433333333333334,0.6669072773804054,0.8446800971192335,0.8688247863247863,0.6779710754529098,900.0,0.912258064516129,0.9064102564102564,0.9093247588424437,780.0,0.416,0.43333333333333335,0.42448979591836733,120.0
2,0,0.9678714859437751,0.5212401610286607,0.9558003690541774,0.6161490683229814,0.5985877899562378,996.0,0.9707661290322581,0.9968944099378882,0.9836567926455567,966.0,0.25,0.03333333333333333,0.058823529411764705,30.0
