metric,mean,std,min,max,folds
accuracy,0.921303942935339,0.03234906925653843,0.8628884826325411,0.9646365422396856,50
macro_f1,0.5671305592632244,0.06938415249069312,0.48737373737373735,0.704284995655554,50
weighted_f1,0.9199671170110412,0.03225809198813068,0.8636012166814515,0.9638948746461136,50
roc_auc_ovr_macro,0.797037197330881,0.12184094206001574,0.5365237743286524,0.9497300944669366,50
average_precision_macro,0.5917175854616408,0.06692414536714486,0.5088817937864959,0.8246585315103844,50
n_items,520.2,15.212776585113296,505.0,548.0,50
precision_absent,0.958111173552154,0.02096580041054314,0.9230769230769231,0.9913419913419913,50
recall_absent,0.9582322570314612,0.02446507441757829,0.9126016260162602,1.0,50
f1_absent,0.9579966614766272,0.01859700719972155,0.9229188078108942,0.9819639278557114,50
support_absent,493.0,0.9476070829586857,492.0,495.0,50
precision_present,0.168444009018651,0.1297264781795575,0.0,0.4642857142857143,50
recall_present,0.21752859086218224,0.20230504450063722,0.0,0.6666666666666666,50
f1_present,0.1762644570498216,0.14656835125471143,0.0,0.46846846846846846,50
support_present,27.2,15.722075991082976,12.0,55.0,50
