feature,gain,repeat,fold
year,0.6050985455513,0,0
cond_no_visual,0.1059020459651947,0,0
native_sample_rate,0.10101450979709625,0,0
duration_seconds,0.05993441119790077,0,0
latitude,0.03517523407936096,0,0
longitude,0.03277362883090973,0,0
bytes_on_disk,0.032730743288993835,0,0
site_code,0.027370890602469444,0,0
collection_code,0.0,0,0
cond_ship_noise,0.0,0,0
cond_engine_noise,0.0,0,0
cond_reverberation,0.0,0,0
cond_water_noise,0.0,0,0
cond_night_recording,0.0,0,0
cond_tape_speed_note,0.0,0,0
longitude,0.8327944278717041,0,1
year,0.07432921975851059,0,1
bytes_on_disk,0.024082956835627556,0,1
duration_seconds,0.02342621423304081,0,1
site_code,0.017974933609366417,0,1
native_sample_rate,0.013852186501026154,0,1
cond_no_visual,0.013540035113692284,0,1
collection_code,0.0,0,1
latitude,0.0,0,1
cond_ship_noise,0.0,0,1
cond_engine_noise,0.0,0,1
cond_reverberation,0.0,0,1
cond_water_noise,0.0,0,1
cond_night_recording,0.0,0,1
cond_tape_speed_note,0.0,0,1
year,0.6240836977958679,0,2
site_code,0.10598528385162354,0,2
cond_no_visual,0.08762183040380478,0,2
duration_seconds,0.06056761369109154,0,2
bytes_on_disk,0.047271862626075745,0,2
native_sample_rate,0.0434359572827816,0,2
longitude,0.03103366121649742,0,2
collection_code,0.0,0,2
latitude,0.0,0,2
cond_ship_noise,0.0,0,2
cond_engine_noise,0.0,0,2
cond_reverberation,0.0,0,2
cond_water_noise,0.0,0,2
cond_night_recording,0.0,0,2
cond_tape_speed_note,0.0,0,2
year,0.5099106431007385,0,3
cond_no_visual,0.11792124062776566,0,3
site_code,0.08930759131908417,0,3
duration_seconds,0.08570043742656708,0,3
native_sample_rate,0.06588280946016312,0,3
bytes_on_disk,0.05703975260257721,0,3
longitude,0.0424158088862896,0,3
cond_water_noise,0.022154074162244797,0,3
latitude,0.009667763486504555,0,3
collection_code,0.0,0,3
cond_ship_noise,0.0,0,3
cond_engine_noise,0.0,0,3
cond_reverberation,0.0,0,3
cond_night_recording,0.0,0,3
cond_tape_speed_note,0.0,0,3
year,0.6623949408531189,0,4
native_sample_rate,0.08443004637956619,0,4
cond_no_visual,0.08059745281934738,0,4
duration_seconds,0.06086597964167595,0,4
bytes_on_disk,0.035621147602796555,0,4
longitude,0.03161557391285896,0,4
latitude,0.02846846915781498,0,4
site_code,0.016006378456950188,0,4
collection_code,0.0,0,4
cond_ship_noise,0.0,0,4
cond_engine_noise,0.0,0,4
cond_reverberation,0.0,0,4
cond_water_noise,0.0,0,4
cond_night_recording,0.0,0,4
cond_tape_speed_note,0.0,0,4
year,0.6435694098472595,1,0
native_sample_rate,0.10328827798366547,1,0
cond_no_visual,0.09849642962217331,1,0
duration_seconds,0.04934876039624214,1,0
longitude,0.03564802557229996,1,0
bytes_on_disk,0.030398065224289894,1,0
latitude,0.026365825906395912,1,0
site_code,0.012885255739092827,1,0
collection_code,0.0,1,0
cond_ship_noise,0.0,1,0
cond_engine_noise,0.0,1,0
cond_reverberation,0.0,1,0
cond_water_noise,0.0,1,0
cond_night_recording,0.0,1,0
cond_tape_speed_note,0.0,1,0
longitude,0.853652834892273,1,1
year,0.06558272987604141,1,1
bytes_on_disk,0.025976214557886124,1,1
duration_seconds,0.018716976046562195,1,1
site_code,0.016525592654943466,1,1
cond_no_visual,0.011198251508176327,1,1
native_sample_rate,0.008347464725375175,1,1
collection_code,0.0,1,1
latitude,0.0,1,1
cond_ship_noise,0.0,1,1
cond_engine_noise,0.0,1,1
cond_reverberation,0.0,1,1
cond_water_noise,0.0,1,1
cond_night_recording,0.0,1,1
cond_tape_speed_note,0.0,1,1
year,0.6121974587440491,1,2
site_code,0.12884041666984558,1,2
cond_no_visual,0.06671691685914993,1,2
duration_seconds,0.06213074177503586,1,2
native_sample_rate,0.053851526230573654,1,2
bytes_on_disk,0.036071743816137314,1,2
longitude,0.02522944286465645,1,2
latitude,0.014961806125938892,1,2
collection_code,0.0,1,2
cond_ship_noise,0.0,1,2
cond_engine_noise,0.0,1,2
cond_reverberation,0.0,1,2
cond_water_noise,0.0,1,2
cond_night_recording,0.0,1,2
cond_tape_speed_note,0.0,1,2
year,0.5239647030830383,1,3
cond_no_visual,0.11939803510904312,1,3
duration_seconds,0.08330308645963669,1,3
site_code,0.07339035719633102,1,3
native_sample_rate,0.06489566713571548,1,3
bytes_on_disk,0.041237328201532364,1,3
longitude,0.03471491485834122,1,3
latitude,0.03296460583806038,1,3
cond_water_noise,0.026131324470043182,1,3
collection_code,0.0,1,3
cond_ship_noise,0.0,1,3
cond_engine_noise,0.0,1,3
cond_reverberation,0.0,1,3
cond_night_recording,0.0,1,3
cond_tape_speed_note,0.0,1,3
year,0.59537672996521,1,4
cond_no_visual,0.0887017697095871,1,4
native_sample_rate,0.08071654289960861,1,4
duration_seconds,0.07742025703191757,1,4
bytes_on_disk,0.04718602076172829,1,4
longitude,0.045712701976299286,1,4
latitude,0.04326954856514931,1,4
site_code,0.021616380661725998,1,4
collection_code,0.0,1,4
cond_ship_noise,0.0,1,4
cond_engine_noise,0.0,1,4
cond_reverberation,0.0,1,4
cond_water_noise,0.0,1,4
cond_night_recording,0.0,1,4
cond_tape_speed_note,0.0,1,4
year,0.6271459460258484,2,0
cond_no_visual,0.09991758316755295,2,0
native_sample_rate,0.07143087685108185,2,0
duration_seconds,0.06602280586957932,2,0
bytes_on_disk,0.040545690804719925,2,0
site_code,0.036335572600364685,2,0
latitude,0.030129846185445786,2,0
longitude,0.028471698984503746,2,0
collection_code,0.0,2,0
cond_ship_noise,0.0,2,0
cond_engine_noise,0.0,2,0
cond_reverberation,0.0,2,0
cond_water_noise,0.0,2,0
cond_night_recording,0.0,2,0
cond_tape_speed_note,0.0,2,0
longitude,0.8441484570503235,2,1
year,0.07219816744327545,2,1
bytes_on_disk,0.02293034829199314,2,1
duration_seconds,0.020565776154398918,2,1
site_code,0.014906084164977074,2,1
cond_no_visual,0.012825698591768742,2,1
native_sample_rate,0.012425551190972328,2,1
collection_code,0.0,2,1
latitude,0.0,2,1
cond_ship_noise,0.0,2,1
cond_engine_noise,0.0,2,1
cond_reverberation,0.0,2,1
cond_water_noise,0.0,2,1
cond_night_recording,0.0,2,1
cond_tape_speed_note,0.0,2,1
year,0.6093888282775879,2,2
site_code,0.11277205497026443,2,2
cond_no_visual,0.08590415865182877,2,2
duration_seconds,0.06414948403835297,2,2
native_sample_rate,0.06096390262246132,2,2
bytes_on_disk,0.04823751747608185,2,2
longitude,0.018584076315164566,2,2
collection_code,0.0,2,2
latitude,0.0,2,2
cond_ship_noise,0.0,2,2
cond_engine_noise,0.0,2,2
cond_reverberation,0.0,2,2
cond_water_noise,0.0,2,2
cond_night_recording,0.0,2,2
cond_tape_speed_note,0.0,2,2
year,0.46129992604255676,2,3
longitude,0.16008174419403076,2,3
cond_no_visual,0.10551109910011292,2,3
site_code,0.08269252628087997,2,3
duration_seconds,0.06766989082098007,2,3
native_sample_rate,0.04330020770430565,2,3
bytes_on_disk,0.04246745631098747,2,3
cond_water_noise,0.020076297223567963,2,3
latitude,0.016900857910513878,2,3
collection_code,0.0,2,3
cond_ship_noise,0.0,2,3
cond_engine_noise,0.0,2,3
cond_reverberation,0.0,2,3
cond_night_recording,0.0,2,3
cond_tape_speed_note,0.0,2,3
year,0.5569857358932495,2,4
cond_no_visual,0.08151509612798691,2,4
native_sample_rate,0.07872779667377472,2,4
duration_seconds,0.0732133537530899,2,4
latitude,0.05329132452607155,2,4
bytes_on_disk,0.052914753556251526,2,4
site_code,0.048643410205841064,2,4
longitude,0.04580254480242729,2,4
collection_code,0.008905963972210884,2,4
cond_ship_noise,0.0,2,4
cond_engine_noise,0.0,2,4
cond_reverberation,0.0,2,4
cond_water_noise,0.0,2,4
cond_night_recording,0.0,2,4
cond_tape_speed_note,0.0,2,4
longitude,0.8454310894012451,3,0
year,0.05554935708642006,3,0
duration_seconds,0.024854382500052452,3,0
bytes_on_disk,0.021330438554286957,3,0
cond_no_visual,0.016001597046852112,3,0
native_sample_rate,0.014317755587399006,3,0
latitude,0.013728299178183079,3,0
site_code,0.008787098340690136,3,0
collection_code,0.0,3,0
cond_ship_noise,0.0,3,0
cond_engine_noise,0.0,3,0
cond_reverberation,0.0,3,0
cond_water_noise,0.0,3,0
cond_night_recording,0.0,3,0
cond_tape_speed_note,0.0,3,0
longitude,0.8512201905250549,3,1
year,0.07463986426591873,3,1
bytes_on_disk,0.021725336089730263,3,1
duration_seconds,0.02135597914457321,3,1
site_code,0.017698578536510468,3,1
cond_no_visual,0.013359968550503254,3,1
collection_code,0.0,3,1
native_sample_rate,0.0,3,1
latitude,0.0,3,1
cond_ship_noise,0.0,3,1
cond_engine_noise,0.0,3,1
cond_reverberation,0.0,3,1
cond_water_noise,0.0,3,1
cond_night_recording,0.0,3,1
cond_tape_speed_note,0.0,3,1
year,0.5852279663085938,3,2
site_code,0.13384197652339935,3,2
cond_no_visual,0.08182132989168167,3,2
duration_seconds,0.06323105841875076,3,2
native_sample_rate,0.053141020238399506,3,2
bytes_on_disk,0.044540975242853165,3,2
longitude,0.03819569945335388,3,2
collection_code,0.0,3,2
latitude,0.0,3,2
cond_ship_noise,0.0,3,2
cond_engine_noise,0.0,3,2
cond_reverberation,0.0,3,2
cond_water_noise,0.0,3,2
cond_night_recording,0.0,3,2
cond_tape_speed_note,0.0,3,2
year,0.5236048102378845,3,3
native_sample_rate,0.11613228172063828,3,3
cond_no_visual,0.1128026619553566,3,3
duration_seconds,0.0890481024980545,3,3
site_code,0.05502517893910408,3,3
bytes_on_disk,0.0509527325630188,3,3
latitude,0.02131277695298195,3,3
cond_water_noise,0.019506221637129784,3,3
longitude,0.01161533035337925,3,3
collection_code,0.0,3,3
cond_ship_noise,0.0,3,3
cond_engine_noise,0.0,3,3
