repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.7863805970149254,0.5004954594750775,0.8565299710845059,0.6393666139877909,0.5138192466446188,1072.0,0.982185273159145,0.7944284341978867,0.8783855549654807,1041.0,0.06956521739130435,0.5161290322580645,0.12260536398467432,31.0
0,1,0.825531914893617,0.5153664302600472,0.8436798953774961,0.7391193036354327,0.5519747942299388,705.0,0.9271844660194175,0.880184331797235,0.9030732860520094,651.0,0.10344827586206896,0.16666666666666666,0.1276595744680851,54.0
0,2,0.4533492822966507,0.3719297380382873,0.5769663312204781,0.7390856738410063,0.5323463449611568,836.0,1.0,0.42659974905897113,0.5980650835532102,797.0,0.07862903225806452,1.0,0.14579439252336449,39.0
0,3,0.7897227856659905,0.5162788398743502,0.8661985654692281,0.9562370778773259,0.5894940736678558,1479.0,1.0,0.7856650585802895,0.8799691238903898,1451.0,0.08259587020648967,1.0,0.15258855585831063,28.0
0,4,0.6603351955307263,0.5985978661127372,0.7138057030608363,0.8903225806451613,0.6921911994084053,895.0,1.0,0.607741935483871,0.7560192616372392,775.0,0.2830188679245283,1.0,0.4411764705882353,120.0
1,0,0.8145231846019247,0.5101243712700748,0.8760110692039187,0.6409553758610362,0.5125743096886691,1143.0,0.9838882921589689,0.8230008984725966,0.8962818003913894,1113.0,0.07075471698113207,0.5,0.12396694214876033,30.0
1,1,0.8183161004431314,0.5131290452719651,0.837105601974192,0.7039860888175495,0.5428700472532709,677.0,0.923728813559322,0.8747993579454254,0.8985985160758451,623.0,0.10344827586206896,0.16666666666666666,0.1276595744680851,54.0
1,2,0.499383477188656,0.40360734365037965,0.6190299701626258,0.757295719844358,0.5381713387821975,811.0,1.0,0.47341115434500647,0.6426056338028169,771.0,0.08968609865470852,1.0,0.1646090534979424,40.0
1,3,0.7506868131868132,0.49402192487413443,0.8405318994524857,0.9548319327731092,0.5883033578448528,1456.0,1.0,0.7457983193277311,0.8543922984356197,1428.0,0.07161125319693094,1.0,0.13365155131264916,28.0
1,4,0.6833333333333333,0.6168067226890757,0.7338935574229692,0.8923076923076924,0.693974358974359,900.0,1.0,0.6346153846153846,0.7764705882352941,780.0,0.2962962962962963,1.0,0.45714285714285713,120.0
2,0,0.8242971887550201,0.5242059863239931,0.8793075861665232,0.6563146997929608,0.518466157478652,996.0,0.9817295980511571,0.8343685300207039,0.902070509233352,966.0,0.08571428571428572,0.5,0.14634146341463414,30.0
2,1,0.8222543352601156,0.5143527156330772,0.8406949041307004,0.7011494252873565,0.54100687935053,692.0,0.9256198347107438,0.877742946708464,0.9010458567980691,638.0,0.10344827586206896,0.16666666666666666,0.1276595744680851,54.0
2,2,0.5026455026455027,0.39735413839891454,0.6279288980781518,0.7390883977900553,0.5296754549830348,945.0,1.0,0.48066298342541436,0.6492537313432836,905.0,0.0784313725490196,1.0,0.14545454545454545,40.0
