metric,mean,std,min,max,folds
accuracy,0.7756684633132528,0.10911256988279422,0.5465346534653466,0.9685658153241651,50
macro_f1,0.5225304849345438,0.05361170459300839,0.38970072141390794,0.6243332647473132,50
weighted_f1,0.8309353192998258,0.07329801045828414,0.6843769765574312,0.9530996945205856,50
roc_auc_ovr_macro,0.8015107606148143,0.07637804430642324,0.6711628479921162,0.946501014198783,50
average_precision_macro,0.6099144944029622,0.06826485109776122,0.5327091808144545,0.7203572613100286,50
n_items,520.2,15.212776585113296,505.0,548.0,50
precision_absent,0.9709335803561189,0.02000056239539482,0.9373433583959899,0.9955555555555555,50
recall_absent,0.7880691545501296,0.1243069567416936,0.539553752535497,1.0,50
f1_absent,0.8638920925111445,0.07472335595191261,0.6990801576872536,0.9840319361277445,50
support_absent,493.0,0.9476070829586857,492.0,495.0,50
precision_present,0.11935997049998734,0.062024595687306415,0.0,0.24528301886792453,50
recall_present,0.5519241251524533,0.30157915999271645,0.0,0.9,50
f1_present,0.18116887735794304,0.09104764914580535,0.0,0.36607142857142855,50
support_present,27.2,15.722075991082976,12.0,55.0,50
