feature,gain,repeat,fold
rms_p10,0.10419335216283798,0,0
centroid_p90,0.06107122078537941,0,0
rms_mean,0.06017378345131874,0,0
centroid_mean,0.039960794150829315,0,0
mfcc_1_p90,0.018043335527181625,0,0
rolloff85_mean,0.013435586355626583,0,0
mfcc_3_p10,0.011239178478717804,0,0
mfcc_4_p90,0.010618389584124088,0,0
mfcc_1_std,0.009683091193437576,0,0
centroid_p10,0.008894219063222408,0,0
mfcc_1_p10,0.008593199774622917,0,0
contrast_2_p10,0.008436663076281548,0,0
contrast_2_mean,0.008370117284357548,0,0
flatness_p90,0.00796923041343689,0,0
mfcc_2_p90,0.007838926278054714,0,0
contrast_4_p90,0.007814649492502213,0,0
mfcc_1_mean,0.00757996179163456,0,0
mfcc_7_mean,0.00719667412340641,0,0
mfcc_8_mean,0.007191408425569534,0,0
mfcc_4_mean,0.007154364138841629,0,0
zero_crossing_rate_p10,0.007133609615266323,0,0
mfcc_7_p10,0.007092571351677179,0,0
mfcc_0_p10,0.006961927283555269,0,0
mfcc_3_mean,0.00692775659263134,0,0
dominant_frequency,0.006863109767436981,0,0
mfcc_delta_6_p90,0.006669014226645231,0,0
mfcc_4_p10,0.006646578200161457,0,0
flatness_std,0.00639239652082324,0,0
bandwidth_mean,0.006341838277876377,0,0
centroid_std,0.006301700137555599,0,0
mfcc_delta_0_p90,0.00617388216778636,0,0
mfcc_19_p90,0.005997897125780582,0,0
mfcc_16_mean,0.005941301118582487,0,0
mfcc_delta_1_p10,0.005821762606501579,0,0
zero_crossing_rate_mean,0.005772335454821587,0,0
contrast_1_mean,0.005690217483788729,0,0
mfcc_10_mean,0.005670573096722364,0,0
mfcc_8_p90,0.005556226242333651,0,0
rolloff85_p10,0.005461657885462046,0,0
mfcc_6_mean,0.005432643461972475,0,0
contrast_1_p90,0.00534637039527297,0,0
mfcc_3_p90,0.005229284055531025,0,0
mfcc_delta_9_std,0.005201086401939392,0,0
mfcc_11_mean,0.005158653948456049,0,0
contrast_1_p10,0.005038311704993248,0,0
mfcc_5_p10,0.004959805868566036,0,0
rms_std,0.004957621451467276,0,0
bandwidth_p10,0.0049510239623487,0,0
mfcc_18_p10,0.004927860572934151,0,0
spectral_entropy_p90,0.004925875458866358,0,0
spectral_entropy_p10,0.004922608844935894,0,0
mfcc_19_mean,0.0048917909152805805,0,0
mfcc_2_mean,0.0047744144685566425,0,0
mfcc_8_p10,0.0047546010464429855,0,0
flatness_mean,0.004667507018893957,0,0
contrast_0_p90,0.00460775988176465,0,0
dominant_frequency_ratio,0.0045905569568276405,0,0
mfcc_13_p90,0.004542022477835417,0,0
spectral_entropy_mean,0.004486455582082272,0,0
mfcc_2_p10,0.0043661948293447495,0,0
rms_mean,0.11354707926511765,0,1
rms_p90,0.07505590468645096,0,1
mfcc_1_mean,0.035086944699287415,0,1
contrast_5_p10,0.017678186297416687,0,1
contrast_5_p90,0.017484135925769806,0,1
mfcc_8_p90,0.016926400363445282,0,1
rms_p10,0.015642741695046425,0,1
contrast_0_p90,0.013463976792991161,0,1
contrast_5_std,0.01286204531788826,0,1
zero_crossing_rate_std,0.012706898152828217,0,1
