repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.875,0.8099654137052944,0.8722207441754399,0.7634032634032634,0.8193653290414642,200.0,0.7435897435897436,0.6590909090909091,0.6987951807228916,44.0,0.906832298136646,0.9358974358974359,0.9211356466876972,156.0
0,1,0.8872549019607843,0.8398361495135689,0.8876820979287774,0.8522977435332967,0.8660848343399028,204.0,0.7446808510638298,0.7608695652173914,0.7526881720430108,46.0,0.9299363057324841,0.9240506329113924,0.926984126984127,158.0
0,2,0.7412935323383084,0.5041745730550284,0.7003521292965911,0.7618486900206062,0.6358552447973522,201.0,0.2631578947368421,0.11627906976744186,0.16129032258064516,43.0,0.7912087912087912,0.9113924050632911,0.8470588235294118,158.0
0,3,0.8293838862559242,0.7786713286713287,0.8364133496834918,0.7844452965235175,0.7462025278210043,211.0,0.5967741935483871,0.7708333333333334,0.6727272727272727,48.0,0.9261744966442953,0.8466257668711656,0.8846153846153846,163.0
0,4,0.7309644670050761,0.6839221384675931,0.7526286972526014,0.8280730897009967,0.859160374515815,197.0,0.4358974358974359,0.7906976744186046,0.5619834710743802,43.0,0.9243697478991597,0.7142857142857143,0.8058608058608059,154.0
1,0,0.9090909090909091,0.8545261384034876,0.9052543236519498,0.7642276422764227,0.8175460216853743,209.0,0.8611111111111112,0.6888888888888889,0.7654320987654321,45.0,0.9190751445086706,0.9695121951219512,0.9436201780415431,164.0
1,1,0.8557692307692307,0.8187521784593935,0.8620700056304796,0.8722243614426903,0.8620242630984811,208.0,0.6461538461538462,0.8571428571428571,0.7368421052631579,49.0,0.951048951048951,0.8553459119496856,0.9006622516556292,159.0
1,2,0.7626262626262627,0.6053267738241656,0.743750323970011,0.7702184179456907,0.6520397549234709,198.0,0.4482758620689655,0.29545454545454547,0.3561643835616438,44.0,0.8165680473372781,0.8961038961038961,0.8544891640866873,154.0
1,3,0.8418367346938775,0.7334035364836997,0.8288247509086561,0.8233774129806962,0.765996070479599,196.0,0.7142857142857143,0.46511627906976744,0.5633802816901409,43.0,0.8630952380952381,0.9477124183006536,0.9034267912772586,153.0
1,4,0.9108910891089109,0.8597222222222223,0.9083745874587459,0.7729998537370192,0.8183327579719233,202.0,0.8378378378378378,0.7209302325581395,0.775,43.0,0.9272727272727272,0.9622641509433962,0.9444444444444444,159.0
