repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.7975179621162639,0.7870787424182608,0.7943769579593426,0.7732206424360257,0.7894170489800432,1531.0,0.8091743119266055,0.6816074188562596,0.7399328859060402,647.0,0.7910750507099391,0.8823529411764706,0.8342245989304813,884.0
0,1,0.8031189083820662,0.7923160173160173,0.8000719391070269,0.8986111599176926,0.8816862497338469,1026.0,0.7978883861236803,0.8860971524288107,0.8396825396825397,597.0,0.8126721763085399,0.6876456876456877,0.7449494949494949,429.0
0,2,0.5402379286214136,0.4386116288372777,0.47488285754312887,0.7086867252946436,0.6662081068145653,1429.0,0.3813953488372093,0.1353135313531353,0.1997563946406821,606.0,0.5683690280065898,0.8383961117861483,0.6774668630338734,823.0
0,3,0.7715231788079471,0.7667953667953669,0.7746677235418957,0.8278238758029979,0.8094104442606118,1510.0,0.6606397774687065,0.8246527777777778,0.7335907335907336,576.0,0.8723135271807838,0.7387580299785867,0.8,934.0
0,4,0.8738317757009346,0.8518072057399702,0.8686259682556157,0.9492582542376933,0.9329901294763807,856.0,0.8528481012658228,0.9729241877256317,0.9089376053962901,554.0,0.9330357142857143,0.6920529801324503,0.7946768060836502,302.0
1,0,0.824203821656051,0.8137472512546657,0.821168043152423,0.7809180345390204,0.7767496000276393,1570.0,0.8458715596330275,0.7059724349157733,0.7696160267111853,653.0,0.8126829268292682,0.9083969465648855,0.8578784757981462,917.0
1,1,0.8038496791934006,0.792514769972344,0.7977154930267112,0.8382225954281519,0.8256758660349759,1091.0,0.7628032345013477,0.9370860927152318,0.8410104011887073,604.0,0.8911174785100286,0.6386036960985626,0.7440191387559809,487.0
1,2,0.6132596685082873,0.5694274821320476,0.5876434556910044,0.7199452384651235,0.6808228809472311,1448.0,0.5949720670391061,0.339171974522293,0.43204868154158216,628.0,0.6192660550458715,0.823170731707317,0.7068062827225131,820.0
1,3,0.7383437717466945,0.7160079051383399,0.7306952615929652,0.7505524518434444,0.7613391803629961,1437.0,0.734375,0.5614334470989761,0.6363636363636364,586.0,0.7401415571284126,0.8601645123384254,0.7956521739130434,851.0
1,4,0.9615384615384616,0.9585920707444843,0.9614973491087783,0.971717833210957,0.9544366134279032,806.0,0.966796875,0.9724950884086444,0.9696376101860921,509.0,0.9523809523809523,0.9427609427609428,0.9475465313028765,297.0
2,0,0.7411684782608695,0.7349764360806537,0.7461496321925098,0.8500690327620897,0.8582921885395913,1472.0,0.6064425770308123,0.8123827392120075,0.6944667201283079,533.0,0.8680738786279684,0.7007454739084132,0.7754861520329994,939.0
2,1,0.8230709275136399,0.8204159326358577,0.8211477581470413,0.8750766311487376,0.8636156344341877,1283.0,0.7809278350515464,0.9140271493212669,0.8422515635858235,663.0,0.8875739644970414,0.7258064516129032,0.7985803016858918,620.0
2,2,0.4961890243902439,0.42381167203390563,0.4371975909643252,0.6637680956481761,0.6482037830707538,1312.0,0.3974358974358974,0.15171288743882544,0.21959858323494688,613.0,0.5176252319109462,0.7982832618025751,0.6280247608328644,699.0
2,3,0.658200290275762,0.6084950986335529,0.6297539382361271,0.6983918343052344,0.680637460046799,1378.0,0.6864686468646864,0.3561643835616438,0.4689966178128523,584.0,0.6502325581395348,0.8803526448362721,0.7479935794542536,794.0
2,4,0.9051819184123484,0.8941340933767644,0.9042015653375185,0.9606952725724022,0.9451012445305673,907.0,0.9086460032626428,0.948892674616695,0.9283333333333333,587.0,0.8979591836734694,0.825,0.8599348534201955,320.0
3,0,0.385752688172043,0.3835968092820885,0.3922693220894056,0.36277568090814566,0.4551872361066139,1488.0,0.2917166866746699,0.42857142857142855,0.34714285714285714,567.0,0.5053435114503817,0.35939196525515743,0.4200507614213198,921.0
3,1,0.8956310679611651,0.8939635066447381,0.8945874973308849,0.9600192084139151,0.953137928049818,1236.0,0.8481182795698925,0.9752704791344667,0.9072609633357297,647.0,0.967479674796748,0.8081494057724957,0.8806660499537465,589.0
3,2,0.5054624908958485,0.4211509959622564,0.4383672745078563,0.6985301652363265,0.6804649899177768,1373.0,0.39351851851851855,0.13428120063191154,0.20023557126030625,633.0,0.526361279170268,0.822972972972973,0.6420664206642066,740.0
3,3,0.6708860759493671,0.6705987170349251,0.6688608797904431,0.8568550364533951,0.8438398827402485,1422.0,0.5659090909090909,0.8527397260273972,0.680327868852459,584.0,0.8413284132841329,0.5441527446300716,0.6608695652173913,838.0
3,4,0.9231692677070829,0.9176857135798809,0.9244445128529437,0.9399933297416557,0.8918881032829253,833.0,0.9859719438877755,0.8961748633879781,0.9389312977099237,549.0,0.8293413173652695,0.9753521126760564,0.8964401294498382,284.0
4,0,0.47808764940239046,0.47428998797327476,0.4632530344449073,0.632434782772021,0.674956093257958,1506.0,0.39737582005623245,0.7477954144620811,0.5189718482252142,567.0,0.6742596810933941,0.3152289669861555,0.4296081277213353,939.0
4,1,0.8465909090909091,0.8391488250544522,0.8432489921085001,0.8998201145600291,0.8859217421795285,1232.0,0.8094059405940595,0.9492017416545718,0.87374749498998,689.0,0.9174528301886793,0.716390423572744,0.8045501551189245,543.0
4,2,0.6915725456125109,0.6792046948909694,0.6751003196515198,0.8414540592005919,0.8111888235447626,1151.0,0.9134615384615384,0.46492659053833607,0.6162162162162163,613.0,0.6090584028605482,0.949814126394052,0.7421931735657226,538.0
4,3,0.8221757322175732,0.816369051654396,0.8224262164771613,0.8685848106365833,0.8342930975738195,1434.0,0.7764705882352941,0.791095890410959,0.7837150127226463,584.0,0.8545887961859356,0.8435294117647059,0.8490230905861457,850.0
4,4,0.7531584062196307,0.7520434881602915,0.7524474439788926,0.8689020011037444,0.8591894346065531,1029.0,0.7390542907180385,0.8007590132827325,0.7686703096539163,527.0,0.7707423580786026,0.703187250996016,0.7354166666666667,502.0
5,0,0.743947175348496,0.742561434897977,0.7454576324395616,0.848620353588139,0.8433347359938039,1363.0,0.6661807580174927,0.7920277296360485,0.723673792557403,577.0,0.8227474150664698,0.7086513994910941,0.7614490772385509,786.0
5,1,0.8238095238095238,0.8167087784778939,0.8185984929613116,0.8888838359722191,0.881167785432058,1260.0,0.7609467455621302,0.9698340874811463,0.8527851458885941,663.0,0.9518072289156626,0.661641541038526,0.7806324110671937,597.0
