metric,mean,std,min,max,folds
accuracy,0.7936497282027536,0.13628846208150677,0.33653846153846156,0.9195979899497487,50
macro_f1,0.7096548160683579,0.14671871551956409,0.31105990783410137,0.8945416004239534,50
weighted_f1,0.7916470180254087,0.12873515048410414,0.38239985820630984,0.9232143760668738,50
roc_auc_ovr_macro,0.7883685610306302,0.13346932063675,0.31783854166666664,0.9765395894428153,50
average_precision_macro,0.782321796513202,0.12065483294844925,0.43882336534773236,0.9686068566177302,50
n_items,202.6,3.9846644802803866,196.0,211.0,50
precision_absent,0.578429047176488,0.18658060681791463,0.125,0.8611111111111112,50
recall_absent,0.5964137685567618,0.2425197491072854,0.11363636363636363,0.9772727272727273,50
f1_absent,0.5629263237323676,0.20104429309534266,0.14925373134328357,0.8431372549019608,50
support_absent,44.8,1.7842851423995423,43.0,49.0,50
precision_present,0.8784999075564996,0.07789213370657565,0.625,0.9929078014184397,50
recall_present,0.8490127353845588,0.16255659824816285,0.31875,0.9695121951219512,50
f1_present,0.8563833084043483,0.12336701495046606,0.4435483870967742,0.9459459459459459,50
support_present,157.8,2.7921171836702947,152.0,164.0,50
