feature,gain,repeat,fold
site_code,0.758971095085144,0,0
longitude,0.0812644213438034,0,0
latitude,0.08121832460165024,0,0
cond_ship_noise,0.0785461887717247,0,0
cond_engine_noise,0.0,0,0
cond_reverberation,0.0,0,0
cond_water_noise,0.0,0,0
cond_night_recording,0.0,0,0
cond_no_visual,0.0,0,0
cond_tape_speed_note,0.0,0,0
longitude,0.5336892604827881,0,1
latitude,0.1764712929725647,0,1
site_code,0.15982156991958618,0,1
cond_ship_noise,0.07228256016969681,0,1
cond_engine_noise,0.05773533135652542,0,1
cond_reverberation,0.0,0,1
cond_water_noise,0.0,0,1
cond_night_recording,0.0,0,1
cond_no_visual,0.0,0,1
cond_tape_speed_note,0.0,0,1
site_code,0.8007485866546631,0,2
latitude,0.11899767816066742,0,2
cond_ship_noise,0.05572087690234184,0,2
cond_engine_noise,0.024532880634069443,0,2
longitude,0.0,0,2
cond_reverberation,0.0,0,2
cond_water_noise,0.0,0,2
cond_night_recording,0.0,0,2
cond_no_visual,0.0,0,2
cond_tape_speed_note,0.0,0,2
latitude,0.76888108253479,0,3
site_code,0.1550653725862503,0,3
cond_engine_noise,0.06439433991909027,0,3
longitude,0.011659156531095505,0,3
cond_ship_noise,0.0,0,3
cond_reverberation,0.0,0,3
cond_water_noise,0.0,0,3
cond_night_recording,0.0,0,3
cond_no_visual,0.0,0,3
cond_tape_speed_note,0.0,0,3
longitude,0.5988889336585999,0,4
site_code,0.1530284434556961,0,4
latitude,0.12096166610717773,0,4
cond_ship_noise,0.09611456096172333,0,4
cond_engine_noise,0.029014429077506065,0,4
cond_reverberation,0.001992063829675317,0,4
cond_water_noise,0.0,0,4
cond_night_recording,0.0,0,4
cond_no_visual,0.0,0,4
cond_tape_speed_note,0.0,0,4
site_code,0.7077212333679199,1,0
latitude,0.1381990760564804,1,0
longitude,0.059360917657613754,1,0
cond_engine_noise,0.04822934791445732,1,0
cond_ship_noise,0.046489376574754715,1,0
cond_reverberation,0.0,1,0
cond_water_noise,0.0,1,0
cond_night_recording,0.0,1,0
cond_no_visual,0.0,1,0
cond_tape_speed_note,0.0,1,0
longitude,0.5896845459938049,1,1
latitude,0.1950567215681076,1,1
site_code,0.16339609026908875,1,1
cond_engine_noise,0.04543649032711983,1,1
cond_reverberation,0.006426163017749786,1,1
cond_ship_noise,0.0,1,1
cond_water_noise,0.0,1,1
cond_night_recording,0.0,1,1
cond_no_visual,0.0,1,1
cond_tape_speed_note,0.0,1,1
site_code,0.8208591938018799,1,2
latitude,0.07239945232868195,1,2
cond_ship_noise,0.043619561940431595,1,2
longitude,0.03450775891542435,1,2
cond_engine_noise,0.028614046052098274,1,2
cond_reverberation,0.0,1,2
cond_water_noise,0.0,1,2
cond_night_recording,0.0,1,2
cond_no_visual,0.0,1,2
cond_tape_speed_note,0.0,1,2
longitude,0.32461634278297424,1,3
site_code,0.32415780425071716,1,3
latitude,0.19336868822574615,1,3
cond_ship_noise,0.09210575371980667,1,3
cond_engine_noise,0.06575144827365875,1,3
cond_reverberation,0.0,1,3
cond_water_noise,0.0,1,3
cond_night_recording,0.0,1,3
cond_no_visual,0.0,1,3
cond_tape_speed_note,0.0,1,3
longitude,0.48481854796409607,1,4
site_code,0.26083841919898987,1,4
latitude,0.1663312017917633,1,4
cond_ship_noise,0.08801184594631195,1,4
cond_engine_noise,0.0,1,4
cond_reverberation,0.0,1,4
cond_water_noise,0.0,1,4
cond_night_recording,0.0,1,4
cond_no_visual,0.0,1,4
cond_tape_speed_note,0.0,1,4
site_code,0.596429169178009,2,0
longitude,0.20909267663955688,2,0
latitude,0.12715484201908112,2,0
cond_engine_noise,0.03630592301487923,2,0
cond_ship_noise,0.031017357483506203,2,0
cond_reverberation,0.0,2,0
cond_water_noise,0.0,2,0
cond_night_recording,0.0,2,0
cond_no_visual,0.0,2,0
cond_tape_speed_note,0.0,2,0
longitude,0.8279677033424377,2,1
site_code,0.11223351210355759,2,1
latitude,0.0519244447350502,2,1
cond_engine_noise,0.007874324917793274,2,1
cond_ship_noise,0.0,2,1
cond_reverberation,0.0,2,1
cond_water_noise,0.0,2,1
cond_night_recording,0.0,2,1
cond_no_visual,0.0,2,1
cond_tape_speed_note,0.0,2,1
site_code,0.8137460350990295,2,2
latitude,0.11159111559391022,2,2
cond_ship_noise,0.04538722708821297,2,2
cond_engine_noise,0.029275571927428246,2,2
longitude,0.0,2,2
cond_reverberation,0.0,2,2
cond_water_noise,0.0,2,2
cond_night_recording,0.0,2,2
cond_no_visual,0.0,2,2
cond_tape_speed_note,0.0,2,2
latitude,0.4389191269874573,2,3
site_code,0.3443870544433594,2,3
cond_ship_noise,0.1352251172065735,2,3
cond_engine_noise,0.06921147555112839,2,3
longitude,0.012257199734449387,2,3
cond_reverberation,0.0,2,3
cond_water_noise,0.0,2,3
cond_night_recording,0.0,2,3
cond_no_visual,0.0,2,3
cond_tape_speed_note,0.0,2,3
longitude,0.5678421258926392,2,4
site_code,0.1971937119960785,2,4
latitude,0.11419694125652313,2,4
cond_ship_noise,0.11380171775817871,2,4
cond_reverberation,0.006965507287532091,2,4
cond_engine_noise,0.0,2,4
cond_water_noise,0.0,2,4
cond_night_recording,0.0,2,4
cond_no_visual,0.0,2,4
cond_tape_speed_note,0.0,2,4
site_code,0.6794866919517517,3,0
longitude,0.18179680407047272,3,0
latitude,0.10654041171073914,3,0
cond_engine_noise,0.03217601403594017,3,0
cond_ship_noise,0.0,3,0
cond_reverberation,0.0,3,0
cond_water_noise,0.0,3,0
cond_night_recording,0.0,3,0
cond_no_visual,0.0,3,0
cond_tape_speed_note,0.0,3,0
longitude,0.6229078769683838,3,1
latitude,0.17877942323684692,3,1
site_code,0.12222868949174881,3,1
cond_ship_noise,0.05197830870747566,3,1
cond_engine_noise,0.01811440847814083,3,1
cond_reverberation,0.005991402082145214,3,1
cond_water_noise,0.0,3,1
cond_night_recording,0.0,3,1
cond_no_visual,0.0,3,1
cond_tape_speed_note,0.0,3,1
site_code,0.8206307291984558,3,2
latitude,0.1107076108455658,3,2
cond_ship_noise,0.041935522109270096,3,2
cond_engine_noise,0.026726141571998596,3,2
longitude,0.0,3,2
cond_reverberation,0.0,3,2
cond_water_noise,0.0,3,2
cond_night_recording,0.0,3,2
cond_no_visual,0.0,3,2
cond_tape_speed_note,0.0,3,2
latitude,0.7285951375961304,3,3
site_code,0.19613082706928253,3,3
cond_ship_noise,0.053953979164361954,3,3
cond_engine_noise,0.017964672297239304,3,3
longitude,0.003355391090735793,3,3
cond_reverberation,0.0,3,3
cond_water_noise,0.0,3,3
cond_night_recording,0.0,3,3
cond_no_visual,0.0,3,3
cond_tape_speed_note,0.0,3,3
longitude,0.42761844396591187,3,4
site_code,0.2756287455558777,3,4
latitude,0.14641986787319183,3,4
cond_ship_noise,0.08234764635562897,3,4
cond_engine_noise,0.06798528879880905,3,4
cond_reverberation,0.0,3,4
cond_water_noise,0.0,3,4
cond_night_recording,0.0,3,4
cond_no_visual,0.0,3,4
cond_tape_speed_note,0.0,3,4
site_code,0.7016856074333191,4,0
latitude,0.09624359756708145,4,0
longitude,0.09601661562919617,4,0
cond_ship_noise,0.06451958417892456,4,0
cond_engine_noise,0.04153454676270485,4,0
cond_reverberation,0.0,4,0
cond_water_noise,0.0,4,0
cond_night_recording,0.0,4,0
cond_no_visual,0.0,4,0
cond_tape_speed_note,0.0,4,0
longitude,0.7669709324836731,4,1
site_code,0.13567887246608734,4,1
latitude,0.07368119060993195,4,1
cond_engine_noise,0.023669013753533363,4,1
cond_ship_noise,0.0,4,1
cond_reverberation,0.0,4,1
cond_water_noise,0.0,4,1
cond_night_recording,0.0,4,1
cond_no_visual,0.0,4,1
cond_tape_speed_note,0.0,4,1
site_code,0.6720579266548157,4,2
longitude,0.12637224793434143,4,2
latitude,0.10709059983491898,4,2
cond_engine_noise,0.05829346925020218,4,2
cond_ship_noise,0.03618569299578667,4,2
cond_reverberation,0.0,4,2
cond_water_noise,0.0,4,2
cond_night_recording,0.0,4,2
cond_no_visual,0.0,4,2
cond_tape_speed_note,0.0,4,2
site_code,0.5559855103492737,4,3
cond_ship_noise,0.20360638201236725,4,3
latitude,0.1395740509033203,4,3
cond_engine_noise,0.09556558728218079,4,3
longitude,0.005268470384180546,4,3
cond_reverberation,0.0,4,3
cond_water_noise,0.0,4,3
cond_night_recording,0.0,4,3
cond_no_visual,0.0,4,3
cond_tape_speed_note,0.0,4,3
longitude,0.5630736947059631,4,4
site_code,0.20727244019508362,4,4
latitude,0.14561349153518677,4,4
cond_ship_noise,0.0666385069489479,4,4
cond_engine_noise,0.013377120718359947,4,4
cond_reverberation,0.00402467418462038,4,4
cond_water_noise,0.0,4,4
cond_night_recording,0.0,4,4
cond_no_visual,0.0,4,4
cond_tape_speed_note,0.0,4,4
site_code,0.5970101952552795,5,0
longitude,0.1523197740316391,5,0
latitude,0.14763975143432617,5,0
cond_ship_noise,0.10303029417991638,5,0
cond_engine_noise,0.0,5,0
cond_reverberation,0.0,5,0
cond_water_noise,0.0,5,0
cond_night_recording,0.0,5,0
cond_no_visual,0.0,5,0
cond_tape_speed_note,0.0,5,0
longitude,0.6725597977638245,5,1
latitude,0.2011871039867401,5,1
site_code,0.12041192501783371,5,1
cond_reverberation,0.00584116717800498,5,1
cond_ship_noise,0.0,5,1
cond_engine_noise,0.0,5,1
cond_water_noise,0.0,5,1
cond_night_recording,0.0,5,1
cond_no_visual,0.0,5,1
cond_tape_speed_note,0.0,5,1
site_code,0.8545346260070801,5,2
latitude,0.08197304606437683,5,2
cond_ship_noise,0.03738023713231087,5,2
cond_engine_noise,0.02596321702003479,5,2
longitude,0.00014887668658047915,5,2
cond_reverberation,0.0,5,2
cond_water_noise,0.0,5,2
cond_night_recording,0.0,5,2
cond_no_visual,0.0,5,2
cond_tape_speed_note,0.0,5,2
latitude,0.5885862112045288,5,3
site_code,0.23585808277130127,5,3
cond_ship_noise,0.15874019265174866,5,3
cond_engine_noise,0.01681545190513134,5,3
longitude,0.0,5,3
cond_reverberation,0.0,5,3
cond_water_noise,0.0,5,3
cond_night_recording,0.0,5,3
cond_no_visual,0.0,5,3
cond_tape_speed_note,0.0,5,3
longitude,0.6028099060058594,5,4
latitude,0.1412755846977234,5,4
site_code,0.13489581644535065,5,4
cond_ship_noise,0.09347395598888397,5,4
cond_engine_noise,0.027544749900698662,5,4
cond_reverberation,0.0,5,4
cond_water_noise,0.0,5,4
cond_night_recording,0.0,5,4
cond_no_visual,0.0,5,4
cond_tape_speed_note,0.0,5,4
site_code,0.7039005756378174,6,0
latitude,0.11336250603199005,6,0
longitude,0.0696406215429306,6,0
cond_ship_noise,0.06803616136312485,6,0
cond_engine_noise,0.04506019502878189,6,0
cond_reverberation,0.0,6,0
cond_water_noise,0.0,6,0
cond_night_recording,0.0,6,0
cond_no_visual,0.0,6,0
cond_tape_speed_note,0.0,6,0
longitude,0.6332105398178101,6,1
latitude,0.19313879311084747,6,1
site_code,0.1432896852493286,6,1
cond_engine_noise,0.024097872897982597,6,1
