repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.635,0.4547152194211018,0.630296918767507,0.644376456876457,0.6163933475489068,200.0,0.14634146341463414,0.13636363636363635,0.1411764705882353,44.0,0.7610062893081762,0.7756410256410257,0.7682539682539683,156.0
0,1,0.6862745098039216,0.6586845132280665,0.7119617479952348,0.9326499724821135,0.9162776987417138,204.0,0.41,0.8913043478260869,0.5616438356164384,46.0,0.9519230769230769,0.6265822784810127,0.7557251908396947,158.0
0,2,0.7014925373134329,0.41228070175438597,0.6481626952954526,0.8588460406240801,0.7713821915847149,201.0,0.0,0.0,0.0,43.0,0.7663043478260869,0.8924050632911392,0.8245614035087719,158.0
0,3,0.4218009478672986,0.4217879604672058,0.42328151147788096,0.7023261758691206,0.6687472139956709,211.0,0.2716049382716049,0.9166666666666666,0.41904761904761906,48.0,0.9183673469387755,0.27607361963190186,0.42452830188679247,163.0
0,4,0.751269035532995,0.7021506371686878,0.7703024148991641,0.8182573240712775,0.8812461890602168,197.0,0.4594594594594595,0.7906976744186046,0.5811965811965812,43.0,0.926829268292683,0.7402597402597403,0.8231046931407943,154.0
1,0,0.69377990430622,0.567287784679089,0.7004963000386341,0.7282520325203252,0.6320682397791647,209.0,0.3137254901960784,0.35555555555555557,0.3333333333333333,45.0,0.8164556962025317,0.7865853658536586,0.8012422360248447,164.0
1,1,0.6923076923076923,0.6764848838339652,0.7143220345320084,0.9694519317160827,0.9353299370787742,208.0,0.4336283185840708,1.0,0.6049382716049383,49.0,1.0,0.5974842767295597,0.7480314960629921,159.0
1,2,0.797979797979798,0.5960008161599674,0.7546985875898342,0.941706021251476,0.8765880858272164,198.0,0.6428571428571429,0.20454545454545456,0.3103448275862069,44.0,0.8097826086956522,0.9675324675324676,0.8816568047337278,154.0
1,3,0.3010204081632653,0.2943896991196952,0.2560013836042892,0.5437756497948016,0.5594924629062907,196.0,0.22674418604651161,0.9069767441860465,0.3627906976744186,43.0,0.8333333333333334,0.13071895424836602,0.22598870056497175,153.0
1,4,0.7970297029702971,0.7362000318522057,0.8089447931893046,0.8099312563990053,0.857593441894495,202.0,0.5161290322580645,0.7441860465116279,0.6095238095238096,43.0,0.9214285714285714,0.8113207547169812,0.862876254180602,159.0
2,0,0.6633663366336634,0.5481578947368421,0.6769202709744658,0.6432681242807825,0.6002694359565571,202.0,0.2857142857142857,0.36363636363636365,0.32,44.0,0.8082191780821918,0.7468354430379747,0.7763157894736842,158.0
