metric,mean,std,min,max,folds
accuracy,0.8444682081664897,0.06283406044307786,0.6532663316582915,0.9504950495049505,50
macro_f1,0.7413946885166409,0.12660201181615313,0.4346590909090909,0.9220679012345678,50
weighted_f1,0.8313606835279405,0.07580399119005779,0.6696986661131891,0.9486309742085319,50
roc_auc_ovr_macro,0.8386197122434509,0.059693138003693476,0.6611635220125787,0.933288610614192,50
average_precision_macro,0.7856944434967698,0.06638559530110964,0.6126021131930803,0.89946339256528,50
n_items,202.6,3.9846644802803866,196.0,211.0,50
precision_absent,0.682235338809292,0.22939420558472517,0.0,1.0,50
recall_absent,0.5452447758368364,0.24573986699466285,0.0,0.9090909090909091,50
f1_absent,0.5796001946023721,0.22208135677909574,0.0,0.875,50
support_absent,44.8,1.7842851423995423,43.0,49.0,50
precision_present,0.8813650399468681,0.05632032733409291,0.7766497461928934,0.971830985915493,50
recall_present,0.9298379541312082,0.05420881863437864,0.7290322580645161,1.0,50
f1_present,0.9031891824309101,0.039047917800759085,0.7661016949152543,0.9691358024691358,50
support_present,157.8,2.7921171836702947,152.0,164.0,50
