feature,gain,fold
mfcc_5_mean,0.24652624130249023,0
mfcc_5_p10,0.1601506471633911,0
rms_p90,0.023388022556900978,0
rms_mean,0.019080206751823425,0
mfcc_12_p90,0.013947558589279652,0
mfcc_16_p90,0.013642454519867897,0
rms_p10,0.013491179794073105,0
rolloff85_mean,0.010819077491760254,0
mfcc_5_p90,0.00922112725675106,0
mfcc_18_mean,0.007725832052528858,0
contrast_1_mean,0.006923706270754337,0
mfcc_delta_4_std,0.006478451192378998,0
rolloff85_p90,0.006427067331969738,0
mfcc_1_p90,0.006387628614902496,0
mfcc_delta_11_std,0.006234093103557825,0
rolloff85_p10,0.006126518361270428,0
dominant_frequency,0.005661327857524157,0
mfcc_12_mean,0.0055118752643466,0
centroid_p90,0.005202565807849169,0
mfcc_1_p10,0.005135898012667894,0
rolloff85_std,0.005095913540571928,0
dominant_frequency_ratio,0.005057221278548241,0
contrast_0_p90,0.004951501730829477,0
mfcc_2_p10,0.004899508785456419,0
mfcc_6_p10,0.004823694471269846,0
zero_crossing_rate_p90,0.004710342735052109,0
contrast_0_p10,0.004409411922097206,0
mfcc_4_mean,0.004160021431744099,0
mfcc_7_p10,0.0041426075622439384,0
mfcc_11_p90,0.004126888699829578,0
centroid_std,0.004118875600397587,0
mfcc_delta_1_p10,0.004021412692964077,0
mfcc_16_mean,0.003968618810176849,0
mfcc_1_mean,0.003852840745821595,0
contrast_1_p10,0.0038468334823846817,0
mfcc_18_p10,0.003828502958640456,0
mfcc_7_p90,0.003815209725871682,0
spectral_entropy_p90,0.0038072620518505573,0
mfcc_delta_9_std,0.0037515826988965273,0
mfcc_delta_5_p10,0.0037050172686576843,0
mfcc_16_p10,0.003625662997364998,0
bandwidth_mean,0.0036179402377456427,0
mfcc_0_p10,0.0035750041715800762,0
mfcc_7_std,0.003570006927475333,0
bandwidth_p90,0.00355694186873734,0
mfcc_8_p90,0.003528716042637825,0
mfcc_3_p10,0.003494707867503166,0
mfcc_15_mean,0.003488018875941634,0
mfcc_delta_2_std,0.0034592377487570047,0
mfcc_6_mean,0.003457864513620734,0
contrast_5_p90,0.003353872336447239,0
contrast_0_mean,0.003347498830407858,0
mfcc_15_p10,0.0033428240567445755,0
contrast_5_p10,0.0033085839822888374,0
mfcc_0_mean,0.0033083336893469095,0
centroid_mean,0.0032605931628495455,0
mfcc_7_mean,0.0032540333922952414,0
contrast_5_std,0.0032439311034977436,0
