repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.7761194029850746,0.5764854614412136,0.7761194029850746,0.6413822166034555,0.5596405258138364,134.0,0.8672566371681416,0.8672566371681416,0.8672566371681416,113.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,21.0
0,1,0.6444444444444445,0.5371428571428571,0.684063492063492,0.6735248447204969,0.6420304763288005,135.0,0.8636363636363636,0.6785714285714286,0.76,112.0,0.23404255319148937,0.4782608695652174,0.3142857142857143,23.0
0,2,0.7806451612903226,0.5120370370370371,0.7432735961768221,0.5528683914510686,0.5413600881620215,155.0,0.8251748251748252,0.9291338582677166,0.8740740740740741,127.0,0.25,0.10714285714285714,0.15,28.0
0,3,0.5918367346938775,0.46764847899565426,0.6303176026567073,0.47746913580246914,0.5092263349281853,147.0,0.8061224489795918,0.6583333333333333,0.7247706422018348,120.0,0.16326530612244897,0.2962962962962963,0.21052631578947367,27.0
0,4,0.7428571428571429,0.5474137931034483,0.7598522167487685,0.6441666666666667,0.5729064776959188,140.0,0.875,0.8166666666666667,0.8448275862068966,120.0,0.21428571428571427,0.3,0.25,20.0
1,0,0.8321167883211679,0.4541832669322709,0.7624974554337395,0.7051383399209485,0.615142207175934,137.0,0.8382352941176471,0.991304347826087,0.9083665338645418,115.0,0.0,0.0,0.0,22.0
1,1,0.9338235294117647,0.8592294422081657,0.927042248756892,0.8537899191996922,0.8726453866559005,136.0,0.9262295081967213,1.0,0.9617021276595744,113.0,1.0,0.6086956521739131,0.7567567567567568,23.0
1,2,0.7870967741935484,0.4936144936144936,0.7398411527443786,0.5646794150731158,0.5428996766390405,155.0,0.821917808219178,0.9448818897637795,0.8791208791208791,127.0,0.2222222222222222,0.07142857142857142,0.10810810810810811,28.0
1,3,0.6838235294117647,0.427508565834557,0.6866401773631625,0.4031100478468899,0.48256328147171323,136.0,0.8141592920353983,0.8070175438596491,0.8105726872246696,114.0,0.043478260869565216,0.045454545454545456,0.044444444444444446,22.0
1,4,0.7891156462585034,0.5417797888386123,0.7685043248068458,0.5169376693766937,0.51480734985768,147.0,0.8484848484848485,0.9105691056910569,0.8784313725490196,123.0,0.26666666666666666,0.16666666666666666,0.20512820512820512,24.0
2,0,0.7417218543046358,0.6337003172233625,0.7667512348478576,0.7723809523809524,0.6461062894872642,151.0,0.9065420560747663,0.7698412698412699,0.8326180257510729,126.0,0.3409090909090909,0.6,0.43478260869565216,25.0
2,1,0.8740740740740741,0.7810323442419617,0.8751313664585298,0.8334627329192547,0.8184214373605292,135.0,0.9279279279279279,0.9196428571428571,0.9237668161434978,112.0,0.625,0.6521739130434783,0.6382978723404256,23.0
2,2,0.6567164179104478,0.41628787878787876,0.6734905020352782,0.44795617361989043,0.4853179002891689,134.0,0.8130841121495327,0.7699115044247787,0.7909090909090909,113.0,0.037037037037037035,0.047619047619047616,0.041666666666666664,21.0
2,3,0.6985294117647058,0.5196002412337383,0.7179313700150517,0.46650717703349287,0.49980514087462635,136.0,0.8476190476190476,0.7807017543859649,0.8127853881278538,114.0,0.1935483870967742,0.2727272727272727,0.22641509433962265,22.0
2,4,0.7225806451612903,0.5499358498210548,0.7279757950156727,0.547806524184477,0.5350948324042352,155.0,0.8387096774193549,0.8188976377952756,0.8286852589641435,127.0,0.25806451612903225,0.2857142857142857,0.2711864406779661,28.0
3,0,0.8161764705882353,0.4860166288737717,0.7707416299853275,0.7089026915113872,0.6024534688497469,136.0,0.8461538461538461,0.9565217391304348,0.8979591836734694,115.0,0.16666666666666666,0.047619047619047616,0.07407407407407407,21.0
3,1,0.9338235294117647,0.8592294422081657,0.927042248756892,0.8695652173913044,0.8915449414483756,136.0,0.9262295081967213,1.0,0.9617021276595744,113.0,1.0,0.6086956521739131,0.7567567567567568,23.0
3,2,0.6824324324324325,0.4598959546548645,0.689459900151724,0.5164227642276422,0.5178891441633171,148.0,0.8166666666666667,0.7967479674796748,0.8065843621399177,123.0,0.10714285714285714,0.12,0.11320754716981132,25.0
3,3,0.7712418300653595,0.6581551228854133,0.7828075160269449,0.6717142857142857,0.6178610070795316,153.0,0.8879310344827587,0.824,0.8547717842323651,125.0,0.40540540540540543,0.5357142857142857,0.46153846153846156,28.0
3,4,0.8115942028985508,0.5847222222222223,0.7938003220611917,0.5141065830721003,0.561016524738935,138.0,0.8629032258064516,0.9224137931034483,0.8916666666666667,116.0,0.35714285714285715,0.22727272727272727,0.2777777777777778,22.0
4,0,0.7851851851851852,0.5654345654345654,0.7783179783179783,0.6499582289055973,0.5776634190563564,135.0,0.8632478632478633,0.8859649122807017,0.8744588744588745,114.0,0.2777777777777778,0.23809523809523808,0.2564102564102564,21.0
4,1,0.8832116788321168,0.7441643323996265,0.8694446148288999,0.7547673531655225,0.7834161646924851,137.0,0.8951612903225806,0.9736842105263158,0.9327731092436975,114.0,0.7692307692307693,0.43478260869565216,0.5555555555555556,23.0
4,2,0.7278911564625851,0.4444444444444444,0.7116942014901199,0.4949186991869919,0.5080625145249485,147.0,0.8217054263565892,0.8617886178861789,0.8412698412698413,123.0,0.05555555555555555,0.041666666666666664,0.047619047619047616,24.0
4,3,0.6861313868613139,0.510917393109174,0.7053621910536219,0.46872616323417243,0.5021645178069061,137.0,0.8380952380952381,0.7719298245614035,0.8036529680365296,114.0,0.1875,0.2608695652173913,0.21818181818181817,23.0
4,4,0.7161290322580646,0.4916517590936196,0.7074114682516783,0.499156355455568,0.4952982820645955,155.0,0.816793893129771,0.84251968503937,0.8294573643410853,127.0,0.16666666666666666,0.14285714285714285,0.15384615384615385,28.0
5,0,0.8389261744966443,0.7204502814258912,0.8413689764156289,0.8203225806451613,0.6785340140101164,149.0,0.9098360655737705,0.8951612903225806,0.9024390243902439,124.0,0.5185185185185185,0.56,0.5384615384615384,25.0
