metric,mean,std,min,max,folds
accuracy,0.7753107039661324,0.07654142353846081,0.6394557823129252,0.9338235294117647,50
macro_f1,0.5770068158289792,0.1184912437965666,0.3901345291479821,0.8592294422081657,50
weighted_f1,0.7691220846809556,0.06855711195488377,0.654049063571617,0.927042248756892,50
roc_auc_ovr_macro,0.6044378724560464,0.13527725886967723,0.39832535885167464,0.9157853505679593,50
average_precision_macro,0.593991374406021,0.11497519727322862,0.48280485539446544,0.9073445034436733,50
n_items,142.2,7.761758689832072,134.0,156.0,50
precision_absent,0.8577456365117219,0.0350579256953803,0.7981651376146789,0.9262295081967213,50
recall_absent,0.8754108596128463,0.07865617447460091,0.7166666666666667,1.0,50
f1_absent,0.8651058719106992,0.049422652248150074,0.7644444444444445,0.9617021276595744,50
support_absent,118.4,5.696400582107682,111.0,128.0,50
precision_present,0.3482577422404461,0.27982386736273007,0.0,1.0,50
recall_present,0.2752507482300585,0.18389284059237035,0.0,0.6086956521739131,50
f1_present,0.2889077597472591,0.2013703088827208,0.0,0.7567567567567568,50
support_present,23.8,2.6263966158357483,20.0,29.0,50
