feature,gain,repeat,fold
collection_code,0.28251561522483826,0,0
longitude,0.2703128159046173,0,0
cond_tape_speed_note,0.1750515103340149,0,0
latitude,0.15913636982440948,0,0
site_code,0.11298367381095886,0,0
cond_ship_noise,0.0,0,0
cond_engine_noise,0.0,0,0
cond_reverberation,0.0,0,0
cond_water_noise,0.0,0,0
cond_night_recording,0.0,0,0
cond_no_visual,0.0,0,0
latitude,0.350406676530838,0,1
collection_code,0.179133340716362,0,1
longitude,0.14243729412555695,0,1
site_code,0.13143570721149445,0,1
cond_ship_noise,0.10980768501758575,0,1
cond_engine_noise,0.069953054189682,0,1
cond_tape_speed_note,0.01682625152170658,0,1
cond_reverberation,0.0,0,1
cond_water_noise,0.0,0,1
cond_night_recording,0.0,0,1
cond_no_visual,0.0,0,1
longitude,0.3875545263290405,0,2
latitude,0.19876763224601746,0,2
collection_code,0.17563052475452423,0,2
site_code,0.1402401626110077,0,2
cond_ship_noise,0.0733308494091034,0,2
cond_engine_noise,0.024476308375597,0,2
cond_reverberation,0.0,0,2
cond_water_noise,0.0,0,2
cond_night_recording,0.0,0,2
cond_no_visual,0.0,0,2
cond_tape_speed_note,0.0,0,2
latitude,0.6512674689292908,0,3
site_code,0.13725140690803528,0,3
cond_ship_noise,0.09698326885700226,0,3
cond_engine_noise,0.0498172864317894,0,3
longitude,0.04211027920246124,0,3
collection_code,0.02257033996284008,0,3
cond_reverberation,0.0,0,3
cond_water_noise,0.0,0,3
cond_night_recording,0.0,0,3
cond_no_visual,0.0,0,3
cond_tape_speed_note,0.0,0,3
longitude,0.5413585305213928,0,4
collection_code,0.18285268545150757,0,4
latitude,0.1569892317056656,0,4
site_code,0.05974140018224716,0,4
cond_tape_speed_note,0.05344638228416443,0,4
cond_engine_noise,0.005611718166619539,0,4
cond_ship_noise,0.0,0,4
cond_reverberation,0.0,0,4
cond_water_noise,0.0,0,4
cond_night_recording,0.0,0,4
cond_no_visual,0.0,0,4
longitude,0.38437944650650024,1,0
latitude,0.2610590159893036,1,0
collection_code,0.1789933741092682,1,0
site_code,0.1273481398820877,1,0
cond_engine_noise,0.04822005704045296,1,0
cond_ship_noise,0.0,1,0
cond_reverberation,0.0,1,0
cond_water_noise,0.0,1,0
cond_night_recording,0.0,1,0
cond_no_visual,0.0,1,0
cond_tape_speed_note,0.0,1,0
latitude,0.26977160573005676,1,1
longitude,0.24589964747428894,1,1
collection_code,0.2418583631515503,1,1
site_code,0.2004621922969818,1,1
cond_engine_noise,0.04200824350118637,1,1
cond_ship_noise,0.0,1,1
cond_reverberation,0.0,1,1
cond_water_noise,0.0,1,1
cond_night_recording,0.0,1,1
cond_no_visual,0.0,1,1
cond_tape_speed_note,0.0,1,1
longitude,0.36183565855026245,1,2
latitude,0.19979578256607056,1,2
collection_code,0.16687844693660736,1,2
site_code,0.13632656633853912,1,2
cond_ship_noise,0.06445962190628052,1,2
cond_tape_speed_note,0.0360160693526268,1,2
cond_engine_noise,0.034687772393226624,1,2
cond_reverberation,0.0,1,2
cond_water_noise,0.0,1,2
cond_night_recording,0.0,1,2
cond_no_visual,0.0,1,2
latitude,0.4849033057689667,1,3
longitude,0.1990169882774353,1,3
site_code,0.12035167962312698,1,3
cond_ship_noise,0.10429888218641281,1,3
cond_engine_noise,0.04691983014345169,1,3
cond_tape_speed_note,0.028894687071442604,1,3
collection_code,0.015614586882293224,1,3
cond_reverberation,0.0,1,3
cond_water_noise,0.0,1,3
cond_night_recording,0.0,1,3
cond_no_visual,0.0,1,3
longitude,0.339446097612381,1,4
latitude,0.26526939868927,1,4
collection_code,0.15812398493289948,1,4
site_code,0.1408725380897522,1,4
cond_ship_noise,0.07193419337272644,1,4
cond_tape_speed_note,0.024353764951229095,1,4
cond_engine_noise,0.0,1,4
cond_reverberation,0.0,1,4
cond_water_noise,0.0,1,4
cond_night_recording,0.0,1,4
cond_no_visual,0.0,1,4
longitude,0.2851540148258209,2,0
collection_code,0.21824966371059418,2,0
cond_ship_noise,0.2145116627216339,2,0
latitude,0.18385280668735504,2,0
site_code,0.09823191165924072,2,0
cond_engine_noise,0.0,2,0
cond_reverberation,0.0,2,0
cond_water_noise,0.0,2,0
cond_night_recording,0.0,2,0
cond_no_visual,0.0,2,0
cond_tape_speed_note,0.0,2,0
latitude,0.30430659651756287,2,1
longitude,0.2338331639766693,2,1
collection_code,0.14842793345451355,2,1
site_code,0.14278888702392578,2,1
cond_ship_noise,0.10410813242197037,2,1
cond_engine_noise,0.0665353387594223,2,1
cond_reverberation,0.0,2,1
cond_water_noise,0.0,2,1
cond_night_recording,0.0,2,1
cond_no_visual,0.0,2,1
cond_tape_speed_note,0.0,2,1
latitude,0.4036277234554291,2,2
collection_code,0.20185886323451996,2,2
site_code,0.19131186604499817,2,2
longitude,0.1408989280462265,2,2
cond_engine_noise,0.062302593141794205,2,2
cond_ship_noise,0.0,2,2
cond_reverberation,0.0,2,2
cond_water_noise,0.0,2,2
cond_night_recording,0.0,2,2
cond_no_visual,0.0,2,2
cond_tape_speed_note,0.0,2,2
latitude,0.6157456040382385,2,3
site_code,0.17155754566192627,2,3
cond_ship_noise,0.1091310977935791,2,3
cond_engine_noise,0.05096476152539253,2,3
longitude,0.03101160190999508,2,3
collection_code,0.02158939279615879,2,3
cond_reverberation,0.0,2,3
cond_water_noise,0.0,2,3
cond_night_recording,0.0,2,3
cond_no_visual,0.0,2,3
cond_tape_speed_note,0.0,2,3
longitude,0.4139074981212616,2,4
collection_code,0.1800721436738968,2,4
latitude,0.17152279615402222,2,4
site_code,0.1507495939731598,2,4
cond_ship_noise,0.05900642275810242,2,4
cond_tape_speed_note,0.024741634726524353,2,4
cond_engine_noise,0.0,2,4
cond_reverberation,0.0,2,4
cond_water_noise,0.0,2,4
cond_night_recording,0.0,2,4
cond_no_visual,0.0,2,4
latitude,0.4693351686000824,3,0
site_code,0.196334570646286,3,0
collection_code,0.13786949217319489,3,0
longitude,0.12020096182823181,3,0
cond_engine_noise,0.05173930525779724,3,0
cond_tape_speed_note,0.024520505219697952,3,0
cond_ship_noise,0.0,3,0
cond_reverberation,0.0,3,0
cond_water_noise,0.0,3,0
cond_night_recording,0.0,3,0
cond_no_visual,0.0,3,0
latitude,0.26418155431747437,3,1
collection_code,0.2519247829914093,3,1
site_code,0.22801856696605682,3,1
longitude,0.21864788234233856,3,1
cond_engine_noise,0.03722720593214035,3,1
cond_ship_noise,0.0,3,1
cond_reverberation,0.0,3,1
cond_water_noise,0.0,3,1
cond_night_recording,0.0,3,1
cond_no_visual,0.0,3,1
cond_tape_speed_note,0.0,3,1
latitude,0.3823477029800415,3,2
collection_code,0.16983459889888763,3,2
site_code,0.15850746631622314,3,2
longitude,0.15380826592445374,3,2
