metric,mean,std,min,max,folds
accuracy,0.826425332240985,0.11498778482026185,0.5357142857142857,0.9781021897810219,50
macro_f1,0.7392130436719158,0.13878016677595525,0.49665357597212234,0.9601164483260554,50
weighted_f1,0.8378247662940739,0.09950028816281975,0.5968092419776694,0.977906692591294,50
roc_auc_ovr_macro,0.8354368187979447,0.14494497264205275,0.4225253093363329,0.9955357142857142,50
average_precision_macro,0.7555290161983994,0.13509667076052734,0.5095030955071509,0.9784060846560847,50
n_items,142.2,7.761758689832072,134.0,156.0,50
precision_absent,0.9301178352379214,0.04304445756484398,0.8409090909090909,1.0,50
recall_absent,0.8556192749974751,0.1249930245748411,0.475,0.9912280701754386,50
f1_absent,0.8868932892329768,0.08326377203962111,0.6368715083798883,0.9868995633187773,50
support_absent,118.4,5.696400582107682,111.0,128.0,50
precision_present,0.5581770388512969,0.237425250356741,0.19298245614035087,0.9545454545454546,50
recall_present,0.6791973655918184,0.1978026656181908,0.32142857142857145,1.0,50
f1_present,0.591532798110855,0.203935281875259,0.28205128205128205,0.9333333333333333,50
support_present,23.8,2.6263966158357483,20.0,29.0,50
