feature,gain,fold
cond_tape_speed_note,0.3747346103191376,0
longitude,0.30888307094573975,0
latitude,0.18044355511665344,0
site_code,0.13593874871730804,0
cond_ship_noise,0.0,0
cond_engine_noise,0.0,0
cond_reverberation,0.0,0
cond_water_noise,0.0,0
cond_night_recording,0.0,0
cond_no_visual,0.0,0
latitude,0.39500218629837036,1
longitude,0.23076260089874268,1
site_code,0.1268056333065033,1
cond_ship_noise,0.12333949655294418,1
cond_engine_noise,0.08854188770055771,1
cond_tape_speed_note,0.03554820641875267,1
cond_reverberation,0.0,1
cond_water_noise,0.0,1
cond_night_recording,0.0,1
cond_no_visual,0.0,1
longitude,0.4336819648742676,2
latitude,0.2304215431213379,2
site_code,0.17648029327392578,2
cond_ship_noise,0.0948222279548645,2
cond_engine_noise,0.06459400057792664,2
cond_reverberation,0.0,2
cond_water_noise,0.0,2
cond_night_recording,0.0,2
cond_no_visual,0.0,2
cond_tape_speed_note,0.0,2
latitude,0.6703570485115051,3
site_code,0.1429537832736969,3
cond_ship_noise,0.09982245415449142,3
cond_engine_noise,0.04770148918032646,3
longitude,0.0391651950776577,3
cond_reverberation,0.0,3
cond_water_noise,0.0,3
cond_night_recording,0.0,3
cond_no_visual,0.0,3
cond_tape_speed_note,0.0,3
longitude,0.6756002902984619,4
latitude,0.15662862360477448,4
site_code,0.06797788292169571,4
cond_tape_speed_note,0.060045287013053894,4
cond_ship_noise,0.03301763907074928,4
cond_engine_noise,0.006730222143232822,4
cond_reverberation,0.0,4
cond_water_noise,0.0,4
cond_night_recording,0.0,4
cond_no_visual,0.0,4
