metric,mean,std,min,max
accuracy,0.7071805772541724,0.08464993873370087,0.5918367346938775,0.7806451612903226
macro_f1,0.5281455255440421,0.040952239121446916,0.46764847899565426,0.5764854614412136
weighted_f1,0.7187252621261729,0.060426581615357605,0.6303176026567073,0.7761194029850746
roc_auc_ovr_macro,0.5978822510488313,0.08105840793670868,0.47746913580246914,0.6735248447204969
average_precision_macro,0.5650327805857526,0.04923025596867861,0.5092263349281853,0.6420304763288005
n_items,142.2,8.814760348415605,134.0,155.0
precision_absent,0.8474380549917846,0.030072632563093966,0.8061224489795918,0.875
recall_absent,0.7899923848014574,0.1180999226988201,0.6583333333333333,0.9291338582677166
f1_absent,0.8141857879301894,0.06758921799547252,0.7247706422018348,0.8740740740740741
support_absent,118.4,6.107372593840988,112.0,127.0
precision_present,0.22946157186278765,0.04533054292390789,0.16326530612244897,0.2857142857142857
recall_present,0.2934828617437313,0.13131664857101055,0.10714285714285714,0.4782608695652174
f1_present,0.24210526315789474,0.06452654620663499,0.15,0.3142857142857143
support_present,23.8,3.5637059362410923,20.0,28.0
