feature,gain,fold
mfcc_3_mean,0.14030273258686066,0
zero_crossing_rate_std,0.07036694884300232,0
mfcc_6_p10,0.04028456285595894,0
contrast_0_p90,0.036743562668561935,0
mfcc_delta_0_p10,0.020785171538591385,0
mfcc_delta_5_p10,0.020354919135570526,0
mfcc_3_p10,0.01906689442694187,0
mfcc_delta_6_std,0.015425258316099644,0
flatness_p90,0.015411176718771458,0
mfcc_3_p90,0.015376740135252476,0
mfcc_5_mean,0.01494789682328701,0
mfcc_1_p90,0.014947314746677876,0
mfcc_1_mean,0.01263109315186739,0
mfcc_6_mean,0.012614255771040916,0
spectral_entropy_p10,0.011295762844383717,0
dominant_frequency_ratio,0.010858614929020405,0
mfcc_5_p10,0.00922192633152008,0
contrast_1_p90,0.009220040403306484,0
mfcc_14_std,0.009172419086098671,0
mfcc_2_p10,0.0091021079570055,0
zero_crossing_rate_p90,0.008918577805161476,0
contrast_1_p10,0.008669068105518818,0
rms_mean,0.008602285757660866,0
mfcc_2_mean,0.00847597699612379,0
spectral_entropy_mean,0.008409356698393822,0
mfcc_delta_8_std,0.008079051040112972,0
contrast_4_p90,0.007858463563024998,0
mfcc_4_p10,0.007262661587446928,0
mfcc_0_std,0.007253707852214575,0
contrast_5_p10,0.007222770247608423,0
contrast_1_mean,0.007122366223484278,0
bandwidth_mean,0.007101184222847223,0
contrast_4_p10,0.0069749257527291775,0
contrast_0_mean,0.0066955117508769035,0
mfcc_16_p10,0.006399952340871096,0
rms_p10,0.00619078241288662,0
mfcc_15_std,0.006155661307275295,0
mfcc_0_p10,0.006028202828019857,0
contrast_4_mean,0.005962919909507036,0
mfcc_9_p90,0.0058960034511983395,0
contrast_2_p90,0.005849290173500776,0
contrast_3_p10,0.005847458727657795,0
contrast_0_p10,0.005687639582902193,0
bandwidth_p90,0.005596908275038004,0
contrast_2_p10,0.005584860686212778,0
mfcc_delta_0_p90,0.005572225898504257,0
centroid_std,0.005292806308716536,0
mfcc_13_p10,0.005192538723349571,0
mfcc_18_p90,0.005039742682129145,0
mfcc_13_p90,0.004880372900515795,0
mfcc_10_p90,0.00487522641196847,0
bandwidth_p10,0.004839781206101179,0
mfcc_16_mean,0.004817739129066467,0
mfcc_2_p90,0.004788201302289963,0
flatness_p10,0.0047823358327150345,0
zero_crossing_rate_mean,0.004751800559461117,0
flatness_mean,0.004635387100279331,0
rolloff85_mean,0.004620521329343319,0
rolloff85_p90,0.004595155827701092,0
mfcc_9_mean,0.004421551711857319,0
flatness_p90,0.09477362781763077,1
zero_crossing_rate_std,0.0904189944267273,1
mfcc_6_p10,0.05214573070406914,1
mfcc_2_p10,0.04108113422989845,1
flatness_mean,0.026105370372533798,1
rms_p10,0.016789954155683517,1
mfcc_3_p10,0.016714252531528473,1
contrast_1_p10,0.01642962545156479,1
spectral_entropy_mean,0.016173535957932472,1
bandwidth_p90,0.013232442550361156,1
mfcc_4_p10,0.012017210014164448,1
spectral_entropy_p10,0.011735077947378159,1
rms_mean,0.01125508826225996,1
mfcc_2_mean,0.011225872673094273,1
mfcc_delta_3_p10,0.011021364480257034,1
mfcc_5_p10,0.011021306738257408,1
mfcc_12_p10,0.010872386395931244,1
mfcc_7_std,0.010532710701227188,1
mfcc_14_std,0.010479367338120937,1
zero_crossing_rate_p90,0.00983880739659071,1
mfcc_6_mean,0.009643498808145523,1
contrast_0_p90,0.009208974428474903,1
mfcc_delta_11_p10,0.008503149263560772,1
centroid_std,0.008073956705629826,1
mfcc_delta_10_p90,0.00801825150847435,1
mfcc_2_p90,0.007597115356475115,1
mfcc_7_mean,0.007284012623131275,1
mfcc_1_p90,0.0071193622425198555,1
mfcc_delta_15_mean,0.0068190027959644794,1
mfcc_delta_9_std,0.006792523432523012,1
dominant_frequency_ratio,0.006739386357367039,1
contrast_1_p90,0.006484531331807375,1
mfcc_3_mean,0.006243990734219551,1
rolloff85_std,0.006010654382407665,1
mfcc_1_p10,0.005836823023855686,1
zero_crossing_rate_mean,0.0057659451849758625,1
flatness_std,0.005760917905718088,1
mfcc_11_p10,0.005591703578829765,1
mfcc_delta_15_p10,0.005578458309173584,1
mfcc_delta_4_mean,0.005293968599289656,1
mfcc_12_p90,0.005271418020129204,1
contrast_2_std,0.005133980885148048,1
mfcc_5_mean,0.005034573841840029,1
bandwidth_mean,0.004985307343304157,1
contrast_5_p10,0.0049127559177577496,1
mfcc_1_mean,0.004878145642578602,1
mfcc_0_std,0.004754399415105581,1
mfcc_8_mean,0.004660996608436108,1
flatness_p10,0.004614668432623148,1
mfcc_delta_8_mean,0.004564245697110891,1
contrast_0_mean,0.0045257150195539,1
mfcc_9_p90,0.0044985366985201836,1
contrast_1_mean,0.004416356328874826,1
mfcc_delta_11_std,0.004257247317582369,1
contrast_4_mean,0.004209036007523537,1
mfcc_16_mean,0.004131312947720289,1
mfcc_2_std,0.004059548489749432,1
mfcc_15_std,0.004010332748293877,1
mfcc_9_p10,0.003984223585575819,1
mfcc_0_p10,0.003963794559240341,1
mfcc_6_mean,0.17702265083789825,2
mfcc_6_p10,0.0746932178735733,2
zero_crossing_rate_std,0.04035693034529686,2
mfcc_6_p90,0.02510872669517994,2
contrast_0_p10,0.023680731654167175,2
contrast_0_p90,0.020886553451418877,2
spectral_entropy_p10,0.018358532339334488,2
centroid_p10,0.017559625208377838,2
contrast_0_mean,0.015696149319410324,2
flatness_p10,0.013676635921001434,2
mfcc_16_std,0.011079775169491768,2
contrast_1_mean,0.010639404878020287,2
mfcc_11_p10,0.009999023750424385,2
contrast_5_mean,0.00915341917425394,2
mfcc_15_mean,0.008689038455486298,2
rms_p10,0.008476749993860722,2
mfcc_4_p90,0.00841714721173048,2
mfcc_delta_2_mean,0.008413153700530529,2
mfcc_1_p90,0.00793060939759016,2
mfcc_0_p10,0.007785314228385687,2
mfcc_9_mean,0.007736978121101856,2
centroid_std,0.007405073381960392,2
mfcc_11_p90,0.007294271606951952,2
mfcc_delta_16_p90,0.0072820368222892284,2
mfcc_delta_12_p10,0.0072385394014418125,2
contrast_1_p10,0.006952283903956413,2
spectral_entropy_mean,0.006910251919180155,2
rms_mean,0.006803262047469616,2
mfcc_15_p10,0.0065597593784332275,2
bandwidth_mean,0.006514818873256445,2
mfcc_delta_4_p90,0.006472598295658827,2
mfcc_delta_3_p10,0.006461875978857279,2
mfcc_3_mean,0.006189141888171434,2
mfcc_0_mean,0.006182583048939705,2
contrast_2_mean,0.006158157251775265,2
mfcc_delta_1_std,0.006047053728252649,2
mfcc_delta_9_p90,0.006007276941090822,2
mfcc_delta_10_p10,0.005996848456561565,2
mfcc_delta_5_p90,0.005917239934206009,2
contrast_2_p10,0.005799157544970512,2
mfcc_19_std,0.005498372483998537,2
contrast_2_std,0.005443458911031485,2
mfcc_13_std,0.005200535990297794,2
rms_p90,0.00515455799177289,2
mfcc_2_std,0.005082937888801098,2
zero_crossing_rate_p10,0.0050576673820614815,2
mfcc_delta_11_p10,0.0049837143160402775,2
mfcc_delta_12_std,0.004801278002560139,2
rolloff85_std,0.0047438000328838825,2
mfcc_8_mean,0.004707074724137783,2
mfcc_delta_9_p10,0.004681283142417669,2
contrast_4_p10,0.004632181022316217,2
mfcc_4_p10,0.004554987885057926,2
flatness_std,0.004521940369158983,2
mfcc_1_p10,0.00450871279463172,2
contrast_3_p10,0.004447157494723797,2
bandwidth_p90,0.004421757068485022,2
contrast_3_mean,0.004175068344920874,2
bandwidth_p10,0.004083624109625816,2
mfcc_7_mean,0.004054246004670858,2
mfcc_3_mean,0.12293019890785217,3
rolloff85_p90,0.04232923686504364,3
zero_crossing_rate_std,0.038161344826221466,3
rms_p10,0.028110455721616745,3
mfcc_3_p90,0.024873778223991394,3
mfcc_5_std,0.022881269454956055,3
mfcc_6_p90,0.020947705954313278,3
mfcc_10_std,0.020422445610165596,3
contrast_2_mean,0.01763789914548397,3
bandwidth_mean,0.016159627586603165,3
mfcc_3_p10,0.016024261713027954,3
rms_mean,0.01534524466842413,3
rms_std,0.014065301977097988,3
mfcc_9_p10,0.013332775793969631,3
mfcc_14_std,0.013150319457054138,3
mfcc_6_mean,0.010415987111628056,3
flatness_std,0.010015834122896194,3
mfcc_14_mean,0.009905586019158363,3
mfcc_16_p10,0.009551162831485271,3
centroid_mean,0.009438551962375641,3
mfcc_delta_12_std,0.00867415126413107,3
mfcc_17_std,0.008660094812512398,3
contrast_5_std,0.00845079030841589,3
contrast_0_p90,0.008448159322142601,3
mfcc_6_std,0.008436033502221107,3
mfcc_0_mean,0.007821041159331799,3
contrast_0_p10,0.007626041769981384,3
contrast_2_p10,0.007604196202009916,3
centroid_std,0.007544851396232843,3
mfcc_5_p10,0.0073846778832376,3
mfcc_delta_13_p90,0.007193336263298988,3
mfcc_4_p10,0.007188067771494389,3
contrast_5_mean,0.007159862667322159,3
mfcc_1_p90,0.007092496380209923,3
mfcc_4_p90,0.007015081588178873,3
spectral_entropy_mean,0.0069244056940078735,3
mfcc_8_p90,0.006771831773221493,3
mfcc_5_mean,0.006714035291224718,3
mfcc_2_mean,0.006428124848753214,3
mfcc_0_p90,0.006411512847989798,3
mfcc_delta_7_p90,0.006269202567636967,3
mfcc_19_mean,0.006224620621651411,3
mfcc_delta_7_std,0.006217051763087511,3
rms_p90,0.006126501597464085,3
mfcc_8_p10,0.006009806878864765,3
mfcc_delta_10_p10,0.005880013108253479,3
mfcc_delta_6_p90,0.005845962092280388,3
mfcc_delta_5_p90,0.005601637996733189,3
mfcc_19_p90,0.005513831507414579,3
mfcc_15_std,0.00542506854981184,3
mfcc_delta_4_std,0.004996038973331451,3
mfcc_4_mean,0.004974823445081711,3
spectral_entropy_p10,0.004847923759371042,3
flatness_p90,0.004824305418878794,3
contrast_0_mean,0.00474491948261857,3
mfcc_11_p10,0.004721465986222029,3
mfcc_delta_6_std,0.0046415142714977264,3
zero_crossing_rate_mean,0.004596753977239132,3
mfcc_delta_10_std,0.004580872133374214,3
zero_crossing_rate_p90,0.004395304713398218,3
flatness_p90,0.19830462336540222,4
flatness_mean,0.09916531294584274,4
spectral_entropy_p90,0.05546810105443001,4
zero_crossing_rate_p90,0.027428243309259415,4
mfcc_14_std,0.019573558121919632,4
mfcc_4_p10,0.017872504889965057,4
mfcc_8_std,0.017751431092619896,4
mfcc_3_p10,0.014907075092196465,4
mfcc_15_std,0.01417383924126625,4
mfcc_0_p10,0.0136488638818264,4
zero_crossing_rate_mean,0.012531420215964317,4
mfcc_delta_9_p10,0.01132659800350666,4
contrast_4_mean,0.011091397143900394,4
mfcc_16_std,0.010109959170222282,4
rolloff85_p90,0.009704066440463066,4
bandwidth_p90,0.009011517278850079,4
mfcc_delta_1_p90,0.008958726190030575,4
contrast_2_p90,0.008937101811170578,4
mfcc_9_mean,0.00854028481990099,4
mfcc_6_p10,0.008303283713757992,4
mfcc_4_mean,0.007910043932497501,4
spectral_entropy_p10,0.007540198974311352,4
mfcc_13_std,0.007338033523410559,4
mfcc_11_p10,0.007310856133699417,4
mfcc_delta_0_std,0.007288052700459957,4
mfcc_5_mean,0.007163810543715954,4
spectral_entropy_std,0.006838875822722912,4
mfcc_9_p90,0.006811086088418961,4
contrast_5_p90,0.0066805812530219555,4
mfcc_2_p90,0.006624765228480101,4
contrast_1_mean,0.006470828782767057,4
mfcc_5_p10,0.0064454893581569195,4
contrast_0_p90,0.006433021742850542,4
rolloff85_std,0.006389294750988483,4
mfcc_18_mean,0.005988298449665308,4
mfcc_delta_1_p10,0.0059260097332298756,4
mfcc_11_p90,0.005753411445766687,4
rms_p10,0.005625738762319088,4
contrast_1_p90,0.005448268260806799,4
contrast_1_p10,0.005280736368149519,4
mfcc_delta_18_p10,0.005276649724692106,4
rolloff85_p10,0.00503472751006484,4
contrast_0_mean,0.005010425578802824,4
mfcc_delta_1_std,0.0050065843388438225,4
rolloff85_mean,0.004975762218236923,4
mfcc_9_p10,0.004875376354902983,4
mfcc_delta_13_p90,0.004848226439207792,4
mfcc_4_p90,0.004796445369720459,4
mfcc_delta_8_std,0.0046837711706757545,4
mfcc_delta_3_p10,0.0046523637138307095,4
mfcc_2_mean,0.0045973374508321285,4
centroid_std,0.004587204661220312,4
mfcc_12_mean,0.004531465005129576,4
mfcc_11_mean,0.004478661809116602,4
mfcc_5_std,0.00443599047139287,4
contrast_5_std,0.004057657904922962,4
mfcc_10_p10,0.004046647343784571,4
zero_crossing_rate_std,0.004011370707303286,4
mfcc_delta_11_p90,0.0038484781980514526,4
mfcc_7_p90,0.003819073783233762,4
