metric,mean,std,min,max,folds
accuracy,0.9092379665139774,0.06355821534703107,0.6971153846153846,0.9947916666666666,50
macro_f1,0.7128500169195816,0.22250989008109454,0.41076487252124644,0.9842816209578387,50
weighted_f1,0.8950575798776887,0.07020154475839352,0.7464861625626498,0.9947247237003684,50
roc_auc_ovr_macro,0.7002198528783407,0.334677267726916,0.06289640591966172,0.9866908650937689,50
average_precision_macro,0.7553261436871828,0.24275845381973013,0.4005848677759729,0.9736986554174674,50
n_items,202.6,14.018937628968107,191.0,229.0,50
precision_absent,0.9231147669048388,0.050907886747903155,0.86,0.9942857142857143,50
recall_absent,0.9783840614804941,0.04205058448379134,0.7671957671957672,1.0,50
f1_absent,0.9489351577947803,0.03633551612235677,0.8215297450424929,0.997134670487106,50
support_absent,175.8,5.295357997957325,172.0,189.0,50
precision_present,0.563233918128655,0.4853330909613553,0.0,1.0,50
recall_present,0.42608178160661675,0.38903769530537524,0.0,0.9444444444444444,50
f1_present,0.4767648760443827,0.4182517189106985,0.0,0.9714285714285714,50
support_present,26.8,15.399443403670704,14.0,57.0,50
