feature,gain,repeat,fold
latitude,0.581450343132019,0,0
site_Delaware,0.19055388867855072,0,0
collection_code_BA2A,0.09537813067436218,0,0
"site_Sable Island, Nova Scotia",0.0619121789932251,0,0
duration_seconds,0.020973464474081993,0,0
site_Dominica IsBD,0.008064770139753819,0,0
bytes_on_disk,0.006338893435895443,0,0
"site_3-4 mi. off Roseau, Dominica  BD",0.006000148132443428,0,0
site_Dominica Is,0.004098664969205856,0,0
"site_Gully, SE Sable I., Canada  BD",0.003789453534409404,0,0
native_sample_rate,0.0037517105229198933,0,0
site_W of Browns Bank,0.003191179595887661,0,0
year,0.0027435868978500366,0,0
longitude,0.002326694782823324,0,0
site_Dominica,0.002278574276715517,0,0
collection_code_BD15A,0.001975472318008542,0,0
"site_3-4 mi. off Roseau, Dominica",0.001716383034363389,0,0
collection_code_BE3C,0.0016315135871991515,0,0
cond_ship_noise,0.0011605569161474705,0,0
cond_engine_noise,0.0006643147207796574,0,0
site_50 mi. NE Malta,0.0,0,0
site_Bequia,0.0,0,0
site_Bermuda,0.0,0,0
site_BermudaBD,0.0,0,0
site_DOMINICA,0.0,0,0
site_Dominica  E,0.0,0,0
"site_Ligurian Sea, NW Italy",0.0,0,0
"site_Lower end of Lanzarote Is., Canary I.",0.0,0,0
site_Madeira,0.0,0,0
site_N end of Dominica,0.0,0,0
site_N of Selina,0.0,0,0
"site_N of Selina, Sicily",0.0,0,0
"site_Near Filicudi, Italy",0.0,0,0
"site_South of Sable Island, North Atlantic",0.0,0,0
collection_code_BD10A,0.0,0,0
collection_code_BE3B,0.0,0,0
cond_reverberation,0.0,0,0
cond_water_noise,0.0,0,0
cond_night_recording,0.0,0,0
cond_no_visual,0.0,0,0
cond_tape_speed_note,0.0,0,0
latitude,0.7537128925323486,0,1
duration_seconds,0.09951512515544891,0,1
"site_3-4 mi. off Roseau, Dominica",0.057092659175395966,0,1
collection_code_BA2A,0.023933708667755127,0,1
"site_3-4 mi. off Roseau, Dominica  BD",0.023016300052404404,0,1
site_Delaware,0.02220536768436432,0,1
collection_code_BD15A,0.016345256939530373,0,1
bytes_on_disk,0.002169802086427808,0,1
site_Dominica,0.0007197099039331079,0,1
site_W of Browns Bank,0.0006446673069149256,0,1
site_Dominica Is,0.0006445179460570216,0,1
site_50 mi. NE Malta,0.0,0,1
site_Bequia,0.0,0,1
site_Bermuda,0.0,0,1
site_BermudaBD,0.0,0,1
site_DOMINICA,0.0,0,1
site_Dominica  E,0.0,0,1
site_Dominica IsBD,0.0,0,1
"site_Gully, SE Sable I., Canada  BD",0.0,0,1
