repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_absent,recall_absent,f1_absent,support_absent,precision_present,recall_present,f1_present,support_present
0,0,0.5,0.4375,0.591796875,0.4436974789915967,0.5447783022384303,192.0,0.9876543209876543,0.45714285714285713,0.625,175.0,0.14414414414414414,0.9411764705882353,0.25,17.0
0,1,0.859375,0.46218487394957986,0.8377100840336135,0.8995849297573436,0.7637857828700505,192.0,0.9016393442622951,0.9482758620689655,0.9243697478991597,174.0,0.0,0.0,0.0,18.0
0,2,0.8980582524271845,0.6721485411140584,0.8914527053127655,0.653494623655914,0.5785644672109419,206.0,0.9319371727748691,0.956989247311828,0.9442970822281167,186.0,0.4666666666666667,0.35,0.4,20.0
0,3,0.7510917030567685,0.428927680798005,0.6443280445175271,0.481640146878825,0.6692034394759325,229.0,0.7510917030567685,1.0,0.85785536159601,172.0,0.0,0.0,0.0,57.0
0,4,0.8865979381443299,0.46994535519125685,0.8333051659061461,0.9648520084566596,0.9209137566681871,194.0,0.8865979381443299,1.0,0.9398907103825137,172.0,0.0,0.0,0.0,22.0
1,0,0.44559585492227977,0.39850872338566395,0.5336662305740983,0.3555656382335148,0.5226206866816805,193.0,0.958904109589041,0.40229885057471265,0.5668016194331984,174.0,0.13333333333333333,0.8421052631578947,0.2302158273381295,19.0
1,1,0.8969072164948454,0.47282608695652173,0.8481622590766472,0.9037356321839081,0.8421234053604099,194.0,0.8969072164948454,1.0,0.9456521739130435,174.0,0.0,0.0,0.0,20.0
1,2,0.7536945812807881,0.5583884441350505,0.8057762178529849,0.7045454545454545,0.606127126016316,203.0,0.9536423841059603,0.7700534759358288,0.8520710059171598,187.0,0.17307692307692307,0.5625,0.2647058823529412,16.0
1,3,0.7510917030567685,0.428927680798005,0.6443280445175271,0.4995920032639739,0.6746890314185662,229.0,0.7510917030567685,1.0,0.85785536159601,172.0,0.0,0.0,0.0,57.0
1,4,0.8865979381443299,0.46994535519125685,0.8333051659061461,0.3023255813953488,0.5338263449074617,194.0,0.8865979381443299,1.0,0.9398907103825137,172.0,0.0,0.0,0.0,22.0
2,0,0.9207920792079208,0.8108614232209738,0.9222197500648942,0.7946320136021374,0.7148249270873618,202.0,0.96045197740113,0.9497206703910615,0.9550561797752809,179.0,0.64,0.6956521739130435,0.6666666666666666,23.0
2,1,0.4114583333333333,0.2915129151291513,0.5283671586715867,0.11446360153256707,0.48668790335120327,192.0,0.8144329896907216,0.4540229885057471,0.5830258302583026,174.0,0.0,0.0,0.0,18.0
2,2,0.8666666666666667,0.6378571428571429,0.8843809523809525,0.569258089976322,0.6044894531506639,195.0,0.9585798816568047,0.8950276243093923,0.9257142857142857,181.0,0.2692307692307692,0.5,0.35,14.0
2,3,0.8078602620087336,0.6290132547864506,0.7583680084377874,0.6140350877192983,0.6082531048630795,229.0,0.7962962962962963,1.0,0.8865979381443299,172.0,1.0,0.22807017543859648,0.37142857142857144,57.0
2,4,0.8871794871794871,0.4701086956521739,0.8341415830546265,0.9826589595375722,0.9390217874610938,195.0,0.8871794871794871,1.0,0.9402173913043478,173.0,0.0,0.0,0.0,22.0
3,0,0.5,0.4375,0.591796875,0.44386554621848745,0.5447964542803918,192.0,0.9876543209876543,0.45714285714285713,0.625,175.0,0.14414414414414414,0.9411764705882353,0.25,17.0
3,1,0.90625,0.47540983606557374,0.8616803278688524,0.42464878671775225,0.5431738236671707,192.0,0.90625,1.0,0.9508196721311475,174.0,0.0,0.0,0.0,18.0
3,2,0.8980582524271845,0.6721485411140584,0.8914527053127655,0.653494623655914,0.5785644672109419,206.0,0.9319371727748691,0.956989247311828,0.9442970822281167,186.0,0.4666666666666667,0.35,0.4,20.0
3,3,0.8078602620087336,0.6290132547864506,0.7583680084377874,0.6207670338637291,0.6113048543989229,229.0,0.7962962962962963,1.0,0.8865979381443299,172.0,1.0,0.22807017543859648,0.37142857142857144,57.0
3,4,0.8865979381443299,0.46994535519125685,0.8333051659061461,0.5380549682875264,0.5779467582491119,194.0,0.8865979381443299,1.0,0.9398907103825137,172.0,0.0,0.0,0.0,22.0
4,0,0.45595854922279794,0.41681775015108347,0.5381542272733982,0.4434361766485178,0.5433451833852223,193.0,1.0,0.39655172413793105,0.5679012345679012,174.0,0.1532258064516129,1.0,0.26573426573426573,19.0
