metric,mean,std,min,max,folds
accuracy,0.8109168339221956,0.22152673241129753,0.41346153846153844,1.0,50
macro_f1,0.7463991424896628,0.2481369794489936,0.2952029520295203,1.0,50
weighted_f1,0.8424979081773789,0.1806133139971653,0.5221436651583711,1.0,50
roc_auc_ovr_macro,0.8205962065750986,0.22915951048324895,0.2650439486139283,1.0,50
average_precision_macro,0.8091192895687882,0.2096277721438022,0.5051021186721241,1.0,50
n_items,202.6,14.018937628968107,191.0,229.0,50
precision_absent,0.9744432950245908,0.04134502171917382,0.8247422680412371,1.0,50
recall_absent,0.8076290244315342,0.2340114528903555,0.39080459770114945,1.0,50
f1_absent,0.8650684348009043,0.1680915141090391,0.5619834710743802,1.0,50
support_absent,175.8,5.295357997957325,172.0,189.0,50
precision_present,0.5774513306069491,0.38249044523002845,0.0,1.0,50
recall_present,0.8321814093087481,0.23771221624081762,0.0,1.0,50
f1_present,0.6277298501784213,0.34092178956588615,0.0,1.0,50
support_present,26.8,15.399443403670704,14.0,57.0,50
