repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,0.5056461731493099,0.5171906901481585,0.5710883410741794,0.9090999485827073,0.8373119235460648,797.0,0.17061611374407584,1.0,0.291497975708502,72.0,0.90625,0.5714285714285714,0.7009063444108762,203.0,0.8704453441295547,0.4118773946360153,0.5591677503250976,522.0
0,1,0.7107692307692308,0.5422764493393158,0.6207142403510969,0.9137111539536189,0.8476930968638955,975.0,0.875,0.027559055118110236,0.05343511450381679,254.0,0.5561797752808989,0.9801980198019802,0.7096774193548387,202.0,0.7986906710310966,0.9402697495183044,0.863716814159292,519.0
0,2,0.9292035398230089,0.8291826742701808,0.9227191471215989,0.9795349621644517,0.8749019200278375,791.0,0.7619047619047619,0.463768115942029,0.5765765765765766,69.0,0.9693877551020408,0.9405940594059405,0.9547738693467337,202.0,0.9276672694394213,0.9865384615384616,0.9561975768872321,520.0
0,3,0.8723135271807838,0.7967091736826045,0.8753563159059727,0.9695717391382455,0.8720692169320805,791.0,0.5526315789473685,0.9264705882352942,0.6923076923076923,68.0,0.8273809523809523,0.6847290640394089,0.7493261455525606,203.0,0.9587426326129665,0.9384615384615385,0.9484936831875608,520.0
0,4,0.9218362282878412,0.8600468488922709,0.9201267021516093,0.9779768521543057,0.8834464849334908,806.0,0.7945205479452054,0.6987951807228916,0.7435897435897436,83.0,0.8787878787878788,0.8571428571428571,0.8678304239401496,203.0,0.9551401869158879,0.9826923076923076,0.9687203791469194,520.0
1,0,0.6047678795483061,0.584909325974313,0.6376562858058019,0.9325961862743473,0.886393092370664,797.0,0.24573378839590443,1.0,0.39452054794520547,72.0,0.6923076923076923,0.7536945812807881,0.7216981132075472,203.0,0.9081272084805654,0.49233716475095785,0.6385093167701863,522.0
1,1,0.6871794871794872,0.5453793092365605,0.5888069758077351,0.7910267439518394,0.6720735309291676,975.0,0.0,0.0,0.0,254.0,0.9318181818181818,0.8118811881188119,0.8677248677248677,202.0,0.6340852130325815,0.9749518304431599,0.768413059984814,519.0
1,2,0.877370417193426,0.6465832466085976,0.8486949892057668,0.9732984881751049,0.8396601776597717,791.0,0.5,0.08695652173913043,0.14814814814814814,69.0,0.855,0.8465346534653465,0.8507462686567164,202.0,0.8929188255613126,0.9942307692307693,0.9408553230209281,520.0
1,3,0.911504424778761,0.8717152329436398,0.9122897824747569,0.9781335404629748,0.9303695211526847,791.0,0.7126436781609196,0.9117647058823529,0.8,68.0,0.9230769230769231,0.8275862068965517,0.8727272727272727,203.0,0.9406130268199234,0.9442307692307692,0.9424184261036468,520.0
1,4,0.9007444168734491,0.8405201000920317,0.9009105541236538,0.9751262990216157,0.9000706353125141,806.0,0.7941176470588235,0.6506024096385542,0.7152317880794702,83.0,0.7845528455284553,0.9507389162561576,0.8596881959910914,203.0,0.9735772357723578,0.9211538461538461,0.9466403162055336,520.0
