family,model,floor,margin,low,high,p_value,agreeing,folds
species,xgboost,logbook,-0.2450302575,-0.3180604227,-0.1720000922,1.66242e-08,50,50
species,probe,logbook,-0.2583496229,-0.3525039322,-0.1641953136,1.2996e-06,50,50
species,cnn_small,logbook,-0.2877795784,-0.4357534089,-0.1398057478,0.0002854306,50,50
calltype_spermwhale_coda,calltype_spermwhale_coda,calltype_spermwhale_coda_context,-0.1622062278,-0.3015121145,-0.0229003412,0.0234053418,46,50
species,cnn,logbook,-0.2848420368,-0.513647785,-0.0560362885,0.0259022597,5,5
species,logbook,metadata,0.1296156422,-0.0122612997,0.2714925842,0.0724435419,45,50
calltype_killerwhale_click,calltype_killerwhale_click,calltype_killerwhale_click_context,0.1249284691,-0.0397939904,0.2896509286,0.1339129358,37,50
species,probe,metadata,-0.1287339807,-0.3049158678,0.0474479065,0.1483937704,39,50
calltype_spermwhale_coda,calltype_spermwhale_coda_cnn_small,calltype_spermwhale_coda_context,-0.2242313956,-0.6154020386,0.1669392474,0.1866994446,5,5
calltype_killerwhale_whistle,calltype_killerwhale_whistle,calltype_killerwhale_whistle_context,0.0446000743,-0.0231909674,0.1123911161,0.1922703544,36,50
species,cnn_small,metadata,-0.1581639361,-0.4015989557,0.0852710835,0.1977667494,40,50
species,xgboost,metadata,-0.1154146152,-0.3101117619,0.0792825315,0.2392911269,38,50
calltype_killerwhale_chirp,calltype_killerwhale_chirp,calltype_killerwhale_chirp_context,-0.0515405148,-0.146612769,0.0435317394,0.281293377,32,50
species,cnn,metadata,-0.170193954,-0.657293503,0.3169055949,0.3869314368,4,5
calltype_spermwhale_click,calltype_spermwhale_click,calltype_spermwhale_click_context,-0.0300622722,-0.1463305472,0.0862060028,0.6056853555,25,50
calltype_spermwhale_whistle,calltype_spermwhale_whistle,calltype_spermwhale_whistle_context,0.0387491746,-0.267618855,0.3451172042,0.800428274,26,50
calltype_killerwhale_call,calltype_killerwhale_call,calltype_killerwhale_call_context,0.0331797993,-0.2549218409,0.3212814396,0.81793928,29,50
calltype_killerwhale_squeal,calltype_killerwhale_squeal,calltype_killerwhale_squeal_context,0.0055868692,-0.2236101693,0.2347839076,0.961130317,29,50
