metric,mean,std,min,max,folds
accuracy,0.9972871988444969,0.009094931178585,0.9595448798988622,1.0,50
macro_f1,0.9971892405026391,0.009552155033557214,0.9518581183153061,1.0,50
weighted_f1,0.9972351536163236,0.00929198255982004,0.9588491488212725,1.0,50
roc_auc_ovr_macro,1.0,0.0,1.0,1.0,50
average_precision_macro,1.0,0.0,1.0,1.0,50
n_items,832.0,72.44533477465781,790.0,975.0,50
precision_HumpbackWhale,1.0,0.0,1.0,1.0,50
recall_HumpbackWhale,0.9982352941176471,0.01247835496211555,0.9117647058823529,1.0,50
f1_HumpbackWhale,0.9990769230769232,0.006527139518645045,0.9538461538461539,1.0,50
support_HumpbackWhale,109.2,73.33290043162268,68.0,254.0,50
precision_SpermWhale,0.9998039215686275,0.0009703365868733173,0.9950980392156863,1.0,50
recall_SpermWhale,0.9899419597132126,0.03344477650427239,0.8571428571428571,1.0,50
f1_SpermWhale,0.9945518531591,0.01791449046169709,0.9230769230769231,1.0,50
support_SpermWhale,202.6,0.49487165930539345,202.0,203.0,50
precision_KillerWhale,0.996050036812978,0.013180098517507429,0.9420289855072463,1.0,50
recall_KillerWhale,0.9999233716475096,0.00037921199946773764,0.9980842911877394,1.0,50
f1_KillerWhale,0.9979389452718942,0.006761823799039972,0.9701492537313433,1.0,50
support_KillerWhale,520.2,0.989743318610787,519.0,522.0,50
