feature,gain,repeat,fold
native_sample_rate,0.6101135015487671,0,0
duration_seconds,0.2520419955253601,0,0
year,0.1302465796470642,0,0
bytes_on_disk,0.007597927935421467,0,0
native_sample_rate,0.5808939933776855,0,1
year,0.32125434279441833,0,1
duration_seconds,0.08954723179340363,0,1
bytes_on_disk,0.008304454386234283,0,1
native_sample_rate,0.7835960984230042,0,2
year,0.19409391283988953,0,2
duration_seconds,0.021686075255274773,0,2
bytes_on_disk,0.000623858708422631,0,2
native_sample_rate,0.6505468487739563,0,3
year,0.2188565731048584,0,3
bytes_on_disk,0.09057663381099701,0,3
duration_seconds,0.040019869804382324,0,3
bytes_on_disk,0.5151305794715881,0,4
native_sample_rate,0.26735514402389526,0,4
duration_seconds,0.17314881086349487,0,4
year,0.044365350157022476,0,4
native_sample_rate,0.6005407571792603,1,0
duration_seconds,0.2654612064361572,1,0
year,0.12715213000774384,1,0
bytes_on_disk,0.006845912896096706,1,0
native_sample_rate,0.6067591905593872,1,1
year,0.34520235657691956,1,1
duration_seconds,0.045301403850317,1,1
bytes_on_disk,0.0027371221221983433,1,1
native_sample_rate,0.7024015188217163,1,2
year,0.26798129081726074,1,2
duration_seconds,0.028386801481246948,1,2
bytes_on_disk,0.001230431254953146,1,2
native_sample_rate,0.5109345316886902,1,3
year,0.3445453643798828,1,3
duration_seconds,0.0979553684592247,1,3
bytes_on_disk,0.04656464233994484,1,3
native_sample_rate,0.5416440367698669,1,4
bytes_on_disk,0.2943565547466278,1,4
year,0.08683966100215912,1,4
duration_seconds,0.07715977728366852,1,4
native_sample_rate,0.6322281956672668,2,0
duration_seconds,0.21704071760177612,2,0
year,0.1301765888929367,2,0
bytes_on_disk,0.020554477348923683,2,0
native_sample_rate,0.5801173448562622,2,1
year,0.3431187570095062,2,1
duration_seconds,0.07537102699279785,2,1
bytes_on_disk,0.0013928592670708895,2,1
native_sample_rate,0.6972190141677856,2,2
year,0.2548005282878876,2,2
duration_seconds,0.03488244116306305,2,2
bytes_on_disk,0.013097998686134815,2,2
native_sample_rate,0.6777803897857666,2,3
year,0.20602145791053772,2,3
duration_seconds,0.06238793581724167,2,3
bytes_on_disk,0.05381018668413162,2,3
bytes_on_disk,0.4794761538505554,2,4
native_sample_rate,0.30564719438552856,2,4
duration_seconds,0.1683114767074585,2,4
year,0.04656511917710304,2,4
native_sample_rate,0.6572402715682983,3,0
duration_seconds,0.15393812954425812,3,0
year,0.1408039927482605,3,0
bytes_on_disk,0.04801759123802185,3,0
native_sample_rate,0.6139145493507385,3,1
year,0.29433268308639526,3,1
duration_seconds,0.08517439663410187,3,1
bytes_on_disk,0.006578374654054642,3,1
native_sample_rate,0.7805629968643188,3,2
year,0.1968154013156891,3,2
duration_seconds,0.022069638594985008,3,2
bytes_on_disk,0.0005519863916561007,3,2
bytes_on_disk,0.3778180480003357,3,3
native_sample_rate,0.35704001784324646,3,3
year,0.2078741490840912,3,3
duration_seconds,0.05726781487464905,3,3
native_sample_rate,0.5002447366714478,3,4
year,0.23634004592895508,3,4
bytes_on_disk,0.17458339035511017,3,4
duration_seconds,0.08883191645145416,3,4
native_sample_rate,0.6430701017379761,4,0
duration_seconds,0.18020445108413696,4,0
year,0.1590544730424881,4,0
bytes_on_disk,0.017671024426817894,4,0
native_sample_rate,0.6666269898414612,4,1
year,0.2659885883331299,4,1
duration_seconds,0.06688546389341354,4,1
bytes_on_disk,0.0004989344161003828,4,1
native_sample_rate,0.7140390872955322,4,2
year,0.2532803416252136,4,2
duration_seconds,0.02607267163693905,4,2
bytes_on_disk,0.006607891991734505,4,2
native_sample_rate,0.5606803894042969,4,3
year,0.263293981552124,4,3
duration_seconds,0.09365665912628174,4,3
bytes_on_disk,0.08236891776323318,4,3
native_sample_rate,0.4816625118255615,4,4
bytes_on_disk,0.2554653584957123,4,4
year,0.18616420030593872,4,4
duration_seconds,0.07670795172452927,4,4
native_sample_rate,0.6030278205871582,5,0
duration_seconds,0.2224230021238327,5,0
year,0.1529698222875595,5,0
bytes_on_disk,0.021579330787062645,5,0
native_sample_rate,0.5837560892105103,5,1
year,0.329128235578537,5,1
duration_seconds,0.08004438132047653,5,1
bytes_on_disk,0.007071271538734436,5,1
native_sample_rate,0.7683448791503906,5,2
year,0.1945364773273468,5,2
duration_seconds,0.023237185552716255,5,2
bytes_on_disk,0.013881544582545757,5,2
native_sample_rate,0.6459299921989441,5,3
year,0.2534032464027405,5,3
duration_seconds,0.05880654230713844,5,3
bytes_on_disk,0.04186027869582176,5,3
bytes_on_disk,0.49824967980384827,5,4
native_sample_rate,0.2643081247806549,5,4
duration_seconds,0.15409903228282928,5,4
year,0.08334309607744217,5,4
native_sample_rate,0.6125656366348267,6,0
duration_seconds,0.2280018925666809,6,0
year,0.1383650004863739,6,0
bytes_on_disk,0.021067462861537933,6,0
native_sample_rate,0.60590660572052,6,1
year,0.29859858751296997,6,1
duration_seconds,0.0793749988079071,6,1
bytes_on_disk,0.01611979864537716,6,1
native_sample_rate,0.6981076598167419,6,2
year,0.259030282497406,6,2
duration_seconds,0.04195713624358177,6,2
bytes_on_disk,0.0009049408254213631,6,2
native_sample_rate,0.5808719992637634,6,3
year,0.25803449749946594,6,3
duration_seconds,0.09107164293527603,6,3
bytes_on_disk,0.07002194970846176,6,3
native_sample_rate,0.4287019371986389,6,4
year,0.2769874036312103,6,4
duration_seconds,0.18437205255031586,6,4
bytes_on_disk,0.1099386140704155,6,4
native_sample_rate,0.6456490755081177,7,0
duration_seconds,0.21780088543891907,7,0
year,0.11908792704343796,7,0
bytes_on_disk,0.01746213249862194,7,0
native_sample_rate,0.5433135628700256,7,1
year,0.3965926170349121,7,1
duration_seconds,0.058613941073417664,7,1
bytes_on_disk,0.001479879254475236,7,1
native_sample_rate,0.6959788799285889,7,2
year,0.25815990567207336,7,2
duration_seconds,0.03506628796458244,7,2
bytes_on_disk,0.0107949273660779,7,2
native_sample_rate,0.6426742076873779,7,3
year,0.23944048583507538,7,3
bytes_on_disk,0.06712532043457031,7,3
duration_seconds,0.05076005309820175,7,3
bytes_on_disk,0.5790898203849792,7,4
native_sample_rate,0.24067609012126923,7,4
duration_seconds,0.12638840079307556,7,4
year,0.05384571850299835,7,4
