repeat,fold,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,n_items,precision_HumpbackWhale,recall_HumpbackWhale,f1_HumpbackWhale,support_HumpbackWhale,precision_SpermWhale,recall_SpermWhale,f1_SpermWhale,support_SpermWhale,precision_KillerWhale,recall_KillerWhale,f1_KillerWhale,support_KillerWhale
0,0,0.9887076537013801,0.9813034327080995,0.9888279365711249,0.9970718128189393,0.9754544678343372,797.0,0.9230769230769231,1.0,0.96,72.0,1.0,0.9852216748768473,0.9925558312655087,203.0,0.9942196531791907,0.9885057471264368,0.9913544668587896,522.0
0,1,1.0,1.0,1.0,1.0,1.0,975.0,1.0,1.0,1.0,254.0,1.0,1.0,1.0,202.0,1.0,1.0,1.0,519.0
0,2,0.9367888748419722,0.8508597871200546,0.929200933767796,0.986462113670805,0.989048027087679,791.0,1.0,0.463768115942029,0.6336633663366337,69.0,0.9348837209302325,0.995049504950495,0.9640287769784173,202.0,0.9338235294117647,0.9769230769230769,0.9548872180451128,520.0
0,3,0.9178255372945638,0.6574854548074431,0.8878748677257615,0.9988111849141977,0.9849445974615785,791.0,0.8,0.058823529411764705,0.1095890410958904,68.0,0.7602996254681648,1.0,0.8638297872340426,203.0,1.0,0.9980769230769231,0.9990375360923965,520.0
0,4,0.9578163771712159,0.9286929811366913,0.9567827655154834,0.9799139751849001,0.9525455594128661,806.0,1.0,0.7951807228915663,0.8859060402684564,83.0,0.916256157635468,0.916256157635468,0.916256157635468,203.0,0.9683426443202979,1.0,0.9839167455061495,520.0
1,0,0.6511919698870765,0.7319652590042387,0.6565043874285806,0.9709414340448822,0.9465617769572617,797.0,0.9230769230769231,1.0,0.96,72.0,0.42736842105263156,1.0,0.5988200589970502,203.0,1.0,0.4674329501915709,0.6370757180156658,522.0
1,1,0.9989743589743589,0.9988555146810798,0.9989751306746915,0.9999957746002771,0.9999963088462192,975.0,1.0,1.0,1.0,254.0,0.9950738916256158,1.0,0.9975308641975309,202.0,1.0,0.9980732177263969,0.9990356798457087,519.0
1,2,0.9481668773704172,0.8608715513896134,0.9403680157857904,0.9895049049780287,0.9906577819459113,791.0,1.0,0.463768115942029,0.6336633663366337,69.0,0.9711538461538461,1.0,0.9853658536585366,202.0,0.9364791288566243,0.9923076923076923,0.9635854341736695,520.0
1,3,0.9178255372945638,0.6574854548074431,0.8878748677257615,0.9992693015024628,0.9861403692040679,791.0,0.8,0.058823529411764705,0.1095890410958904,68.0,0.7602996254681648,1.0,0.8638297872340426,203.0,1.0,0.9980769230769231,0.9990375360923965,520.0
1,4,0.9776674937965261,0.9474304656796565,0.9768882306168323,0.9992957278309148,0.9957288330695554,806.0,1.0,0.7951807228915663,0.8859060402684564,83.0,0.9223744292237442,0.9950738916256158,0.957345971563981,203.0,0.9980806142034548,1.0,0.9990393852065321,520.0
2,0,0.9887076537013801,0.9813034327080995,0.9888279365711249,0.9964699264124551,0.9717610243121273,797.0,0.9230769230769231,1.0,0.96,72.0,1.0,0.9852216748768473,0.9925558312655087,203.0,0.9942196531791907,0.9885057471264368,0.9913544668587896,522.0
