metric,mean,std,min,max,folds
accuracy,0.933407786593322,0.094085514087322,0.6148055207026348,1.0,50
macro_f1,0.8677922635978242,0.1344410289704505,0.6271269841269841,1.0,50
weighted_f1,0.9270267437418828,0.0942917118878541,0.6196502889219544,1.0,50
roc_auc_ovr_macro,0.9808606219851793,0.04647292296018633,0.7092032804911134,1.0,50
average_precision_macro,0.9667948127790709,0.054889788347979515,0.7018281357328883,1.0,50
n_items,832.0,72.44533477465781,790.0,975.0,50
precision_HumpbackWhale,0.9503469079939668,0.07644852039155403,0.8,1.0,50
recall_HumpbackWhale,0.6804264543254006,0.3592300272900949,0.058823529411764705,1.0,50
f1_HumpbackWhale,0.732586855947291,0.3342467725781118,0.1095890410958904,1.0,50
support_HumpbackWhale,109.2,73.33290043162268,68.0,254.0,50
precision_SpermWhale,0.8680314401349473,0.1657963978186946,0.42736842105263156,1.0,50
recall_SpermWhale,0.9888606545383603,0.022493132887627526,0.916256157635468,1.0,50
f1_SpermWhale,0.9142635952327821,0.11106264658514972,0.5988200589970502,1.0,50
support_SpermWhale,202.6,0.49487165930539345,202.0,203.0,50
precision_KillerWhale,0.9829218774790861,0.027942509115437296,0.8771929824561403,1.0,50
recall_KillerWhale,0.9443435558417619,0.14582515517804226,0.4674329501915709,1.0,50
f1_KillerWhale,0.9565263396133997,0.09973667157102324,0.6195786864931846,1.0,50
support_KillerWhale,520.2,0.989743318610787,519.0,522.0,50
